"","Cpxcumulate","","","Maficsyenite","","","","","","",""
"","6155","C6155","6169","751","816","832","915","6175","566","782","812"
"Ni","144","189","265","59","79","68","97","56","57","17","23"
"La","2663","1000","3065","1141","2370","1656","2801","223","1054","1138","720"
"Ce","5446","2307","6738","2832","5713","4039","7201","472","2164","2923","1766"
"Nd","2294","1059","3135","1442","2723","2106","3700","220","1077","1269","886"
"Sm","3749","1782","5520","2366","4291","3281","5950","381","1690","2210","1450"
"Eu","838","412","1256","532","946","714","1350","101","378","422","340"
"Tb","219","100","305","115","204","163","305","038","101","101","093"
"Yb","345","257","276","132","191","162","285","110","150","133","182"
"Lu","058","020","041","022","030","026","042","017","026","021","028"
"Zr","459","na","337","232","259","226","375","125","184","119","256"
"Y","34","na","50","26","34","30","44","13","24","27","29"
"Hf","117","100","78","45","50","39","74","29","42","24","47"
"Th","159","60","100","56","91","86","202","46","55","83","44"
"Nb","nd","nd","6","nd","2","1","8","3","nd","9","6"
"Ta","nd","011","07","02","06","01","10","04","03","075","05"
"(ppm)","","","","","","","","","","",""
