"Felsic syenite","","","","","","Nordmarkite","","","","",""
"842","874","894","897","930","961","795","799","866","899","927","6178"
"12","20","22","10","23","17","10","10","10","9","8","9"
"139.7","83.6","113.0","32.5","126.5","510","5.4","23.4","16.2","17.7","16.4","13.6"
"354.3","218.3","226.8","77.5","287.1","1138","15.6","63.1","37.4","47.3","33.2","33.8"
"162.8","110.9","96.4","40.1","136.4","519","7.1","27.6","18.9","26.2","14.9","15.2"
"26.28","17.35","13.23","5.96","21.83","79.85","1.73","5.10","3.58","4.87","2.17","3.26"
"6.06","3.80","2.98","1.32","5.08","15.07","0.46","1.17","0.94","1.20","0.64","0.82"
"1.69","0.93","0.71","0.33","1.44","3.91","0.17","0.37","n.d.","0.42","0.24","0.31"
"1.90","1.11","1.20","0.60","1.42","2.71","0.60","0.85","0.78","0.68","0.48","0.69"
"0.29","0.17","0.21","0.10","0.22","0.37","0.10","0.14","0.12","0.10","0.07","0.1"
"209","228","135","83","197","171","122","135","128","47","23","142"
"35","22","22","15","27","48","11","14","14","11","12","14"
"4.0","5.3","2.6","1.7","3.6","4.3","3.4","3.5","3.8","4.6","0.7","4"
"25.2","7.9","8.1","4.1","9.6","39","3.0","6.7","10.4","1.7","1.4","10.4"
"11","11","n.d.","4","9","10","9","8","8","5","2","9"
"0.7","0.8","0.1","0.3","0.6","1.1","0.4","0.35","0.4","0.3","n.d.","0.5"
