"C°","A-priorivalues","","Adjustedvalues",""
"SiO2","54","(10)'","6204","(104)~"
"TiO2","0079","(045)","0043","(014)"
"AI203","1703","(701)","1306","(102)"
"Fe203","8","(4)","402","(102)"
"MgO","3","(406)","204","(0058)"
"CaO","600","(7)","409","(103)"
"Na:O","308","(308)","402","(07)"
"K20","603","(609)","607","(100)"
"PzOs","0056","(070)","0051","(017)"
"Nb","1102","(10)","6","(108)"
"Zr","280","(306)","180","(43)"
"Y","27","(20)","24","(5)"
"Sr","1340","(1077)","1459","(450)"
"Rb","176","(219)","131","(24)"
"La","105","(61)","100","(25)"
"Ce","206","(141)","230","(80)"
"Nd","85","(64)","107","(38)"
"Sm","1606","(1502)","1807","(608)"
"Eu","4002","(305)","402","(105)"
"Tb","1030","(1030)","1010","(040)"
"Yb","2043","(1070)","1037","(030)"
"Lu","0034","(021)","0021","(004)"
"Cu","54","(100)","21","(6)"
"Zn","103","(120)","59","(10)"
"Cr","37","(88)","61","(17)"
"Ba","3095","(4365)","4687","(1375)"
"Ni","18","(21)","35","(10)"
"Th","23","(22)","806","(307)"
"Ta","0054","(037)","0046","(015)"
"Hf","603","(605)","3083","(009)"
"Sc","1206","(21)","605","(106)"
"V","204","(183)","63","(13)"
"Co","20","(14)","9","(2)"
