"LWM01","","","","","","","",""
"16","0002082","0000775","0282139","0000039","-195","1560","2416","-098"
"&#8211;","","","","","","","",""
"HM03","","","","","","","",""
"Spot","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","2s","εHf(t)","TDM1(Ma)","TDM2(Ma)","fLu/Hf"
"1","0024835","0000763","0282272","0000035","-134","1376","2083","-098"
"2","0033430","0001064","0282262","0000045","-138","1401","2108","-097"
"3","0042486","0001254","0282265","0000050","-137","1403","2102","-096"
"4","0024181","0000643","0282304","0000027","-123","1327","2011","-098"
"5","0018763","0000579","0282258","0000026","-139","1389","2113","-098"
"6","0013162","0000364","0282304","0000020","-122","1317","2008","-099"
"7","0009441","0000230","0282269","0000035","-135","1361","2086","-099"
"8","0014967","0000321","0282242","0000022","-144","1401","2146","-099"
"9","0028467","0000834","0282277","0000031","-132","1371","2072","-097"
"10","0042885","0001229","0282319","0000025","-118","1327","1983","-096"
"11","0051710","0001434","0282258","0000022","-140","1420","2118","-096"
"12","0026722","0000802","0282256","0000050","-140","1399","2118","-098"
"13","0028310","0000782","0282295","0000044","-126","1345","2033","-098"
"14","0022850","0000616","0282306","0000029","-122","1324","2007","-098"
"15","0033056","0001046","0282259","0000044","-139","1404","2113","-097"
"16","0015541","0000538","0282301","0000030","-124","1327","2016","-098"
"&#8211;","","","","","","","",""
"XHH01","","","","","","","",""
"Spot","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","2s","εHf(t)","TDM1(Ma)","TDM2(Ma)","fLu/Hf"
"1","0076671","0002213","0282418","0000057","-100","1219","1810","-093"
"2","0076673","0002215","0282417","0000061","-100","1221","1813","-093"
"3","0056360","0001714","0282453","0000046","-87","1152","1729","-095"
"4","0056345","0001716","0282456","0000032","-86","1149","1723","-095"
"5","0088837","0002564","0282379","0000033","-113","1288","1898","-092"
"6","0048712","0001497","0282345","0000020","-124","1299","1967","-095"
"7","0048703","0001514","0282348","0000031","-123","1295","1960","-095"
"8","0047506","0001798","0282443","0000031","-89","1169","1749","-095"
"9","0130991","0003751","0282409","0000026","-103","1286","1834","-089"
"10","0048118","0001804","0282441","0000023","-90","1172","1752","-095"
"11","0048228","0001790","0282437","0000039","-91","1177","1760","-095"
"12","0047550","0001812","0282429","0000028","-93","1189","1777","-095"
"13","0051707","0001704","0282439","0000048","-90","1172","1754","-095"
"14","0048218","0001785","0282434","0000024","-91","1182","1765","-095"
"15","0047505","0001795","0282445","0000027","-87","1166","1740","-095"
"16","0051696","0001687","0282436","0000034","-90","1176","1759","-095"
