"LWM01","","","","","","Isotopic","ratios","","","","","Age (Ma)","","","","",""
"Spot","Th","U","Pb","Th/U","238U/232Th","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s"
"1","457","451","408","1.01","0.46","0.0517","0.0015","0.2283","0.0064","0.0335","0.0004","270","42","209","5","212","2"
"2","4085","2698","187","1.51","1.51","0.0517","0.0017","0.2278","0.0067","0.0335","0.0005","273","41","208","6","212","3"
"3","547","565","14.9","0.97","0.63","0.0506","0.0015","0.2256","0.0033","0.0336","0.0004","223","15","207","3","213","2"
"4","124","49.5","16.5","2.50","2.5","0.0519","0.0016","0.2264","0.0064","0.0331","0.0005","281","38","207","5","210","3"
"5","276","147","29.4","1.88","1.88","0.0518","0.0013","0.2274","0.0055","0.0333","0.0003","276","39","208","5","211","2"
"6","170","156","26.6","1.09","1.09","0.0516","0.0014","0.2281","0.0060","0.0334","0.0004","269","39","209","5","212","2"
"7","69.3","55.2","29.9","1.26","0.46","0.0517","0.0016","0.2283","0.0066","0.0334","0.0005","270","39","209","5","212","3"
"8","163","148","24.1","1.10","0.47","0.0518","0.0016","0.2272","0.0063","0.0333","0.0005","274","38","208","5","211","3"
"9","200","179","28.6","1.12","0.53","0.0507","0.0015","0.2258","0.0035","0.0335","0.0005","225","16","207","3","212","3"
"10","133","127","22.1","1.05","0.37","0.0515","0.0016","0.2288","0.0064","0.0336","0.0005","261","38","209","5","213","3"
"11","303","85.5","63.3","3.55","3.55","0.0515","0.0016","0.2294","0.0064","0.0335","0.0005","261","38","210","5","212","3"
"12","61.3","63.1","8.63","0.97","0.84","0.0508","0.0016","0.2236","0.0033","0.0336","0.0004","232","16","205","3","213","2"
"&#8211;","","","","","","","","","","","","","","","","",""
"WJZ02","","","","","","Isotopic","ratios","","","","","Age (Ma)","","","","",""
"Spot","Th","U","Pb","Th/U","238U/232Th","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s"
"1","457","451","396","1.01","1.38","0.0521","0.0018","0.2268","0.0044","0.0316","0.0004","288","22","208","4","200","3"
"2","68.5","23.9","14.2","2.87","5.13","0.0501","0.0017","0.2174","0.0041","0.0315","0.0004","201","21","200","3","200","3"
"3","198","12.6","19.3","15.65","1.98","0.0544","0.0019","0.2372","0.0052","0.0316","0.0005","388","25","216","4","201","3"
"4","375","73.2","62.7","5.13","2.29","0.0505","0.0021","0.2194","0.0066","0.0315","0.0005","219","42","201","5","200","3"
"5","429","204","55.1","2.11","2.18","0.0527","0.0018","0.2281","0.0046","0.0314","0.0004","315","23","209","4","199","3"
"6","3587","1399","210","2.56","2.66","0.0506","0.0016","0.2182","0.0035","0.0313","0.0004","220","17","200","3","199","3"
"7","66.8","23.4","13.6","2.86","1.36","0.0519","0.0016","0.2265","0.0036","0.0316","0.0004","281","16","207","3","201","3"
"8","811","640","245","1.27","1.01","0.0499","0.0017","0.2149","0.0066","0.0312","0.0004","191","80","198","6","198","3"
"9","222","120","15.3","1.86","1.33","0.0523","0.0017","0.2248","0.0042","0.0312","0.0004","297","21","206","4","198","3"
"10","457","451","396","1.01","1.85","0.0519","0.0020","0.2244","0.0058","0.0314","0.0005","281","34","206","5","199","3"
"11","190.7","11.8","18.4","16.10","2.36","0.0523","0.0020","0.2282","0.0058","0.0317","0.0005","297","32","209","5","201","3"
"12","747","403","53.3","1.85","2.03","0.0506","0.0019","0.2200","0.0054","0.0315","0.0005","223","31","202","4","200","3"
"13","84.7","30.3","17.0","2.79","1.28","0.0511","0.0019","0.2215","0.0057","0.0314","0.0005","244","33","203","5","199","3"
"&#8211;","","","","","","","","","","","","","","","","",""
"MJZ02","","","","","","Isotopic","ratios","","","","","Age (Ma)","","","","",""
"Spot","Th","U","Pb","Th/U","238U/232Th","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s"
"1","8136","1701","217","4.78","5.72","0.0494","0.0016","0.1447","0.0024","0.0212","0.0003","169","17","137","2","135","2"
"2","1980","681","68.6","2.91","2.2","0.0499","0.0017","0.1473","0.0031","0.0214","0.0003","192","24","140","3","136","2"
"3","93.7","73.5","5.52","1.28","4.89","0.0483","0.0013","0.1421","0.0034","0.0213","0.0003","113","66","135","3","136","2"
"4","3876","678","102","5.72","1.37","0.0525","0.0017","0.1586","0.0026","0.0219","0.0003","306","17","150","2","140","2"
"5","1471","668","46.2","2.20","2.23","0.0493","0.0022","0.1415","0.0058","0.0208","0.0003","160","101","134","5","133","2"
"6","3630","742","99.8","4.89","1.22","0.0493","0.0027","0.1458","0.0066","0.0215","0.0004","162","75","138","6","137","2"
"7","2893","2120","81.1","1.37","1.89","0.0514","0.0028","0.1528","0.0079","0.0216","0.0003","257","126","144","7","138","2"
"8","1265","568","33.6","2.23","3.65","0.0487","0.0016","0.1427","0.0025","0.0212","0.0003","135","19","135","2","135","2"
"9","290","73.9","22.1","3.92","1.01","0.0500","0.0018","0.1491","0.0037","0.0216","0.0003","195","31","141","3","138","2"
"10","274","225","10.2","1.22","3.88","0.0491","0.0022","0.1446","0.0052","0.0213","0.0003","155","55","137","5","136","2"
"11","374","198","11.9","1.89","0.31","0.0488","0.0018","0.1449","0.0034","0.0216","0.0003","136","29","137","3","137","2"
"12","2510","688","57.7","3.65","0.38","0.0518","0.0018","0.1520","0.0033","0.0213","0.0003","275","25","144","3","136","2"
"&#8211;","","","","","","","","","","","","","","","","",""
"JY01","","","","","","Isotopic","ratios","","","","","Age (Ma)","","","","",""
"Spot","Th","U","Pb","Th/U","238U/232Th","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s","207Pb/206Pb","1s","207Pb/235U","1s","206Pb/238U","1s"
"1","806","137","292","5.88","2.76","0.0498","0.0016","0.1475","0.0032","0.0215","0.0003","192","25","140","3","137","2"
"2","2573","2090","302","1.23","2.75","0.0482","0.0014","0.1423","0.0035","0.0214","0.0003","114","32","135","3","136","2"
"3","952","27.7","422","34.36","2.77","0.0524","0.0018","0.1585","0.0027","0.0218","0.0004","306","19","149","2","139","3"
"4","474","36.5","240","12.99","2.77","0.0494","0.0021","0.1416","0.0057","0.0207","0.0003","160","66","134","5","132","2"
"5","164","58.0","9.8","2.82","2.77","0.0492","0.0026","0.1457","0.0065","0.0216","0.0004","162","73","138","6","137","2"
"6","457","451","396","1.01","2.76","0.0515","0.0027","0.1527","0.0079","0.0217","0.0003","257","90","144","7","138","2"
