"LWM01","","","","","","Isotopic","ratios","","","","","Age(Ma)","","","","",""
"1","457","450","398","101","158","00554","00028","01225","00056","00195","00003","428","74","117","5","124","2"
"2","208","106","906","196","157","00517","00027","01233","00058","00186","00004","272","69","118","5","119","3"
"3","713","612","126","116","158","00518","00025","01254","00058","00195","00003","277","78","120","5","124","2"
"4","358","227","266","158","158","00462","00027","01253","00072","00194","00003","5","99","120","6","124","2"
"5","413","351","209","118","158","00519","00029","01235","00057","00195","00004","281","66","118","5","124","3"
"6","583","403","540","145","158","00526","00028","01247","00055","00188","00003","312","71","119","5","120","2"
"7","178","107","108","167","158","00525","00027","01236","00056","00192","00003","307","75","118","5","123","2"
"8","263","534","188","493","157","00525","00028","01234","00054","00197","00003","307","72","118","5","126","2"
"9","522","132","157","395","158","00524","00026","01289","00063","00193","00004","303","74","123","6","123","3"
"10","171","140","887","122","156","00521","00024","01233","00062","00192","00003","290","86","118","6","123","2"
"11","236","123","169","192","156","00522","00024","01225","00061","00195","00003","294","86","117","6","124","2"
