"Sample","SiO2","TiO2","Al2O3","Fe2O3","MnO","MgO","CaO","K2O","Na2O","P2O5","LOI","Total","Mg#"
"LWM01","49.47","0.95","14.91","12.93","0.17","6.09","9.53","1.83","3.34","0.26","0.44","99.92","62"
"LWM02","49.29","0.97","14.79","13.06","0.17","6.32","9.04","1.87","3.38","0.26","0.37","99.52","60"
"LWM03","49.36","0.93","14.75","13.22","0.18","6.47","9.83","1.84","2.78","0.26","0.32","99.94","62"
"LWM04","48.68","1.15","14.68","13.07","0.19","6.53","9.08","1.84","3.41","0.27","0.97","99.87","60"
"LWM05","50.90","0.91","14.56","12.51","0.17","6.63","9.19","1.85","2.86","0.25","0.39","100.22","62"
"LWM06","49.46","0.89","14.46","13.13","0.17","6.86","10.40","1.76","2.79","0.22","0.25","100.39","64"
"LWM07","50.63","1.04","13.62","13.01","0.17","6.16","10.29","1.85","2.28","0.14","0.67","99.86","64"
"WJZ01","50.55","0.68","14.63","10.38","0.16","8.07","10.59","1.82","1.94","0.15","0.87","99.84","69"
"WJZ02","47.65","0.54","14.06","10.87","0.15","11.11","9.81","1.85","1.77","0.12","1.35","99.28","67"
"WJZ06","48.54","0.63","16.38","10.50","0.14","7.78","10.35","1.84","2.14","0.14","1.21","99.65","68"
"MJZ03","49.43","0.89","13.96","13.92","0.20","7.04","11.20","1.94","1.56","0.08","0.23","100.45","64"
"MJZ04","48.97","0.87","13.89","13.79","0.20","7.08","11.13","1.98","1.67","0.08","0.32","99.98","64"
"MJZ05","49.22","0.85","13.89","13.69","0.20","7.15","11.11","1.96","1.64","0.08","0.31","100.10","64"
"MJZ11","47.55","0.98","14.27","14.03","0.20","8.19","8.91","2.08","1.87","0.09","0.92","99.09","58"
"MJZ18","49.59","1.33","13.14","14.96","0.20","6.13","10.59","1.93","1.85","0.12","0.31","100.15","61"
"MJZ25","49.89","1.30","13.22","15.02","0.20","6.17","10.48","1.95","1.73","0.11","0.19","100.26","61"
"MJZ27","50.13","1.28","13.18","15.18","0.20","6.06","10.50","1.93","1.62","0.12","0.15","100.35","60"
"MJZ28","50.18","1.31","13.17","15.25","0.20","6.13","10.46","1.94","1.46","0.12","0.16","100.38","60"
"MJZ31","50.45","1.29","12.85","15.24","0.20","6.02","9.53","1.96","1.52","0.13","0.33","99.52","58"
"MJZ32","49.98","1.29","13.13","14.89","0.20","5.97","10.25","1.94","1.81","0.12","0.36","99.94","60"
"MJZ35","50.16","1.32","13.01","15.39","0.20","6.12","9.83","1.93","1.71","0.13","0.14","99.94","58"
"MJZ36","50.20","1.29","13.06","15.31","0.20","6.11","9.69","1.95","1.83","0.12","0.18","99.94","60"
"MJZ42","49.97","1.24","13.20","14.88","0.19","6.37","10.56","1.92","1.52","0.11","0.19","100.15","61"
"MJZ44","50.43","1.11","13.40","14.50","0.20","6.10","10.41","1.93","1.56","0.12","0.15","99.91","63"
"MJZ46","51.57","1.09","13.22","14.16","0.19","5.88","9.91","1.92","1.42","0.14","0.14","99.64","65"
"JY03","49.16","1.17","14.31","14.87","0.19","6.25","8.54","1.96","1.85","0.19","0.32","98.81","59"
"JY07","48.58","1.17","14.25","14.61","0.20","6.26","9.67","1.97","1.78","0.19","0.45","99.13","62"
"JY12","49.41","1.19","14.32","14.67","0.19","6.09","9.55","1.96","1.69","0.19","0.35","99.61","62"
"JY13","49.68","1.15","13.90","14.55","0.20","6.58","9.34","1.95","1.58","0.18","0.36","99.47","61"
"JY14","49.34","1.16","14.41","14.61","0.19","6.18","9.24","1.93","1.46","0.19","0.82","99.53","61"
"JY15","49.15","0.67","14.93","12.59","0.25","7.43","9.01","1.97","1.88","0.15","1.25","99.28","64"
"HM01","47.70","2.87","18.26","12.11","0.03","6.58","2.45","2.46","3.45","1.05","2.33","99.29","54"
"HM03","46.98","2.71","17.29","11.95","0.03","8.09","2.49","2.53","3.39","1.17","2.28","98.91","60"
"XHH02","48.87","1.31","12.92","15.40","0.19","6.67","9.46","1.98","2.46","0.13","0.26","99.65","60"
"XHH03","48.48","1.22","14.47","14.74","0.20","6.15","9.71","1.96","2.54","0.19","0.21","99.87","62"
"XHH04","49.34","1.24","12.83","13.89","0.19","5.68","10.67","1.94","2.46","0.12","0.82","99.18","66"
"XHH05","49.53","1.29","12.95","15.16","0.20","6.05","10.16","1.96","2.35","0.12","0.15","99.92","62"
