"","","themaﬁcdykesinthestudyareasfromtheeasternNCC","","","","","","","","","","","","","","",""
"Cr","Ga","Ba","Rb","Sr","Y","Zr","Hf","Nb","Ta","Th","U","Pb","La","Ce","Pr","Nd","Sm"
"180","165","304","223","252","217","74","193","383","023","052","02","515","173","353","442","191","366"
"180","154","456","335","242","198","71","181","362","024","052","016","321","153","323","418","175","379"
"190","169","254","177","271","204","74","183","361","022","056","011","318","151","322","419","179","372"
"180","157","200","152","240","199","71","194","353","021","053","011","422","142","305","415","171","391"
"200","16","389","316","262","206","76","182","361","022","053","01","424","145","306","411","178","372"
"200","156","105","602","242","184","60","152","363","023","047","009","417","116","246","342","146","323"
"160","174","236","138","257","258","108","283","435","032","172","035","415","143","302","388","166","398"
"770","139","695","372","196","123","45","122","252","023","041","006","121","781","169","228","105","242"
"740","135","281","157","185","104","37","106","205","014","036","004","213","105","144","189","804","195"
"170","156","428","253","240","123","46","122","243","013","043","005","175","916","171","219","991","222"
"130","168","674","104","138","202","59","173","281","024","068","019","228","871","149","221","103","255"
"130","162","481","951","133","196","58","171","272","022","072","022","216","853","144","217","102","269"
"140","174","713","141","138","205","59","172","283","023","069","02","324","862","153","222","985","254"
"130","204","146","334","135","292","69","192","325","023","079","026","328","131","224","276","142","362"
"100","194","371","15","146","281","91","253","424","032","117","027","233","112","212","283","143","38"
"110","201","338","161","155","281","92","251","442","031","121","028","309","116","225","315","134","373"
"100","19","455","172","130","27","90","254","403","031","121","028","153","104","206","304","142","398"
"100","197","535","243","140","275","86","245","412","033","121","026","182","108","213","313","137","369"
"100","197","703","931","147","282","94","243","433","032","123","032","164","121","235","323","146","389"
"100","209","775","493","133","299","98","262","432","032","132","033","173","113","233","319","146","378"
"902","187","617","782","141","266","88","254","415","031","119","028","142","114","222","306","142","38"
"100","193","698","211","133","281","91","253","413","033","119","027","411","114","216","303","144","367"
"120","189","334","153","148","256","83","221","391","024","106","027","133","104","206","293","133","359"
"100","201","426","221","161","276","89","233","392","033","114","026","219","109","221","312","138","357"
"110","188","427","214","161","309","103","304","473","031","149","034","608","123","252","325","161","425"
"802","21","917","612","290","234","86","251","442","032","103","022","422","141","299","413","18","449"
"804","214","379","191","308","239","88","244","431","033","104","016","231","137","303","382","176","452"
"802","198","547","272","287","239","88","261","424","032","097","025","164","142","317","396","18","454"
"803","194","586","371","253","236","86","242","406","031","097","023","152","131","294","383","177","446"
"801","195","108","522","295","233","85","243","432","032","105","029","218","168","348","44","192","453"
"250","152","933","404","204","153","34","107","163","013","029","005","225","862","165","224","933","238"
"203","361","718","888","1857","935","520","135","204","171","179","561","323","104","226","274","117","273"
"205","368","743","935","1962","778","524","133","195","182","183","476","414","886","201","243","107","236"
"120","188","349","224","135","281","87","252","414","032","121","025","215","914","197","263","117","351"
"802","211","699","432","305","238","91","234","431","033","104","035","306","939","223","303","142","386"
"903","171","968","614","165","248","81","241","406","032","111","021","412","815","184","251","114","333"
"902","174","696","372","146","279","90","252","371","031","129","027","314","893","202","281","124","371"
