"Sample","Rb","Sr","87Rb/","87Sr/","87Sr/","Sm","Nd","147Sm/","143Nd/","εNd(t)","206Pb/","207Pb/","208Pb/","206Pb/","207Pb/","208Pb/"
"","ppm","ppm","86Sr","86Sr","86Sri","ppm","ppm","144Nd","144Nd","","204Pb","204Pb","204Pb","204Pb(t)","204Pb(t)","204Pb(t)"
"Jingshangranodiorites","","","","","","","","","","","","","","","",""
"JS-3","1139","544","06054","071002","070903","271","1786","00918","051157","−1937","–","–","–","–","–","–"
"JS-4","1095","580","05465","071014","070925","225","1452","00938","051161","−1846","17087","15441","37631","17017","15438","37569"
"JS-5","1101","581","05486","071015","070926","215","136","00957","051161","−1848","17078","15442","37629","17015","15438","3757"
"Huanglishangranodiorites","","","","","","","","","","","","","","","",""
"HLS-01","9065","592","04435","070891","070818","189","1314","00869","051146","−2129","16644","15365","37207","16589","15363","37156"
"HLS-02","8548","591","04188","070892","070823","192","1343","00867","051146","−2142","16660","15376","37246","16609","15374","37189"
"HLS-1","6126","349","05085","07089","070807","222","153","00878","051144","−2170","16569","15334","37132","16524","15331","37047"
"HLS-3","7587","460","04771","070867","070789","248","1885","00796","051143","−2181","16598","15341","37121","16565","15339","37063"
"HLS-9","1016","425","06916","070865","070752","207","147","00851","051156","−1943","16671","15356","37118","16636","15354","37064"
"Bengbumaﬁcdykes","","","","","","","","","","","","","","","",""
"04JS-d1","9535","867","03183","070692","070641","918","5255","01056","051227","−596","17262","15406","3768","16999","15393","37257"
"04JS-d2","5824","944","01785","070845","070816","103","5820","01065","051227","−583","17527","15421","38165","17262","15408","37738"
"04JS-d3","982","629","004516","070665","070658","800","4668","01036","051226","−603","17420","15431","38101","17155","15419","37675"
"JS-d1","1419","420","00977","070701","070685","771","4546","01026","051227","−587","17419","1544","38085","17154","15427","37659"
"JS-d2","1116","429","007529","070695","070683","783","4463","01061","051227","−589","17231","15426","37861","16967","15413","37438"
"JS-d6","1142","547","006043","070665","070656","796","4680","01029","051227","−584","17044","15399","37618","16782","15386","37197"
"JS-d7","1248","573","006299","070679","070669","830","4878","01029","051226","−596","17462","15442","38102","17196","15429","37676"
"JS-d8","3757","896","01213","070734","070714","940","5316","01069","051226","−607","17323","15397","37872","17059","15384","37448"
"HLS-d3","1039","580","00518","070674","070666","731","4302","01028","051227","−590","17431","15437","38071","17166","15424","37645"
