"Sample","U","Th","Pb","207Pb/235U","±1σ","206Pb/238U","±1σ","207Pb/235Uage","±1σ","206Pb/238Uage","±1σ"
"Huanglishangranodiorite(HLS-1)","","","","","","","","","","",""
"Spotno01","787","256","16","011073","311","00181","163","1066","32","1154","19"
"Spotno02","98","93","40","430861","173","02996","150","1695","144","1689","224"
"Spotno03","108","94","65","922520","162","04310","152","2360","149","2310","295"
"Spotno04","171","214","4","011888","389","00180","158","1141","42","1150","18"
"Spotno05","106","56","43","641702","178","03122","156","2035","158","1751","239"
"Spotno06","295","113","6","011617","529","00180","150","1116","56","1153","17"
"Spotno07","145","40","4","014260","659","00222","153","1354","84","1418","21"
"Spotno08","205","86","4","011473","658","00181","156","1103","69","1158","18"
"Spotno09","404","314","10","012600","327","00184","160","1205","37","1176","19"
"Spotno10","112","117","63","806338","166","03931","151","2238","151","2137","275"
"Spotno13","637","173","13","011336","343","00181","153","1090","36","1154","17"
"Spotno14","388","110","8","012208","476","00182","183","1170","53","1161","21"
"Spotno15","117","70","3","011308","879","00179","162","1088","91","1146","18"
"Spotno16","24","50","10","362989","276","02448","153","1556","222","1412","195"
"Spotno17","204","76","4","011384","620","00180","162","1095","65","1151","19"
"Spotno18","489","139","10","011452","445","00183","151","1101","47","1169","18"
"Spotno19","130","38","3","009578","1289","00177","170","929","115","1133","19"
"Spotno20","392","128","8","012093","514","00174","175","1159","56","1113","19"
"Spotno21","99","27","2","012605","686","00181","207","1205","78","1158","24"
"Spotno22","161","57","3","011603","647","00171","214","1115","69","1093","23"
"Spotno23","22","6","14","1232359","194","04928","156","2629","184","2583","332"
"Spotno24","137","55","3","009323","1015","00178","168","905","88","1139","19"
"Spotno25","952","728","23","012469","223","00183","151","1193","25","1169","18"
"Spotno27","705","280","15","011369","266","00181","151","1093","28","1159","17"
"Spotno29","170","135","4","011159","541","00178","159","1074","55","1138","18"
"Spotno30","1159","447","24","012075","209","00179","151","1158","23","1147","17"
"Spotno31","145","58","3","012677","474","00183","162","1212","54","1167","19"
"Spotno33","394","303","9","011515","463","00181","150","1107","49","1159","17"
"Spotno34","1043","310","21","011937","219","00180","154","1145","24","1152","18"
"Spotno35","473","110","9","011533","333","00179","159","1108","35","1144","18"
"Spotno36","233","93","5","011544","449","00183","175","1109","47","1170","20"
"Jingshangranodiorite(JS-5)","","","","","","","","","","",""
"Spotno01","622","112","13","012133","321","00189","152","1163","35","1209","18"
"Spotno02","1561","111","31","012497","204","00187","150","1196","23","1195","18"
"Spotno03","228","39","5","012572","449","00201","150","1202","51","1285","19"
"Spotno04","2671","328","54","012468","222","00188","152","1193","25","1198","18"
"Spotno05","567","846","16","011721","281","00185","153","1125","30","1182","18"
"Spotno06","1935","300","40","012404","188","00188","151","1187","21","1199","18"
"Spotno07","522","100","10","011883","1022","00182","160","1140","111","1165","18"
"Spotno08","1040","255","22","012162","199","001850","150","1165","22","1181","18"
"Spotno09","793","422","18","012132","215","001831","151","1163","24","1170","17"
"Spotno10","763","293","17","012147","227","001861","151","1164","25","1188","18"
"Spotno13","756","231","16","012196","230","001834","154","1168","25","1172","18"
"Spotno14","603","151","13","012413","271","001836","151","1188","30","1173","18"
"Spotno15","696","204","15","012107","261","001836","155","1160","29","1173","18"
"Spotno16","332","784","68","012547","261","001812","151","1200","30","1158","17"
"Spotno17","496","664","13","011817","300","001829","151","1134","32","1168","17"
"Spotno18","704","230","15","012256","224","001841","151","1174","25","1176","18"
"Spotno19","898","233","19","012331","213","001853","151","1181","24","1184","18"
"Spotno20","463","897","94","011848","259","001839","153","1137","28","1175","18"
"Spotno21","1393","567","526","528985","152","033548","150","18672","131","1865","244"
"ChanghuaiweiGranite(CHW-1)","","","","","","","","","","",""
"Spotno01","1379","411","279","011887","283","001778","150","1141","31","1136","17"
"Spotno02","997","489","211","011213","292","001769","150","1079","30","1130","17"
"Spotno03","239","131","48","012301","452","001707","159","1178","50","1091","17"
"Spotno04","492","171","99","011128","334","001743","167","1071","34","1114","18"
"Spotno05","509","278","90","010383","805","001523","155","1003","77","975","15"
"Spotno06","246","87","49","011396","425","001727","163","1096","44","1104","18"
"Spotno07","1112","531","236","011704","220","001775","154","1124","23","1134","17"
"Spotno08","387","154","82","012059","352","001804","152","1156","39","1153","17"
"Spotno09","998","317","201","011599","242","001753","151","1114","26","1120","17"
"Spotno10","1043","272","208","011364","251","001759","161","1093","26","1124","18"
