"Sample","Type","Rb","Sr","Rb/Sr","87Rb/86Sr","87Sr/86Sr(m)","(87Sr/86Sr)i","Sm","Nd","147Sm/144Nd","143Nd/144Nd(m)","(143Nd/144Nd)i","εNd"
"Granites","","","","","","","","","","","","",""
"LA-3","I-type","100","425","024","0681","0710195","071010","531","283","0113","0512161","051215","−92"
"SER-1","I-type","81","299","027","0787","0711339","071124","547","276","0120","0512191","051218","−86"
"SER-26","I-type","124","325","038","1105","0710288","071015","442","267","0119","0512305","051230","−64"
"SER-56","I-type","70","371","019","0543","0719158","070909","425","209","0123","0512313","051231","−63"
"SER-30","I-type","78","405","019","0559","0710349","071028","589","267","0134","0512233","051223","−78"
"IK-1","I-type","196","238","082","2384","0713038","071277","498","237","0127","0512205","051219","−83"
"IK-2","S-type","179","198","090","2618","071643","071587","380","192","0120","0512114","051210","−101"
"MYK-1","I-type","172","519","033","0959","0711535","071138","814","425","0116","0512155","051215","−93"
"MYK-3","I-type","206","440","031","0908","0711611","071147","769","412","0113","0512098","051209","−104"
"NAX-1N","I-type","235","333","071","2043","0711246","071088","462","252","0111","–","–","–"
"NAX-5","I-type","189","455","042","1202","0710989","071077","765","441","0105","0512188","051219","−86"
"NAX-10","I-type","213","410","052","1504","0711252","071098","617","348","0107","0512210","051221","−82"
"TI-3","I-type","158","310","051","1475","0711763","071138","409","203","0122","0512223","051221","−79"
"TI-4","I-type","169","302","056","1615","0711769","071151","403","217","0112","0512239","051223","−76"
"TI-6","S-type","276","228","121","3503","0710729","071003","363","157","0140","0512236","051222","-75"
"PA−4","S-(Leucogr)","2138","683","314","911","0713966","0711637","268","938","01727","0512186","0512166","−88"
"PA-15","S-(Leucogr)","1641","427","381","111","0765263","0762426","552","181","01844","0512236","0512214","−78"
"PA-9","S-(Tr-Gt-Pgm)","2067","1589","13","377","0714229","0713265","238","723","01994","0512173","051215","−91"
"PR-4","S-(BitGr)","151","2458","094","292","0712228","0711482","45","24","01134","05122","0512187","−84"
"P-5","S-(BitGr)","2291","2435","094","272","0712215","0711519","486","2625","0112","0512208","0512195","−82"
"PA-13","S-(BitGrd)","1586","383","041","12","0712002","0711695","599","3784","00956","0512191","051218","−85"
"P-14","S-(BitGr)","1899","2533","075","217","0712395","071184","34","1886","01088","0512181","0512168","−87"
"Basementrocks","","","","","","","","","","","","",""
"PR-6","Gneiss","1014","1507","068","202","0717837","0717321","299","3768","0048","0512128","0512122","−96"
"SR93-52","Gneiss","601","144","0418","121","0716267","0716112","704","355","01985","05122","0512193","−84"
"SR93-20","Amphibolite","43","357","012","03525","0705127","0705082","642","6285","01444","0512856","0512847","43"
"NX-13","Amphiboliteinmigmatite","80","159","050","1456","0710267","071000","835","329","0153","0512519","051252","−22"
"AverageParosgneiss(n=9)","","136","150","091","273","071860","071790","600","368064","01123","0512164","0512151","−90"
