"Region","Age Ma (intrusion age)*","Locality","Sampl. no.","Rock type","Classiﬁcation"
"Lavrion — S. Attica","8.3","Plaka","LA-2","Granodiorite","I-type"
"","","","LA-3","Granodiorite","I-type"
"Serifos isl.","~ 9","Livadhi","SER-1","Granodiorite (margin, foliated)","I-type"
"","","Livadhi","SER-26","Granodiorite (outer, with abundant maﬁc enclave)","I-type"
"","","Troulos","SER-56","Granodiorite (inner)","I-type"
"","","Cape Khalara","SER-30","Qtz diorite (enclave)","I-type"
"Mykonos isl.","~ 11","Port","MYK-1","Bit-Granite","I-type"
"","","","MYK-2","Hbl-Bit-granodiorite","I-type"
"","","","MYK-3","Hbl-Bit-granodiorite","I-type"
"Paros isl.","(12.4–11.5)","Kolimbithres","P-5","Bit granite","S-type"
"","","Kolimbithres","PA-12","Bit granite","S-type"
"","","Kolimbithres","P-14","Bit granite","S-type"
"","","Naousa","PA-13","Bit granodiorite","S/I type"
"","","Naoussa","PR-7","Bit granodiorite","S/I type"
"","","Naousa","PA-15","Leucogranite","S-type"
"","","Monasteri","PA-4","Leucogranite","S-type"
"","","Monasteri","PA-9","Tourmaline + garnet pegmatite vein","S-type"
"Naxos isl.","14–12","Mikri Vigla","NX-1","Hbl-Bit granodiorite","I-type"
"","","Mikri Vigla","NX-2","Hbl-Bit granodiorite","I-type"
"","","Mikri Vigla","NX-4","Hbl-Bit granodiorite","I-type"
"","","Mikri Vigla","NX-5","Hbl-Bit granodiorite","I-type"
"","","Glinados","NX-8","Hbl-Bit granodiorite","I-type"
"","","Glinados","NX-10","Bit-Hbl granodiorite","I-type"
"","","Vivlos","NX-12","Granodiorite","I-type"
"Migmatite dome","24–16","Kinidaros","NX-14","Migmatite (with amphibolitic inclusions)","S-type"
"","","Kinidaros","NX-16G","Granite","I-type"
"","","Naxos port","NX-18","Granodiorite","I-type"
"Tinos isl.","16–14","Krokos","TI-1","Bit-Msc granite","S-type"
"","","Krokos","TI-2","Bit granite","I-type"
"","","Falatados","TI-3","Bit-Hbl granite","I-type"
"","","Falatados","TI-4","Bit-Hbl granite","I-type"
"","","Pyrgos","TI-6","Bit-Msc granite","S-type"
"Ikaria isl.","~ 8–10","Western intrusion","IKR-1","Bit granite","I-type"
"","18 – 9.4","Eastern intrusion","IKR-2","Bit-Msc granite","S-type"
"Basement: gneisses, amphibolites","","","","",""
"Naxos","","Melanes","NX-17","Migmatised gneiss — core of dome",""
"Paros","","Naoussa","PR-6","Biotite Gneiss","Metagreywacke"
"Serifos","","Spathi cape","SER93-52","Leucocratic band,
layered mylonitic gneiss",""
"","","Spathi cape","SER93-50","Biotite rich band, mylonitic gneiss","Metagreywacke"
"Naxos","–","Kinidaros","NX-13","Amphibolite inclusion in migmatitic gneiss","Metabasic"
"Serifos","","Pyrgos","SER93-20","Amphibolite within greenschists unit","Metabasalt (calc alkaline)"
