"","","Strike","Dyk
XR","RE","Sm-","Pb-","Rb-",""
"Sample","Latitude","Longitude","","","","","",""
"","","of","e 
F","E","Nd","","Sr","40Ar/39Ar age"
"","","","","","","","","determinatio"
"","South","North 
dyke","type","","","","",""
"","","","","","","PT","","n"
"N11-5a","19°22'19.0","12°42'56.3","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","''","348° 
''","1 
X","X","I","","X","X"
"","19°20'55.5","12°42'31.1","","","R","","",""
"","","005°","1 
X","","X","X","X",""
"","","","","","","","",""
"N11-8","''","''","","","","","",""
"N11-9a","19°20'53.8","12°42'36.6","","","","","",""
"","","345°","1","","X","X","X","X"
"","''","''","","","","","",""
"","19°20'53.8","12°42'36.6","","USC","","","",""
"","","085°","1","","X","X","X",""
"N11-10","''","''","","","","","",""
"","19°20'53.8","12°42'36.6","","","","","",""
"","","","","","X","X","X",""
"","","","","","","","",""
"","","","","","","","",""
"N11-11","'' 
19°20'53.8","","","","","","",""
"","","","X","X","","","",""
"N11-12","''","","","","","","",""
"N11-13","19°21'02.9","","","","","","",""
"","","","X","X","X","X","X","X"
"","''","","","","","","",""
"","19°19'05.3","","","","","","",""
"","","","X","X","X","X","X",""
"N11-14","''","","","","","","",""
"N11-17","19°20'43.1","","","","","","",""
"","","","X","X","X","X","X","X"
"","''","","","","","","",""
"","19°20'43.1","","","","","","",""
"","","CEPTED MAN","X","X","","","",""
"N11-18","''","","","","","","",""
"","19°20'43.1","","","","","","",""
"","","","X","X","X","X","X",""
"N11-19","''","","","","","","",""
"","19°23'52.7","","","","","","",""
"","","","X","X","X","X","X","X"
"N11-20","''","","","","","","",""
"N11-21","19°23'52.7","","","","","","",""
"","","","X","X","X","X","X","X"
"","''","","","","","","",""
"N13-4a","19°27'18.3","","","","","","",""
"","","","X","X","X","X","X",""
"","''","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"N13-5","19°21'38.7","345°","3 
X","X","X","X","X",""
"","''","''","","","","","",""
"N13-6b","19°21'30.3
AC","12°42'39.0","","","","","",""
"","","350°","1 
X","X","","","",""
"","''","''","","","","","",""
"","","","","","","","",""
"N13-7","19°21'07.9","12°42'33.9
325°","3 
X","X","","","",""
"","''","''","","","","","",""
"N13-8","19°21'07.9","12°42'33.9","","","","","",""
"","","325°","3 
X","X","X","X","X",""
"","''","''","","","","","",""
"N13-9","19°21'05.1","12°42'31.5","","","","","",""
"","","320°","3 
X","X","X","X","X",""
"","''","''","","","","","",""
"N13-10","19°19'44.7","12°42'41.6","","","","","",""
"","","110°","1 
X","X","","","",""
"","''","''","","","","","",""
"N13-13","19°21'15.8","12°43'19.9","","","","","",""
"","","357°","1 
X","X","","","",""
"","''","''","","","","","",""
"N13-","19°21'15.8","12°43'19.9","","","","","",""
"","","357°","1 
X","X","","","",""
"14a","''","''","","","","","",""
"N13-15","19°21'31.0","12°43'04.8","","","","","",""
"","","310°","3 
X","X","X","X","X",""
"","''","''","","","","","",""
"N13-16","19°22'08.5","12°42'53.0","","","","","",""
"","","340°","1 
X","X","X","X","X",""
"","''","''","","","","","",""
