"N13-18","19°23'12.6","12°43'54.3","","","","","","",""
"","","","018°","1","X","X","X","X","X"
"","''","''","","","","","","",""
"N13-19","19°23'13.0","12°43'45.7","","","","","","",""
"","","","350°","1","X","X","","",""
"","''","''","","","","","","",""
"N13-","19°23'32.4","12°44'41.1","","","","","","",""
"","","","070°","2","X","X","X","","X"
"20a","''","''","","","","","","",""
"N13-21","19°23'43.0","12°43'49.4","","","","","","",""
"","","","270°","2","X","X","","",""
"","''","''","","","","","","PT",""
"N13-23","19°24'08.0","12°43'59.6","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","''","''","350°","1","X","X","I","","X"
"N13-25","19°25'06.1","12°44'15.4","","","","","R","",""
"","","","012°","1","","","","",""
"","","","","","","","","",""
"","''","''","","","","","","",""
"N13-26","19°25'06.1","12°44'15.4","","","","","","",""
"","","","310°","1","","","","",""
"","''","''","","","","","","",""
"N13-27","19°25'50.7","12°44'39.9","","","","USC","","",""
"","","","350°","1","","","X","X","X"
"","''","''","","","","","","",""
"N13-29","19°22'12.9","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"N13-","'' 
19°22'12.9","","","","","","","",""
"","","","","","X","X","X","X","X"
"30a","''","","","","","","","",""
"N13-31","19°22'23.2","","","","","","","",""
"","","","","","X","X","X","X","X"
"","''","","","","","","","",""
"N13-32","19°29'49.2","","","","","","","",""
"","","","","","X","X","X","X","X"
"","''","","","","","","","",""
"N13-33","19°30'00.1","","","","","","","",""
"","","","","","X","X","","",""
"","''","","CEPTED MAN","","","","","",""
"N13-34","19°30'09.4","","","","","","","",""
"","","","","","X","X","X","X","X"
"","''","","","","","","","",""
"N13-35","19°30'16.4","","","","","","","",""
"","","","","","X","X","","",""
"","''","","","","","","","",""
"N13-36","19°30'23.6","","","","","","","",""
"","","","","","X","X","X","X","X"
"","''","","","","","","","",""
"N13-38","19°30'20.7","","","","","","","",""
"","","","","","X","X","X","X","X"
"","","","","","","","","",""
"","","","","","","","","",""
"N13-39","'' 
19°31'19.0","","080°","1","X","X","X","X","X"
"","'' 
AC","''","","","","","","",""
"N13-","19°31'18.0","12°48'14.3","","","","","","",""
"","","","080°","1","X","X","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"40b 
N13-41","'' 
19°31'15.8","'' 
12°48'24.2","","","","","","",""
"","","","080°","1","X","X","","",""
"","''","''","","","","","","",""
"N13-42","19°31'17.4","12°48'41.9","","","","","","",""
"","","","350°","1","X","X","","",""
"","''","''","","","","","","",""
"N13-","19°31'14.3","12°48'50.7","","","","","","",""
"","","","325°","3","X","X","","",""
"43a","''","''","","","","","","",""
"N13-44","19°31'29.4","12°48'24.6","","","","","","",""
"","","","290°","3","X","X","","",""
"","''","''","","","","","","",""
"","19°31'33.9","12°48'20.0","","","","","","",""
"N13-45","","","070°","1","X","X","","",""
"","''","''","","","","","","",""
"N13-47","19°34'28.5","12°49'11.2","","","","","","",""
"","","","350°","3","X","X","X","X","X"
"","''","''","","","","","","",""
"N13-49","19°35'05.6","12°50'15.2","","","","","","",""
"","","","325°","3","X","X","X","X","X"
"","''","''","","","","","","",""
"N13-50","19°26'00.5","12°48'02.6","","","","","","",""
"","","","300°","2","X","X","X","X","X"
"","''","''","","","","","","",""
