"","Quartz","280–400","9.5","0.5–4.4","−85","","Hou et al. (2007)"
"","Quartz","251–340","10.3","0.0–3.5","−98","","Hou et al. (2007)"
"","Quartz","280–360","8.8","−0.2–2.6","−101","","Hou et al. (2007)"
"","Quartz","260–340","8.2","−1.6–1.4","−103","","Hou et al. (2007)"
"","Quartz","200–290","8.7","−4.5–−0.2","−110","","Hou et al. (2007)"
"","Quartz","201–250","7.5","−5.6–−2.8","−115","PT","Hou et al. (2007)"
"Hongshan","Quartz","340","11.7","4.32","−81","","Li et al. (2013c)"
"","","","","","","",""
"","","","","","","",""
"","Quartz","340","11.9","4.52","−89","I","Li et al. (2013c)"
"","Quartz","320","15.3","8.59","−117","R","Li et al. (2013c)"
"","","","","","","",""
"","Quartz","300","12.2","3.21","","","Li et al. (2013c)"
"","Calcite","280","13.0","5.34","−107","","Li et al. (2013c)"
"Relin","Quartz","330","11.7","5.3","USC","","Wan et al. (2012)"
"","Quartz","330","12.8","6.4","","","Wan et al. (2012)"
"","","","","","","",""
"","","","","","","",""
"","Quartz 
Quartz","300 
300","11.1 
12.9","4.7 
5.5","−101","","Wan et al. (2012) 
Wan et al. (2012)"
"","Quartz","260","12.0","3.9","−113","","Wan et al. (2012)"
