"","Chalcopyrite","18.752","15.638","39.058","Li et al. (2012c)"
"","Chalcopyrite","18.607","15.625","38.944","Li et al. (2012c)"
"","Chalcopyrite","18.584","15.620","38.956","Li et al. (2012c)"
"","Molybdenite","18.484","15.547","39.740","Li et al. (2012c)"
"Narigongma","Pyrite","18.481","15.526","38.602","Li et al. (2015)"
"","Pyrite","18.586","15.574","38.726","Li et al. (2015) 
PT"
"","Galena","18.749","15.602","38.829","Li et al. (2015)"
"","","","","",""
"","Galena","18.764","15.622","38.860   
I","Li et al. (2015)"
"Xiuwacu","Pyrrhotite","18.646","15.650","38.857 
R","Wang et al. (2015)"
"","","","","",""
"","Pyrite","18.911","15.700","39.349","Wang et al. (2015)"
"","Pyrite","18.884","15.697","39.297","Wang et al. (2015)"
"","Sphalerite","18.878","15.690","39.296 
USC","Wang et al. (2015)"
"","Bismuthinite","18.936","15.710","39.404","Wang et al. (2015)"
"","","","","",""
"","","","","",""
"","","","","39.350 
39.334","Wang et al. (2015) 
Wang et al. (2015)"
"Hongshan","","","","38.452","Zu et al. (2016)"
"","","","","38.057","Zu et al. (2016)"
"","Pyrite","","","38.860","Zu et al. (2016)"
"","","","","38.744","Zu et al. (2016)"
"","","","","38.624","Zu et al. (2016)"
"","","CEPTED MAN","","38.285","Zu et al. (2016)"
"","","","","38.080","Zu et al. (2016)"
"","Pyrite","","","38.991","Zu et al. (2016)"
"","","","","39.538","Zu et al. (2016)"
"","Galena","","","39.290","Zu et al. (2016)"
"","","","","39.468","Zu et al. (2016)"
"","Pyrite","","","38.975","Zu et al. (2016)"
"","","","","",""
"","","","","",""
"AC","Pyrite 
Galena","18.701","15.661","39.081 
39.126","Zu et al. (2016) 
Zu et al. (2016)"
"","Chalcopyrite","18.712","15.651","39.114","Zu et al. (2016)"
"","Galena","18.701","15.661","39.048","Zu et al. (2016)"
"","Chalcopyrite","18.712","15.651","39.067","Zu et al. (2016)"
"","Pyrite","18.665","15.625","37.884","Zu et al. (2016)"
"","Pyrite","18.605","15.628","37.816","Zu et al. (2016)"
"Tongchanggou","Pyrite","18.494","15.634","38.876","Liu et al. (2016)"
"","Molybdenite","18.332","15.594","38.619","Liu et al. (2016)"
"","Chalcopyrite","18.463","15.588","38.454","Liu et al. (2016)"
"","Molybdenite","18.515","15.599","38.864","Liu et al. (2016)"
"","Molybdenite","18.694","15.624","39.076","Liu et al. (2016)"
"","Pyrite","18.665","15.619","39.047","Liu et al. (2016)"
"","Molybdenite","18.576","15.625","39.008","Liu et al. (2016)"
"","Molybdenite","18.554","15.663","39.088","Liu et al. (2016)"
"","Molybdenite","18.550","15.609","38.862","Liu et al. (2016)"
"","Pyrite","18.620","15.630","39.023","Liu et al. (2016)"
