"","","","Ore-causative","Reserves","","","Majorore","Alteration",""
"","","","","","I","","","",""
"Deposit","Type","Commodity","","HoststrataGrade(%)","","Texture","","","Reference"
"","","","","","R","","","",""
"","","","intrusion","(kt)","","","minerals","minerals",""
"","","","","Meso-proterozoicslate,","","","","",""
"Kayizi,","","","","","","","","Qz,Ser,Chl,",""
"","P","Mo","Granodiorite","quartzschist,tuff,marble,USC","","Diss,Sw","Mb,Py","","Liuetal(2010a)"
"Xinjiang","","","","","","","","Cc",""
"","","","","","","","","",""
"","","","","limestone","","","","",""
"","","","","Meso-proterozoiccrystalline","","","","",""
"Xiaotong,","","","","","","","","Qz,Gr,Di,Ep,",""
"","PS","Mo","Granodiorite","schist,quartzite,","","Diss,Sw","Mb,Py,Cp","","Liuetal(2010b)"
"Xinjiang","","","","","","","","Act,Chl,Cc",""
"","","","","gneisses","","","","",""
"Aikengdelesite,","","","Granite","Triassicandesite,andesitic","","","","Qz,Ser,An,","Yangetal(2013c,"
"","P","Mo-Cu","","0037","","Diss,Sw","Mb,Cp,Py","",""
"Qinghai","","","porphyry","tufflava;CEPTEDMAN","","","","Chl,Cc","2014b)"
"","","","","Paleo-proterozoic","","","","",""
"","","","","","","","","","Wangetal(2013);"
"Lalingzaohuo,","","","Granodiorite,","biotite-bearing","","","Mb,Py,Cp,","Gr,Di,Qz,Cc,",""
"","PS","Mo","","005-009","","Diss,Sw","","","Chenetal(2013);"
"Qinghai","","","quartzdiorite","gneisses,siltstone,dolomite","","","Mt","Ser,Kf,Chl",""
"","","","","","","","","","Maetal(2014)"
"","","","","marble,migmatite","","","","",""
"","","","","","","","","",""
"","","","","Paleo-proterozoic","","","","",""
"Ketinghaer,","P","Cu-Mo","Granite","marble,schist;Devonian0062","","Diss,Sw,","Mb,Py,Cp","Qz,Ser,Bi,Kf,","Suetal(2014)"
"Qinghai","","","porphyry","AC","","Br","","Chl,Cc",""
"","","","","","","","","",""
"","","","","basalt,andesite","","","","",""
"","","","K-feldspar","","","","","",""
"","","","","Cambrian-Ordovician","","","","",""
"","","","granite","","","","","",""
"Yazigou,","","","","andesite,basalt,marble;","","","Mb,Py,Cp,","Qz,Ser,Bi,Kf,","Lietal(2008);"
"","PS","Cu-Mo-Pb-Zn","porphyry;","0028","","Diss,Sw","","",""
"Qinghai","","","","Triassictuff,andesite,","","","Ga,Sph","Chl,Cc","Heetal(2009)"
"","","","granodiorite","","","","","",""
"","","","","rhyolite","","","","",""
"","","","porphyry","","","","","",""
"Narigongma,","","","Biotitegranite","Permianbasalt,basalticMo:675;Mo:008;","","","","","Wangetal(2008);"
"","P","Mo-Cu","","","","Diss,Sw","Mb,Cp,Py","Kf,Bi,Qz,Ser",""
"Qinghai","","","porphyry;","andesite,sandstone,slateCu:2516Cu:033","","","","","Yangetal(2014a)"
