"","Biotitegranodiorite","2","SHRIMPzirconU-Pbweightedaverage","","1635±040,1638±046","Wangetal(2006)"
"","Ores","6","MolybdeniteRe-Os","PT","1599±031–1674±028","Mengetal(2003)"
"","","","","","",""
"","","","","","",""
"","Ores","4","MolybdeniteRe-Os","I","1582±019–1685±019","Wangetal(2006)"
"","","","","R","",""
"","Ores","4","MolybdeniteRe-Os","","158±04–162±09","Houetal(2009)"
"","Ores","4","MolybdeniteRe-Os","","1569±198–1623±09","Lietal(2005a)"
"Jiama","Graniteporphyry","3","LA-ICPMSzirconU-PbweightedaverageUSC","","1531±024–1627±031","Qinetal(2011)"
"","","","","","",""
"","","","","","",""
"","MonzograniteporphyryGraniteporphyry","11","LA-ICPMSzirconU-PbweightedaverageSHRIMPzirconU-Pbweightedaverage","","1481±016142±02","Qinetal(2011)Yingetal(2011)"
"","Granodioriteporphyry","1","SHRIMPzirconU-Pbweightedaverage","","141±03","Yingetal(2011)"
"","Ores","27","","","1420±020–1650±020","Yingetal(2010)"
"","Ores","7","","","154±02–155±03","Lietal(2005b)"
"Tinggong","Adamelliteporphyry","1","SHRIMPzirconU-PbweightedaverageCEPTEDMAN","","170±06","Ruietal(2004)"
"","Adamelliteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1554±028","Chenetal(2014)"
"","Dioriteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1502±025","Chenetal(2014)"
"","Dioriteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1574±022","Chenetal(2014)"
"","","","","","",""
"","","","","","",""
"","DioriteporphyryGranodioriteporphyry","11","Biotite40Ar/39Arplateau","","149±02142±02","Lietal(2007b)Lietal(2007b)"
"","","","AC","","",""
"","Ores","7","MolybdeniteRe-Os","","155±03–163±03","Houetal(2009)"
"Bangpu","Monzograniteporphyry","1","SHRIMPzirconU-Pbweightedaverage","","139±03","Zhouetal(2010)"
"","Graniteporphyry","1","SHRIMPzirconU-Pbweightedaverage","","142±02","Wenetal(2011)"
"","Monzograniteporphyry","1","SHRIMPzirconU-Pbweightedaverage","","139±03","Wenetal(2011)"
"","Monzograniteporphyry","5","Whole-rockRb-Srisochron","","1388±038","Wenetal(2011)"
"","Monzograniteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1623±019","Wangetal(2012b)"
"","Dioriteporphyry","1","LA-ICPMSzirconU-Pbweightedaverage","","1516±009","Wangetal(2012b)"
"","Adamelliteporphyry","2","LA-ICPMSzirconU-Pbweightedaverage","","1407±008,1496±016","Wangetal(2012c)"
