"Sampleno","87Rb/86Sr","87Sr/86Sr","±2σ","147Sm/144Nd","143Nd/144Nd","±2σ","t(Ma)","Isr","εNd(t)"
"YS30-3","01360","0706057","8","01352","0512569","5","260","0706","07"
"YS31-4","01245","0706712","6","01391","0512548","","260","0706","02"
"YS31-5","01283","0707374","7","01325","0512551","PT","260","0707","04"
"RN06-1","01343","0709286","6","01348","0512534","","260","0709","00"
"","","","","","","","","",""
"","","","","","","","","",""
"DC03-1","00646","0707587","5","01446","0512565","I","260","0707","03"
"DC04-1","01754","0707148","7","01372","0512564R","3","260","0706","05"
"","","","","","","","","",""
"","","","","","","","","",""
"HX01-1HX02-1","0120501014","071240107096266","410","0217602179","","914","260260","07120709","-0300"
"HX03-1","01791","07106348","10","02153","USC","11","260","0710","-03"
"HX05-1","","","","02465","","7","260","","-06"
"","","","","","","","","",""
"","","","","","","","","",""
"PNG29-2PNQ29-1","03715","07126675","9","0194201784","05125446","35","260260","0711","-12-12"
"NQ15-3","02056","07087004","11","01859","05125682","8","260","0708","-10"
"11MD01-2*","","0704283","4","","0512858","4","","",""
"11MD01-2*","","0704286","7","","0512866","3","","",""
