"","","Vestfold,Hortenprofile","","","","","","","",""
"","CO","co","CO","co","co","co","co","co","co","co"
"","FAl","FA2","FA3","FA4","Fl","F2","F3","F4","F6","F8a"
"","Majorelements(wt%)","","","","","","","","",""
"SiO1","4427","4868","4434","5245","4278","4297","4343","4318","4120","4815"
"TiOz","542","512","543","4%","508","512","509","503","514","434"
"A1203","961","994","1120","1042","789","785","818","807","733","1016"
"","1381","1073","1356","979","1445","1450","1439","1413","1419","1180"
"Fe-@;","","","","","","","","","",""
"MnO","018","013","016","013","026","014","013","013","011","012"
"","703","535","526","541","1038","1044","975","974","867","619"
"M8O","","","","","","","","","",""
"CaO","1015","1028","1031","1031","1231","1284","1323","1247","1383","1085"
"Nap","225","223","245","226","173","143","139","117","093","202"
"","169","163","185","190","084","072","132","154","136","120"
"GO","","","","","","","","","",""
"p2°5","056","056","067","060","056","056","059","060","059","057"
"LOI","124","440","338","216","172","212","178","219","319","319"
"Sum","9621","9905","9861","10033","9800","9869","9928","9825","9654","9859"
"Normqtz","--","477","-","665","","","-","-","","521"
"Normne","-","-","","-","035","","057","","024","-"
"","Traceelements(ppm)","","","","","","","","",""
"SC","331","276","244","259","318","320","314","319","308","274"
"Cr","231","167","69","305","613","605","569","579","591","409"
"Co","490","429","424","389","625","622","596","609","605","436"
"Ni","","","","","259","261","246","247","288","159"
"Rb","438","337","357","386","111","77","223","290","232","364"
"Sr","113","825","1047","878","962","1012","964","744","975","911"
"Zr","","","","","314","343","312","428","331","331"
"CS","","","","","365","018","019","016","042","034"
"Ba","","","","","497","535","601","616","729","636"
"La","620","648","729","666","619","604","641","619","648","687"
"Ce","155","146","173","150","130","129","136","136","140","138"
"Sm","149","142","166","138","139","141","142","141","139","129"
"Eu","40","38","45","40","39","39","40","40","41","38"
"Tb","","","","","134","137","127","135","123","123"
"Yb","26","26","31","24","25","27","26","31","30","28"
"Lu","036","029","037","030","028","021","025","026","027","032"
"Hf","102","93","105","95","103","100","104","106","99","90"
"Ta","","","","","573","553","581","583","592","473"
"Th","648","583","692","637","815","816","842","834","679","709"
"U","18","16","17","17","19","16","18","17","18","13"
"Pb","","655","657","","","","","","","956"
