"","","Vestfold,Hortenprofile","","","","","","",""
"","PC0","PC0","PC0","PC0","","PC0","PC0","PC0","PC0"
"","","","","","APT","","","",""
"","FXl","FX2","FX3","FX4","FZl","FZ2","FZ3","FZ4","FZ5"
"Majorelements(wt%)","","","","","","","","",""
"SiO,","4190","5033","4633","4748","4730","4730","","",""
"TiOz","215","291","293","293","291","295","","",""
"A1203","1298","1404","1118","1484","1370","1282","","",""
"Fe@;","1283","1126","1281","1278","1239","1375","","",""
"MnO","012","018","017","017","020","026","","",""
"MgO","517","407","670","537","388","129","","",""
"CaO","1036","922","957","107","650","1018","","",""
"Na,O","279","325","259","264","544","242","","",""
"K2O","161","208","312","378","151","130","","",""
"p205","048","052","048","059","053","025","","",""
"LO1","172","165","232","216","411","246","","",""
"SllrIl","9871","9957","9820","9981","9919","10098","","",""
"Normqtz","027","","","","","","","",""
"Normne","_","","222","021","315","_","","",""
"Traceelements@pm)","","","","","","","","",""
"SC","258","247","372","185","218","315","307","326","255"
"Cr","130","50","119","34","23","195","190","186","108"
"co","485","366","478","440","358","536","526","550","421"
"Ni","55","32","51","","1","81","81","","6031"
"Rb","314","449","786","945","220","251","551","389","332"
"Sr","866","982","1121","1266","844","656","751","731","651"
"Zr","236","247","303","","304","155","176","261","280"
"CS","019","028","078","","012","178","187","087","067"
"Ba","652","811","1037","","640","510","709","843","558"
"La","531","614","419","520","589","402","391","488","590"
"Ce","105","121","96","104","115","834","81","978","111"
"Sm","96","118","109","107","109","89","87","100","122"
"Eu","27","32","29","29","29","26","25","28","32"
"7%","100","122","111","","107","090","090","107","130"
"Yb","24","31","28","26","31","27","26","28","36"
"LU","038","043","038","039","041","041","035","033","054"
"Hf","63","82","12","65","68","51","49","63","81"
"Ta","346","384","340","","426","291","297","384","417"
"Th","480","618","405","528","663","345","336","487","546"
"U","13","16","13","13","29","089","11","12","22"
"Pb","","125","","","","457","","",""
