"Table2(continued)","","","","","","","","","",""
"","Ladybirdgranite","","","","","","","Leucosome","",""
"","AH-03-35","AH-03-37","AH-03-38","LB-02-01","LB-02-02","LB-02-03","Mean","SEMa","AH-02-05","AH-02-06"
"Al2O3","1437","1589","1466","1401","1391","1423","1466","054","1410","1467"
"Fe2O3⁎","077","071","076","071","059","049","071","013","098","047"
"FeO","087","070","079","082","067","056","077","016","155","058"
"MnO","001","004","007","002","001","001","002","001","003","002"
"MgO","026","024","026","033","030","033","031","008","083","027"
"CaO","101","114","108","133","097","123","107","018","273","206"
"Na2O","343","390","342","315","331","362","335","022","441","370"
"K2O","523","603","608","529","531","489","568","063","128","427"
"P2O5","011","004","007","006","007","006","009","003","004","004"
"Sum","9983","9997","10039","9846","9777","9825","","","9791","9833"
"(ppm)","","","","","","","","","",""
"V","5","17","7","15","14","4","10","4","30","15"
"Cr","161","155","172","2","4","5","94","79","29","7"
"Co","1","4","<LD","5","2","5","4","2","11","5"
"Ni","52","<LD","<LD","8","23","30","52","39","33","67"
"Zn","31","24","22","44","22","33","30","10","37","19"
"Ga","25","21","21","22","18","22","21","3","18","18"
"As","<LD","<LD","<LD","<LD","2","2","","","1","1"
"Rb","2550","1358","2080","1963","2097","1871","2026","280","921","1509"
"Sr","1779","13290","1461","5130","4381","4427","3527","1734","2459","3070"
"Y","85","83","141","82","96","87","112","44","62","107"
"Zr","923","1406","638","1412","1163","1071","900","364","848","641"
"Nb","116","131","149","174","261","163","155","67","149","50"
"Cs","35","12","28","26","34","21","29","11","32","19"
"Ba","590","1651","331","1320","1012","1084","1227","751","184","968"
"La","672","110","380","794","654","706","549","230","97","262"
"Ce","1360","209","875","1367","1145","1217","1103","463","181","486"
"Pr","139","22","98","175","143","153","124","54","20","58"
"Nd","468","79","343","552","447","475","433","186","66","190"
"Sm","811","149","751","913","781","810","753","250","131","380"
"Eu","073","051","047","183","135","140","107","041","062","127"
"Gd","484","129","534","580","520","543","506","150","123","315"
"Tb","053","021","064","068","065","069","061","019","020","048"
"Dy","219","135","292","224","230","235","262","084","107","213"
"Ho","032","029","056","030","033","033","042","016","022","042"
"Er","072","089","194","057","069","056","104","053","057","099"
"Tm","009","014","038","007","010","007","015","010","009","015"
"Yb","055","096","316","045","059","039","107","083","050","084"
"Lu","008","014","058","006","009","006","016","014","009","013"
"Hf","290","390","230","419","356","330","269","085","236","297"
"Ta","049","090","096","066","172","048","099","071","109","039"
"Pb","45","9","46","39","40","38","43","10","13","32"
"Th","2893","637","2579","3607","3028","3435","2621","1035","531","1621"
"U","591","192","730","563","725","567","594","278","297","534"
"Eu/Eu⁎","035","112","023","077","065","065","","","149","112"
"","Leucosome","","","","","","","","",""
"","AH-02-08","AH-02-09","AH-02-10","AH-02-11","AH-02-13","AH-02-26","AH-02-27","AH-02-29","AH-03-17","AH-03-19"
"(wt%)","","","","","","","","","",""
"SiO2","7438","7188","7502","7320","7273","7029","7437","7407","7584","7348"
"TiO2","005","024","006","003","021","017","040","003","009","003"
"Al2O3","1360","1401","1349","1417","1372","1491","1200","1400","1428","1478"
