"","Leucosome","","","","","","","","","","",""
"","AH-02-08","AH-02-09","","AH-02-10","","AH-02-11","AH-02-13","AH-02-26","AH-02-27","AH-02-29","AH-03-17","AH-03-19"
"FeO","0.42","1.21","","0.21","","0.18","0.90","0.57","1.77","0.29","0.63","0.34"
"MnO","0.02","0.03","","0.01","","0.01","0.02","0.02","0.02","0.02","0.03","0.02"
"MgO","0.19","0.61","","0.15","","0.10","0.49","0.40","1.05","0.09","0.14","0.09"
"CaO","1.88","2.07","","1.55","","1.30","1.68","1.26","1.61","0.74","0.61","0.69"
"Na2O","3.32","3.24","","2.86","","2.72","2.73","2.63","2.41","3.84","3.91","2.90"
"K2O","4.29","4.27","","5.11","","6.37","5.32","7.29","3.40","4.71","3.73","7.54"
"P2O5","0.03","0.13","","0.02","","0.03","0.08","0.24","0.07","0.13","0.18","0.07"
"Sum","98.51","98.65","","98.65","","98.26","98.63","98.35","98.26","98.16","99.94","100.31"
"(ppm)","","","","","","","","","","","",""
"V","8","21","","5","","12","16","16","39","9","7","10"
"Cr","5","6","","5","","5","10","3","23","3","39","2"
"Co","4","3","","<LD","","<LD","4","4","10","4","8","4"
"Ni","44","51","","10","","9","17","10","35","6","1","<LD"
"Zn","15","35","","12","","11","29","25","54","15","17","6"
"Ga","14","16","","16","","14","13","16","13","20","23","13"
"As","4","1","","4","","<LD","1","3","<LD","2.00","<LD","<LD"
"Rb","123.2","166.7","","160.4","","196.1","194.2","184.6","124.3","234.6","211.0","208.0"
"Sr","274.4","274.1","","304.0","","296.2","285.7","383.3","227.1","55.6","14.2","328.3"
"Y","11.1","16.3","","3.1","","5.3","8.6","19.3","5.6","12.2","8.2","6.4"
"Zr","23.8","19.3","","6.4","","37.7","24.7","39.5","90.2","14.7","18.4","8.9"
"Nb","3.3","12.6","","2.9","","1.4","9.1","5.5","15.1","14.8","36.9","1.0"
"Cs","1.1","3.4","","1.9","","2.0","2.9","2.2","2.3","5.0","2.7","1.1"
"Ba","957","935","","1203","","1162","1328","2147","884","107","23","1483"
"La","12.4","51.9","","4.8","","12.5","34.9","9.9","11.4","3.2","3.5","4.2"
"Ce","23.6","91.2","","9.3","","24.2","62.7","21.3","22.1","5.9","7.3","7.6"
"Pr","2.8","11.1","","1.1","","2.8","7.4","2.7","2.6","0.7","0.8","0.8"
"Nd","9.3","34.6","","3.5","","8.9","22.9","10.0","8.3","2.0","2.9","2.8"
"Sm","2.12","5.98","","0.63","","1.69","3.87","2.52","1.51","0.75","0.89","0.59"
"Eu","0.96","1.30","","1.12","","1.05","1.34","2.18","1.16","0.37","0.04","0.50"
"Gd","2.12","4.85","","0.52","","1.48","2.94","2.93","1.43","1.05","0.87","0.53"
"Tb","0.37","0.69","","0.09","","0.22","0.43","0.58","0.24","0.28","0.20","0.11"
"Dy","1.96","3.16","","0.46","","1.00","1.81","3.42","1.12","1.78","1.39","0.88"
"Ho","0.42","0.61","","0.11","","0.19","0.32","0.72","0.20","0.39","0.26","0.23"
"Er","1.04","1.38","","0.29","","0.46","0.67","1.68","0.43","1.19","0.81","0.91"
"Tm","0.16","0.20","","0.05","","0.07","0.09","0.24","0.06","0.23","0.15","0.17"
"Yb","0.89","1.13","","0.33","","0.49","0.51","1.21","0.32","1.63","1.17","1.27"
"Lu","0.14","0.18","","0.05","","0.09","0.08","0.18","0.05","0.27","0.17","0.20"
"Hf","0.81","0.58","","0.25","","3.19","0.66","1.17","2.30","0.74","0.90","0.40"
"Ta","<LD","1.04","","0.44","","<LD","0.58","0.32","0.81","3.74","6.75","0.19"
"Pb","27","25","","27","","37","31","59","36","52","17","37"
"Th","6.30","22.86","","3.64","","9.01","15.54","2.12","4.05","1.73","1.52","1.91"
"U","1.87","4.31","","3.87","","2.18","2.52","1.39","1.75","6.55","4.89","1.39"
"Eu/Eu⁎","1.38","0.74","","5.98","","2.03","1.21","2.45","2.41","1.27","0.15","2.74"
"","Leucosome","","","","","","Basement orthogneiss","","Basement paragneiss","","",""
"","AH-03-22","","Mean","","SEM a","AH-02-07","AH-02-12","","AH-03-18","AH-02-28","AH-02-30","AH-03-21"
"(wt.%)","","","","","","","","","","","",""
"SiO2","74.49","","73.34","","1.27","67.91","70.15","71.36","","58.21","68.32","57.54"
"TiO2","0.07","","0.14","","0.11","0.53","0.34","0.17","","2.01","0.16","2.04"
"Al2O3","14.41","","14.01","","0.50","14.77","14.59","16.33","","15.19","17.16","13.63"
"Fe2O3⁎","0.48","","0.55","","0.25","1.82","1.18","0.73","","3.00","0.68","3.28"
"FeO","0.56","","0.71","","0.40","2.67","1.52","0.88","","5.51","0.90","5.99"
"MnO","0.03","","0.02","","0.01","0.07","0.04","0.03","","0.13","0.03","0.13"
"MgO","0.12","","0.35","","0.25","1.15","0.74","0.46","","2.58","0.62","2.83"
"CaO","0.74","","1.46","","0.52","3.06","2.31","2.11","","4.76","2.96","4.75"
