"","Leucosome","","","Basementorthogneiss","","Basementparagneiss","","",""
"","AH-03-22","Mean","SEMa","AH-02-07","AH-02-12","AH-03-18","AH-02-28","AH-02-30","AH-03-21"
"Na2O","380","327","052","396","342","445","220","523","211"
"K2O","440","477","120","260","412","372","298","221","313"
"P2O5","015","009","006","015","011","007","086","010","097"
"Sum","9925","","","9869","9852","10032","9744","9836","9640"
"(ppm)","","","","","","","","",""
"V","11","15","7","44","32","10","109","18","117"
"Cr","5","11","9","12","7","6","25","5","130"
"Co","3","5","2","8","5","7","19","3","23"
"Ni","<LD","22","19","27","52","<LD","36","31","87"
"Zn","16","22","10","69","45","29","148","35","143"
"Ga","17","16","2","22","16","19","15","18","23"
"As","<LD","2","1","3","4","<LD","2","4","<LD"
"Rb","2210","1744","352","1551","1819","1178","1689","793","1407"
"Sr","185","2319","942","2556","2956","4267","5570","6170","4547"
"Y","144","98","39","322","162","69","257","57","321"
"Zr","332","358","211","471","795","369","659","380","782"
"Nb","135","105","69","235","112","85","414","54","338"
"Cs","58","27","10","48","41","13","50","15","39"
"Ba","16","877","489","441","854","909","1300","672","1129"
"La","65","147","106","604","622","136","1030","63","650"
"Ce","138","273","185","1028","1108","271","2490","120","2020"
"Pr","16","32","22","125","135","29","250","14","270"
"Nd","57","105","69","393","418","103","997","48","870"
"Sm","157","209","120","671","692","201","1482","104","1630"
"Eu","011","092","046","134","135","045","382","052","296"
"Gd","146","189","101","624","507","166","1062","102","1141"
"Tb","033","032","014","105","071","025","138","018","142"
"Dy","232","173","069","560","309","136","551","098","699"
"Ho","047","035","014","122","060","025","100","019","123"
"Er","152","092","035","308","144","063","213","044","309"
"Tm","028","015","006","046","021","008","030","006","040"
"Yb","212","095","043","261","121","047","168","036","248"
"Lu","032","015","007","041","020","006","024","005","034"
"Hf","130","136","083","120","217","130","157","120","200"
"Ta","227","160","145","133","067","059","192","035","165"
"Pb","26","32","9","18","25","23","20","22","16"
"Th","268","714","539","2366","3018","572","1870","073","1530"
"U","676","352","163","1093","400","105","307","068","211"
"Eu/Eu⁎","022","","","063","070","075","093","154","066"
