"Sample no.","Location","Rock type","Rb","Sr","87Sr/86Sr","2σ c","87Rb/86Sr","87Sr/86Sr"
"","","","(ppm)","(ppm)","(m) a, b","(+/−)","(calc) d","(55 Ma)"
"LB-02-01","Slocan Lake","Ladybird granite","196.3","513.0","0.713177","09","1.11","0.71231"
"LB-02-02","Slocan Lake","Ladybird granite","209.7","438.1","0.713340","10","1.39","0.71226"
"LB-02-03","Slocan Lake","Ladybird granite","187.1","442.7","0.712551","10","1.22","0.71160"
"AH-03-03","Slocan Lake","Ladybird granite","232.0","327.1","0.713635","12","2.05","0.71203"
"AH-03-06","Sugar Lake","Ladybird granite","203.0","240.1","0.716841","34","2.45","0.71493"
"AH-03-07","Sugar Lake","Ladybird granite","252.0","247.2","0.719191","21","2.95","0.71688"
"AH-03-13","Sugar Lake","Ladybird granite","224.0","88.3","0.724540","18","7.35","0.71880"
"AH-03-30","Mt. Baldur","Ladybird granite","223.0","322.9","0.733146","23","2.00","0.73158"
"AH-03-31","Mt. Baldur","Ladybird granite","170.0","397.1","0.714386","17","1.24","0.71342"
"AH-03-32","Mt. Baldur","Ladybird granite","138.4","189.2","0.738118","33","2.12","0.73646"
"AH-03-33","Mt. Baldur","Ladybird granite","164.0","383.8","0.716813","22","1.24","0.71585"
"AH-03-34","Mt. Baldur","Ladybird granite","225.0","162.3","0.736805","25","4.02","0.73366"
"AH-03-37","Mt. Baldur","Ladybird granite","135.8","1329.0","0.706258","17","0.30","0.70603"
"AH-02-05","Frigg Glacier","Leucosome","92.1","245.9","0.743413","14","1.09","0.74256"
"AH-02-06","Frigg Glacier","Leucosome","150.9","307.0","0.750247","15","1.43","0.74913"
"AH-02-08","Frigg Glacier","Leucosome","123.2","274.4","0.747273","19","1.30","0.74625"
"AH-02-09","Frigg Glacier","Leucosome","166.7","274.1","0.751479","12","1.77","0.75010"
"AH-02-10","Frigg Glacier","Leucosome","160.4","304.0","0.750216","11","1.53","0.74902"
"AH-02-11","Frigg Glacier","Leucosome","196.1","296.2","0.761240","11","1.92","0.75974"
"AH-02-13","Frigg Glacier","Leucosome","194.2","285.7","0.752558","17","1.98","0.75101"
"AH-02-26","Saturday Glacier","Leucosome","184.6","383.3","0.761799","65","1.40","0.76070"
"AH-02-27","Saturday Glacier","Leucosome","124.3","227.1","0.767178","11","1.59","0.76593"
"AH-03-20","Saturday Glacier","Leucosome","36.5","191.2","0.765469","16","0.56","0.76504"
"AH-02-07","Frigg Glacier","Orthogneiss","155.1","255.6","0.752361","16","1.76","0.75098"
"AH-02-12","Frigg Glacier","Orthogneiss","181.9","295.6","0.750427","24","1.79","0.74903"
"AH-02-28","Saturday Glacier","Paragneiss","168.9","557.0","0.724180","10","0.88","0.72349"
"AH-03-18","Saturday Glacier","Paragneiss","117.8","426.7","0.726997","24","0.80","0.72637"
"Nd isotopes","","","","","","","",""
"Sample no.","Location","Rock type
Sm","Nd (ppm)","143Nd/144Nd","2σ","147Sm/144Nd","143Nd/144Nd","εNd e"
"","","(ppm)","","(m) a, b","c(+/−)","(calc) d","(55 Ma)","(55 Ma)"
"LB-02-01","Slocan Lake","Ladybird granite
9.13","55.18","0.512062","15","0.09964","0.51203","− 10.6"
"LB-02-02","Slocan Lake","Ladybird granite
7.81","44.72","0.512047","10","0.10517","0.51201","− 10.9"
"LB-02-03","Slocan Lake","Ladybird granite
8.10","47.45","0.512040","14","0.10280","0.51200","− 11.0"
"AH-03-03","Slocan Lake","Ladybird granite
3.03","14.72","0.511890","68","0.12396","0.51185","− 14.1"
"AH-03-06","Sugar Lake","Ladybird granite
8.66","45.82","0.511727","57","0.11381","0.51169","− 17.2"
"AH-03-07","Sugar Lake","Ladybird granite
5.40","31.54","0.511785","37","0.10310","0.51175","− 16.0"
"AH-03-13","Sugar Lake","Ladybird granite
5.87","22.88","0.511768","24","0.15450","0.51171","− 16.7"
"AH-03-30","Mt. Baldur","Ladybird granite
20.20","118.00","0.511980","13","0.10309","0.51194","− 12.2"
"AH-03-31","Mt. Baldur","Ladybird granite
8.93","71.01","0.512340","18","0.07573","0.51231","− 5.0"
"AH-03-32","Mt. Baldur","Ladybird granite
5.00","24.26","0.512007","30","0.12411","0.51196","− 11.8"
"AH-03-33","Mt. Baldur","Ladybird granite
8.48","65.94","0.512218","15","0.07744","0.51219","− 7.4"
"AH-03-34","Mt. Baldur","Ladybird granite
4.37","21.51","0.511875","13","0.12234","0.51183","− 14.4"
"AH-03-37","Mt. Baldur","Ladybird granite
1.49","7.85","0.512069","49","0.11430","0.51203","− 10.5"
"AH-02-05","Frigg Glacier","Leucosome
1.31","6.62","0.512123","29","0.11916","0.51208","− 9.5"
"AH-02-06","Frigg Glacier","Leucosome
3.8","19","0.511749","23","0.12044","0.51171","− 16.8"
"AH-02-08","Frigg Glacier","Leucosome
2.12","9.29","0.511704","25","0.13742","0.51165","− 17.8"
"AH-02-09","Frigg Glacier","Leucosome
5.98","34.57","0.511513","18","0.10417","0.51148","− 21.3"
"AH-02-10","Frigg Glacier","Leucosome
0.63","3.49","0.511697","20","0.10871","0.51166","− 17.7"
"AH-02-11","Frigg Glacier","Leucosome
1.69","8.86","0.511700","16","0.11487","0.51166","− 17.7"
"AH-02-13","Frigg Glacier","Leucosome
3.87","22.85","0.511510","28","0.10199","0.51147","− 21.3"
"AH-02-26","Saturday Glacier","Leucosome
2.52","9.98","0.511533","22","0.15206","0.51148","− 21.2"
"AH-02-27","Saturday Glacier","Leucosome
1.51","8.31","0.511395","44","0.10942","0.51136","− 23.6"
