"","Yelagiri Syenite"
"Sample No.","Ye-3 
Ye-1 
Ye-4 
Ye-5 
Ye-8 
Ye-10 
Ye-11 
Ye-2 
Ye-6 
Ye-7 
Ye-9 
Ye-12  Ye-13"
"Major elements (wt%):",""
"SiO,","60.73 
56.06 
56.82 
60.31 
60.71 
60.79 
60.34  59.72 
57.41 
57.24 
56.05 
60.76 
53.56"
"TiO,","0.50 
0.71 
0.56 
0.51 
0.48 
0.50 
0.45 
0.49 
0.66 
0.58 
0.58 
0.47 
1.13"
"A1203","17.67 
16.22 
16.95 
17.40 
17.57 
16.43 
17.11 
17.25 
16.79 
16.69 
16.72 
16.62 
14.25"
"Fez03","3.27 
4.61 
4.13 
3.40 
3.28 
3.20 
3.09 
4.27 
4.36 
3.84 
4.26 
3.28 
6.59"
"FeO","2.82 
2.58 
1.41 
1.33 
1.83 
1.49 
1.64 
2.07 
2.52 
2.66 
1.62 
4.63 
1.44"
"MnO","0.11 
0.11 
0.15 
0.16 
0.12 
0.13 
0.12 
0.15 
0.14 
0.15 
0.12 
0.26 
0.11"
"MgO","1.00 
1.03 
2.36 
2.03 
1.09 
1.38 
1.33 
1.56 
1.88 
1.93 
1.99 
1.37 
3.15"
"CaO","2.98 
4.59 
4.43 
3.03 
2.99 
3.88 
3.38 
4.13 
4.65 
4.85 
5.26 
3.95 
7.12"
"Na,O","5.11 
4.36 
5.33 
4.97 
5.17 
4.46 
5.32 
5.87 
4.28 
4.33 
4.35 
4.80 
4.54"
"","2.80 
5.97 
5.18 
4.31 
6.28 
6.20 
6.08 
6.54 
5.47 
6.62 
6.87 
5.42 
4.69"
"K20",""
"","0.25 
0.55 
0.44 
0.45 
0.24 
0.25 
0.45 
0.21 
0.20 
0.26 
0.49 
0.37 
0.20"
"PZO,",""
"L.O.I.","0.46 
0.77 
0.40 
0.35 
0.34 
0.44 
0.34 
0.41 
0.38 
0.31 
0.29 
0.57 
0.58"
"Total","98.87  99.34 
99.44 
99.10  98.86 
99.30 
99.95 
98.70 
99.95 
98.36 
98.62  99.62  99.78"
"K,O/Na,O","0.62 
1.37 
1.08 
1.43 
0.73 
1.47 
1.14 
1.27 
1.23 
1.38 
1.29 
1.24 
0.88"
"Fe,O,/FeO","2.03 
1.42 
1.60 
2.60 
2.11 
1.52 
2.07 
1.60 
2.41 
2.47 
1.75 
2.27 
1.63"
"(Na+K)/Al","0.89 
0.75 
0.95 
0.92 
0.87 
1.00 
0.99 
0.94 
0.90 
0.87 
1.02 
0.90 
0.99"
"Trace elements (ppm):",""
"Ba","1602 
1745 
1578 
1767 
1563 
1797 
1753 
1788 
2764 
2683 
3044 
1698 
742"
"Cr","13 
7 
18 
18 
8 
9 
27 
7 
15 
10 
10 
6 
9"
"Nb","19 
15 
12 
18 
13 
13 
13 
16 
6 
3 
20 
10 
14"
"Ni","1 
n.d. 
n.d. 
n.d. 
3 
6 
3 
3 
6 
3 
2 
6 
I"
"Rb","167 
139 
118 
169 
162 
173 
130 
97 
151 
116 
47 
144 
114"
"Sr","1342 
1372 
1457 
1370 
1307 
1384 
1364 
1516 
1768 
1685 
1944 
1333 
1120"
"V","101 
86 
137 
109 
84 
82 
83 
84 
128 
131 
133 
85 
189"
"Y","27 
25 
23 
27 
23 
24 
24 
25 
36 
19 
19 
22 
48"
"Zr","293 
236 
235 
298 
279 
200 
257 
215 
214 
129 
80 
178 
389"
"Nd","- 
57 
48 
56 
49 
52 
70 
43 
42 
109"
"Sm","9.7 
7.5 
9.3 
8.0 
13.4 
8.0 
8.1 
18.8 
8.4"
