"Sample","KTF-2","KTF-3","KTF-5","KTF-7","KTF-9","KTF-10","KTF-11","KTF-13","KTF-14","KTF-15","KTF-16","KTF-17","KTF-18","KTF-24"
"SiO2","7572","738","7838","7145","6653","7012","645","6974","7128","695","6908","7071","699","6863"
"TiO2","02","02","017","02","039","027","044","033","032","03","029","031","029","023"
"Al2O3","1094","114","969","1194","1241","1163","1324","1297","1164","1258","1291","1147","1217","1318"
"Fe2O3","118","154","094","131","298","22","305","227","234","223","218","231","23","156"
"MnO","001","002","001","002","005","004","006","005","005","005","005","005","006","002"
"MgO","093","146","082","125","228","141","227","107","109","11","107","112","119","136"
"CaO","041","054","031","152","34","267","374","187","215","187","188","236","224","179"
"Na2O","32","304","364","442","223","399","474","472","404","489","487","445","425","536"
"K2O","403","451","232","383","462","176","319","162","198","15","19","134","216","127"
"P2O5","005","004","003","005","006","004","007","006","006","006","005","006","005","004"
"Cr2O3","0005","001","0004","b0002","0027","0014","0021","0015","0016","0012","0013","0014","0016","0003"
"LOI","32","33","36","38","48","57","44","52","49","58","56","57","52","65"
"Total","9988","9987","9991","9979","9978","9984","9972","9992","9987","9989","9989","9989","9983","9994"
"Mg≠","610","653","633","654","602","559","596","483","480","494","493","490","506","633"
"Sc","4","4","3","4","8","7","9","7","8","7","7","7","7","4"
"V","11","11","b8","15","42","30","45","33","35","28","29","35","30","8"
"Co","18","38","06","05","59","41","62","38","42","33","36","44","35","11"
"Ni","112","33","31","3","368","25","351","237","258","181","226","263","195","36"
"Cr","343","411","274","","1851","960","1440","1028","1097","823","891","960","1097","206"
"Cu","86","296","26","18","208","78","72","53","52","54","51","55","44","28"
"Zn","33","34","24","29","46","39","49","42","41","39","43","39","43","34"
"Ga","84","9","68","91","121","11","125","113","121","121","114","116","116","93"
"Cs","226","222","273","1","84","265","19","208","163","20","191","181","175","138"
"Rb","781","842","724","2642","1562","609","2063","603","757","528","669","492","817","379"
"Ba","953","783","421","1465","1040","433","1324","473","528","363","460","340","668","294"
"Sr","832","946","18","352","1217","792","1407","901","778","742","74","745","799","655"
"Y","253","239","213","258","183","186","205","202","191","193","195","179","201","274"
"Zr","1356","136","1155","1388","1664","131","1833","1719","1461","1548","1439","1331","1529","1748"
"Nb","106","103","85","91","11","107","123","118","109","115","118","104","108","118"
"Hf","35","38","3","36","49","38","53","47","4","42","4","41","49","53"
"Ta","07","06","07","07","09","1","09","11","1","1","11","09","1","08"
"Pb","273","277","263","274","257","29","269","319","292","318","308","276","308","296"
"Th","132","139","115","13","153","184","163","185","182","182","202","179","20","168"
"U","39","37","29","4","48","48","54","54","53","55","5","53","54","48"
"La","326","318","234","251","369","353","394","376","374","399","39","351","397","396"
"Ce","61","567","452","493","663","642","679","669","661","681","701","655","714","72"
"Pr","612","607","479","561","699","642","713","7","683","715","716","658","728","763"
"Nd","212","194","188","196","226","213","249","236","238","245","236","203","251","262"
"Sm","41","399","349","4","409","354","455","416","411","43","42","381","455","512"
"Eu","069","067","057","075","085","065","097","079","073","076","069","071","077","093"
"Gd","369","402","313","402","355","335","378","357","336","383","382","358","38","484"
"Tb","069","069","057","073","059","056","066","062","06","061","06","06","062","081"
"Dy","372","388","351","44","323","3","328","355","328","339","375","352","362","454"
"Ho","093","091","08","092","069","068","073","074","068","076","068","076","075","104"
"Er","285","279","257","296","201","218","225","214","208","216","214","188","234","31"
"Tm","047","045","041","05","033","03","035","034","034","034","033","032","035","049"
"Yb","307","303","271","322","212","214","233","239","196","222","227","203","23","316"
"Lu","049","045","04","05","036","031","035","035","032","034","038","035","034","052"
"Sr/Y","11","11","08","14","67","43","69","45","41","38","38","42","40","24"
"(La/Yb)N","72","71","58","53","117","111","114","106","129","121","116","117","116","84"
