"Sample","Is4","Sr18","Sr20","Sr38","Ah1","Ah2","Ak8","Ak26","Dk4","Is5","Id17","Ed14","Id2a","Id5","Beöz","D14","Ed6","Ed11","Ed12","E20"
"Rocktype","tn","tn","tn","tn","tn","tn","tn","tn","tn","tn","tn","tn","mz","mz","mz","dio","dio","dio","dio","dio"
"SiO2","6249","6468","6442","6368","6183","6260","6367","6293","6312","6083","6185","6050","5983","6051","5943","5774","5735","5785","5698","5711"
"TiO2","068","064","066","070","065","074","064","072","056","073","068","066","076","066","070","075","066","079","082","082"
"Al2O3","1582","1552","1565","1516","1602","1549","1518","1528","1563","1604","1615","1618","1575","1658","1692","1682","1672","1661","1722","1660"
"t","","","","","","","","","","","","","","","","","","","",""
"Fe2O3","597","520","551","546","588","591","541","579","520","631","612","636","639","630","634","727","749","797","817","804"
"MnO","011","010","010","011","011","010","009","012","009","012","011","012","016","010","013","011","014","013","018","015"
"MgO","247","230","220","238","235","247","214","220","214","282","238","302","292","280","268","364","378","360","379","370"
"CaO","510","428","451","404","509","443","390","427","435","540","517","508","515","545","603","583","643","651","677","667"
"Na2O","322","329","343","352","327","335","361","355","309","355","344","316","299","320","346","326","304","300","308","321"
"K2O","309","336","323","346","294","301","352","357","416","272","315","350","402","330","303","293","215","216","231","263"
"P2O5","016","015","012","011","014","012","013","014","013","014","015","014","014","019","016","015","015","016","019","017"
"LOI","086","085","092","110","087","160","085","071","060","110","104","110","170","084","090","130","112","133","154","070"
"Total","9997","10037","10074","9982","9914","9998","9913","9928","9907","9976","10024","10001","9997","9993","10036","9980","9903","10011","10105","9980"
"Mg#","450","467","442","463","442","439","439","429","449","470","435","472","475","468","456","498","500","472","479","477"
"ASI","088","092","090","090","090","093","090","088","089","086","087","090","085","089","085","088","088","087","087","082"
"Rb","93","103","96","96","87","100","106","111","133","90","86","111","129","98","87","107","49","49","55","86"
"Sr","315","276","310","268","344","283","291","294","320","372","390","364","351","401","494","450","466","410","424","417"
"Ba","644","610","713","835","702","671","805","778","718","714","670","660","790","672","979","802","767","532","580","573"
"Cs","255","–","–","320","–","280","–","–","–","26","106","23","450","226","14","240","070","060","080","430"
"Zr","175","227","196","158","233","208","406","196","192","177","237","190","98","180","122","198","137","135","185","153"
"Hf","314","–","–","510","–","610","–","–","–","51","376","52","400","243","39","490","380","360","420","460"
"Th","9","11","10","10","10","9","12","10","16","11","9","12","12","11","9","12","8","7","6","10"
"Nb","9","8","10","9","8","7","10","11","10","9","8","10","10","9","8","8","6","7","8","8"
"Pb","46","17","18","na","17","19","56","23","21","na","21","21","na","25","na","na","9","14","25","68"
"Y","26","30","26","26","26","28","30","31","23","28","24","29","23","24","22","24","24","21","24","27"
"Cr","18","14","15","na","14","20","19","16","10","na","16","22","na","16","na","na","14","18","22","24"
"Ni","9","7","7","9","7","8","6","7","8","29","10","9","30","10","10","17","13","11","11","9"
"Co","14","14","12","12","15","11","20","20","20","17","16","10","16","15","14","21","20","22","20","17"
"V","98","58","121","93","129","90","111","127","109","133","95","104","134","109","122","172","179","181","158","186"
"Zn","79","41","41","na","51","45","53","60","36","na","38","43","na","38","na","na","46","49","69","100"
"La","2720","–","–","2630","–","3020","–","–","–","2880","2550","2770","2630","2650","2440","2840","1970","2650","1760","2740"
"Ce","5500","–","–","5420","–","6080","–","–","–","5870","4960","5710","5420","5170","4760","5630","3870","5330","3750","5690"
"Pr","637","–","–","615","–","694","–","–","–","667","556","649","605","594","515","650","437","582","446","636"
"Nd","2430","–","–","2310","–","2690","–","–","–","2530","2100","2450","2270","2240","2030","2560","1810","2230","1840","2510"
"Sm","500","–","–","480","–","550","–","–","–","530","423","550","460","463","401","510","390","490","450","530"
"Eu","109","–","–","106","–","124","–","–","–","120","107","124","101","103","115","135","092","117","109","127"
"Gd","455","–","–","454","–","508","–","–","–","502","400","484","423","413","402","464","373","411","398","474"
"Tb","070","–","–","074","–","083","–","–","–","077","060","076","068","064","061","068","057","065","068","077"
"Dy","437","–","–","434","–","505","–","–","–","494","384","485","444","394","395","438","400","369","409","482"
"Ho","088","–","–","090","–","099","–","–","–","101","078","094","088","079","078","100","074","076","082","095"
"Er","260","–","–","285","–","305","–","–","–","319","236","308","277","240","252","284","249","238","268","306"
"Tm","038","–","–","038","–","044","–","–","–","040","034","040","036","035","033","037","033","032","036","040"
"Yb","246","–","–","256","–","282","–","–","–","285","229","280","247","231","227","284","220","210","232","285"
"Lu","037","–","–","038","–","045","–","–","–","042","035","048","039","035","039","042","034","031","035","045"
"(Gd/Yb)cn","149","","","143","","145","","","","142","141","139","138","144","143","132","137","158","138","134"
"(La/Yb)cn","745","–","–","693","–","722","–","–","–","681","751","667","718","773","725","674","604","851","511","648"
"⁎","","–","–","","–","","–","–","–","","","","","","","","","","",""
"Eu/Eu","069","","","069","","070","","","","071","078","073","069","072","088","083","072","078","077","062"
