"Sample","206Pb/204Pb","2σm","207Pb/204Pb","2σm","208Pb/204Pb","2σm"
"Hostrocks","","","","","",""
"Sr11","186110","0006","156101","0006","386931","0006"
"Er2","186015","0004","156367","0005","387572","0004"
"Sr38","186057","0007","156050","0007","386823","0007"
"Id2a","186512","0015","156589","0015","388509","0016"
"Ed12","185868","0007","156255","0007","386802","0008"
"Id5","186320","0008","156222","0009","387170","0009"
"Id17","186026","0014","156200","0015","387006","0016"
"Id1c","186524","0017","156453","0017","388505","0017"
"Is4","185809","0009","156268","0009","386862","0009"
"MMEs","","","","","",""
"Id5+","186414","0010","156240","0009","387124","0010"
"Id10+","185819","0007","156182","0007","386450","0007"
"Id17+","186027","0011","156558","0010","387610","0011"
"Id1c+","185807","0006","156151","0006","386458","0006"
"Is4+","185863","0007","155996","0008","386431","0007"
"Id11+","186006","0010","156574","0010","387677","0010"
