"","","Stage1:Gabbroicdiorite(e)–Diorite(h)","","","Stage2:Diorite(h)–Granite(h)",""
"","Parent","Daughter","","Parent","Daughter",""
"","Average(n=7)","Observed(n=6)","Calculated","Average(n=6)","Observed(n=2)","Calculated"
"SiO2","5567","5917","5924","5917","7192","7196"
"TiO2","084","077","059","077","037","030"
"Al2O3","1763","1706","1720","1706","1437","1443"
"FeOt","802","694","701","694","258","262"
"MgO","438","367","382","367","101","107"
"CaO","788","636","633","636","186","188"
"Na2O","372","320","308","320","302","297"
"K2O","168","267","266","267","479","483"
"P2O5","016","016","009","016","007","−006"
"Fractionating","Plagioclase","","3235","","","2859"
"Minerals,wt%","Amphibole","","1681","","","1396"
"","Biotite","","451","","","004"
"","Fe–Tioxides","","294","","","296"
"Residualmelt,wt%","","","4339","","","5445"
"Sumresidualssquared","(r2)","","004","","","010"
