"Mineral","Am","Am","Am","Am","Am","Am","Am","Am","Am","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt","Bt"
"Sample","Sr2","Sr33","Ah2","D12","Beöz","E20","Id4+","Is4+","Id1c+","Sr11","Sr33","E25","D12","Id2a","Ed14","Id4+","Id5+","Is4+","Sek2+"
"Rock type","grd","grd","tn","tn","mz","dio","gbb.dio","dio","mz.dio","gr","grd","tn","tn","mz","dio","gbb.dio","gbb.dio","dio","mz.dio"
"SiO2","51.04","48.63","51.57","52.28","50.98","49.29","51.67","50.83","52.44","38.04","39.09","37.54","36.26","37.83","36.87","36.99","36.65","37.57","36.70"
"TiO2","0.91","1.14","0.55","0.36","0.42","0.52","0.36","0.57","0.86","5.05","2.79","4.63","5.81","5.06","5.91","4.63","5.37","4.45","5.58"
"Al2O3","3.64","4.71","3.23","2.16","4.32","4.69","2.89","3.42","3.10","12.66","11.93","13.00","13.16","12.15","13.28","13.03","12.46","12.29","12.63"
"FeOtot","13.37","18.04","13.33","12.35","12.43","16.77","14.97","15.16","9.43","11.11","13.89","15.68","16.23","14.34","14.14","13.80","15.71","17.73","15.83"
"MnO","0.54","0.57","0.42","0.52","0.74","0.41","0.46","0.29","0.21","0.18","0.22","0.34","0.34","0.13","0.24","0.24","0.15","0.13","0.20"
"MgO","15.49","12.52","15.65","16.50","16.36","12.83","13.89","14.73","18.23","17.70","17.68","14.80","13.52","15.64","14.71","17.15","13.95","13.88","13.72"
"CaO","11.41","10.20","11.23","12.00","10.98","11.93","12.18","11.39","11.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Na2O","1.12","1.69","1.07","0.58","0.97","0.75","0.49","0.86","1.08","0.36","0.18","0.14","0.31","0.20","0.28","0.17","0.23","0.26","0.28"
"K2O","0.38","0.52","0.30","0.21","0.35","0.48","0.27","0.38","0.28","8.94","8.35","8.80","8.77","9.54","9.13","7.12","8.98","8.91","8.92"
"Total","97.89","98.01","97.35","96.93","97.54","97.68","97.18","97.64","97.22","94.02","94.13","94.91","94.39","94.90","94.57","93.12","93.49","95.22","93.85"
"","Cations on the basis of 23 oxygens (amphibole) and 11 oxygens (biotite)","","","","","","","","","","","","","","","","","",""
"Si","7.325","7.106","7.425","7.538","7.295","7.222","7.550","7.366","7.423","2.817","2.919","2.823","2.762","2.828","2.762","2.782","2.811","2.848","2.805"
"Ti","0.098","0.126","0.059","0.039","0.045","0.058","0.039","0.062","0.091","0.281","0.157","0.262","0.333","0.285","0.333","0.262","0.310","0.253","0.321"
"Al","0.616","0.811","0.548","0.367","0.728","0.810","0.498","0.584","0.518","1.105","1.050","1.152","1.181","1.071","1.172","1.155","1.126","1.098","1.137"
"Fe3+","0.779","1.103","0.727","0.596","0.794","0.754","0.412","0.729","0.697","–","–","–","–","–","–","–","–","–","–"
"Fe2+","0.738","0.979","0.797","0.827","0.606","1.217","1.372","1.027","0.341","0.676","0.890","1.016","1.064","0.881","0.871","0.900","1.034","1.156","1.045"
"Mn","0.066","0.070","0.052","0.064","0.090","0.051","0.057","0.036","0.025","0.011","0.014","0.021","0.022","0.008","0.015","0.015","0.009","0.009","0.013"
"Mg","3.313","2.726","3.359","3.546","3.489","2.803","3.026","3.183","3.848","1.954","1.968","1.659","1.535","1.743","1.643","1.922","1.595","1.568","1.563"
"Ca","1.754","1.596","1.732","1.853","1.684","1.873","1.907","1.768","1.757","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"Na","0.311","0.478","0.299","0.163","0.268","0.213","0.139","0.243","0.297","0.052","0.026","0.020","0.045","0.029","0.041","0.025","0.034","0.039","0.041"
"K","0.069","0.096","0.055","0.038","0.064","0.090","0.051","0.070","0.051","0.845","0.795","0.844","0.852","0.910","0.873","0.683","0.878","0.862","0.869"
"Total","15.07","15.09","15.05","15.03","15.06","15.09","15.05","15.07","15.05","7.741","7.819","7.797","7.794","7.827","7.710","7.744","7.797","7.833","7.794"
