"analysis","#","207Pb/206Pb","error","204Pb1206Pb","error","uncorrected","","error"
"","","","","","","ane","",""
"1","","0.051231","0.000023","0.000134","0.000058","251 
.l","","1 .o"
"2","","0.053959","0.000086","0.000272","0.000045","368.7","","3.6"
"3","","0.050674","0.000134","0.000040","0.000008","226.0","","6.1"
"4","","0.050618","0.000240","0.000041","0.000050","223.5","","10.9"
"analysis","#","corrected","error","corrected","error","average","2-4","error  2-4"
"","","207Pb1206Pb","","age","","","",""
"1","","0.049261","0.001060","160.9","49.1","196.2","","2.8"
"2","","0.049963","0.001063","193.6","48.3","average","l-4","error 
l-4"
"3","","0.050086","0.000296","199.2","13.6","187.4","","17.8"
"4","","0.050016","0.001061","196.0","48.2","","",""
