"Sample","Rb","Sr","87Sr/86Sr ± 2σ","(87Sr/86Sr)i","Sm","Nd","143Nd/144Nd ± 2σ","(143Nd/144Nd)i","εNd(t)","δ11B","2σ","B (ppm)"
"","(ppm)","(ppm)","","","(ppm)","(ppm)","","","","(‰)","",""
"10QT09–2","227.2","2397","0.707177 ± 5","0.707049","11.67","72.81","0.512408 ± 4","0.512387","−4.08","−13.40","0.03","15.8"
"10QT09–3","216.7","2383","0.707149 ± 5","0.707026","10.77","68.27","0.512402 ± 6","0.512381","−4.19","","",""
"10QT09–4","245.8","2767","0.707198 ± 6","0.707078","10.76","65.86","0.512411 ± 4","0.512389","−4.02","","",""
"10QT09–5","276.7","2939","0.707175 ± 6","0.707048","11.93","77.05","0.512403 ± 4","0.512382","−4.16","","",""
"10QT09–6","280.4","3198","0.70716 ± 5","0.707041","12.46","80.69","0.512408 ± 4","0.512388","−4.05","−11.14","0.03","18.9"
"10QT10–1","378.2","1888","0.70749 ± 5","0.707218","7.187","39.81","0.512404 ± 5","0.51238","−4.2","","",""
"10QT10–4","231.9","2489","0.707377 ± 6","0.707251","9.612","66.22","0.512397 ± 4","0.512377","−4.25","−18.41","0.03","26.5"
"10QT20–3","172.9","3568","0.707374 ± 6","0.707308","14.8","104.2","0.512389 ± 3","0.51237","−4.4","−9.97","0.03","31.9"
"10QT10–6","206","2242","0.707175 ± 7","0.70705","9.382","59.4","0.512403 ± 4","0.512382","−4.17","","",""
"10QT10–7","209.7","2165","0.707151 ± 6","0.707019","9.203","59.23","0.512417 ± 4","0.512397","−3.88","","",""
"10QT10–9","230.2","2170","0.70727 ± 5","0.707127","7.831","52.98","0.512397 ± 5","0.512377","−4.26","−12.99","0.03","31.9"
"10QT20–1","208","880.1","0.709817 ± 7","0.709497","7.206","43.94","0.512140 ± 4","0.512118","−9.31","−20.12","0.03","18.7"
"10QT24–2","124.1","2702","0.707000 ± 5","0.706938","15.18","106.7","0.512387 ± 4","0.512369","−4.43","−9.52","0.03","5.72"
"10QT26–1","141.9","2797","0.707001 ± 5","0.706932","9.073","66.11","0.512385 ± 5","0.512367","−4.46","−14.42","0.03","7.45"
"10QT26–2","134.3","2767","0.707035 ± 5","0.706969","12.52","88.57","0.512388 ± 3","0.512369","−4.42","−18.45","0.03","4.29"
"10QT27–1","247.9","2357","0.707112 ± 6","0.70697","7.357","46.87","0.512406 ± 5","0.512386","−4.09","−8.13","0.03","23.6"
"11QT18–1","196.1","3636","0.707216 ± 7","0.707143","29.14","212.6","0.512368 ± 4","0.51235","−4.79","−15.61","0.04","16.3"
"11QT18–2","166.4","3459","0.707196 ± 7","0.707131","22.98","162.1","0.512363 ± 4","0.512345","−4.89","−7.95","0.03","18.4"
"11QT21–2","158","2879","0.707193 ± 5","0.707118","28.47","201.4","0.512385 ± 3","0.512367","−4.47","−14.55","0.05","6.83"
