"Sample  No.:","Rb/Sr","*","%/ 
8%","b","Sm/Nd","’","","","","Rock","name","’"
"","","","","","","","","","tNd 
e","","",""
"Chugoku  District","","","","","","","","","","","",""
"TK-3","0.0116","","0.70432","+  2","0.150","","0.51180","*  2","-0.7","Ab","",""
"TK-15","0.0500","","0.70418","f 
3","0.199","","0.51193","+  2","+I.8","Ab","",""
"TK-24","0.0635","","0.70394","*  3","0.210","","0.51196","+  2","+  2.4","Pb","",""
"TK-2","0.0205","","0.70537","+  4","0.211","","0.51190","f 
3","+2.3","Th","",""
"TK-7","0.0253","","0.70499","f 
4","0.246","","0.51180","f 
2","-0.7","Th","",""
"TK-8","0.0138","","0.70466","f 
2","0.255","","0.51182","+  3","-0.3","Th","",""
"81815-3","0.0237","","0.70381+","5","0.163","","0.51204","_+ 4","+4.0","Ne","",""
"A-l","0.0687","","0.70434","k  6","0.198","","0.51204","i:  2","+  4.0","Ab","",""
"Oki-Dogo 
Island","","","","","","","","","","","",""
"SHB","0.0310","","0.70491","f 
4","0.195","","0.51189","+  2","+1.1","Hw","",""
"MISG-2","0.0763","","0.70566","+  4","0.200","","0.51184","f 
2","i-o.2","Ab","",""
"SBA","0.0949","","0.70479","+  4","0.199","","0.51196","*  2","+  2.2","Ab","",""
"FBB","0.0594","","0.70474  & 4","","0.209","","0.51180","+  1","-0.7","Ab","",""
"northwestern","Kyushu","","","","","","","","","","",""
"Hig~hi-Matsuura","District","","","","","","","","","","",""
"80801-4","0.0721","","0.70415","+  4","0.212","","0.51195","*  2","+  2.2","Ab","",""
"80814-l","0.0492","","0.70437","+  4","0.198","","0.51193  &- 2","","+  1.8","Ab","",""
"80802-6","0.0567","","0.70421","f  4","0.291","","0.51200","f 
2","i-3.2","Ab","",""
"80812-S","0.0541","","0.70408","rt  4","0.227","","0.51203","f 
2","+  3.8","Ab","",""
"81812-S","0.0206","","0.70435","It  4","0.228","","0.51193","f 
2","+  1.8","Hw","",""
"80727-I","0.0770","","0.70426","f 
3","0.210","","0.51192","f 
3","+1.6","Ab","",""
"80821-3","0.0415","","0.70423  & 2","","0.258","","0.51196","rt  2","+  2.4","Th","",""
"Kita-Matsuura","District","","","","","","","","","","",""
"80906-7","0.0564","","0.70420","+  4","0.224","","0.51196","-1: 2","+  2.4","Th","",""
"80903-3","0.0360","","0.70399  & 5","","0.203","","0.51203","f 
2","+  3.8","Ab","",""
"80916-l","0.0639","","0.70381","+  6","0.182","","0.51203","f 
2","+  3.8","Ab","",""
"UrUngdo Island","","","","","","","","","","","",""
"No.2","0.0173","","0.70487","+  4","0.178","","0.51174","*  3","- 
1.9","rr","",""
"No.3","2.333","","0.70474","*  4","0.149","","0.51172","f 
3","-  2.3","Mu","",""
"No.5","0.283","","0.70462","+  5","0.153","","0.51178","*  2","-1.1","Hw","",""
"No.6","0.0456","","0.70551","rt  4","0.171","","0.51167","5  2","-  3.2","HW","",""
"Jejudo 
Island","","","","","","","","","","","",""
"J-l","0.0432","","0.7043s","+  3","0.271","","0.51198","+  3","+2.8","Hw","",""
"J-4","0.0327","","0.70426","+  3","0.289","","0.51200","*  2","+3.2","Hw","",""
"J-S","0.049s","","0.70399","rt  3","0.223","","0.51200","f 
2","+3.2","Hw","",""
"Datong","","","","","","","","","","","",""
"Ch-1","0.0437","","0.70395  & 6","","0.207","","0.51209","f 
2","-  5.0","Hw","",""
"Ch-12","0.0190","","0.70541","f 
3","0.200","","0.51176","5  3","-  2.0","Ab","",""
"Ch-19","0.0349","","0.70370","f 
6","0.208","","0.51207","rt  2","+4.6","Ab","",""
