"","","","","JejudoIsland","","",""
"No3","No5","No6","","J-l","J-4","","J-5"
"388","336","168","","968","331","","517"
"372","329","243","","28‘7","341","","327"
"006","101","245","","236","181","","165"
"143","820","335","","823","082","","257"
"","","","","","-","",""
"603","557","110","","128","190","","201"
"235","547","107","","927","181","","158"
"058","082","151","","148","185","","191"
"050","248","569","","481","390","","435"
"091","077","214","","133","083","","098"
"808014-l","80802-6","80812-5","","81812-8","80727-l","","80821-3"
"IGig","Ishimuro","Kabeshima","","Iki","Takashima","","Kiligo"
"","","","_-","~~","","-",""
"4839","4904","4904","","4865","4870","","4861"
"180","182","153","","231","180","","130"
"1752","1480","1358","","1696","1552","","1548"
"1097","1235","1240","","1107","1065","","1243"
"016","017","017","","015","014","","015"
"552","952","1156","","607","790","","804"
"821","963","955","","749","817","","849"
"368","303","283","","625","359","","302"
