"Ba(ppm)","580","460","490","370","640"
"Rb","411","300","238","238","136"
"Sr","570","610","420","440","660"
"Tll","469","288","407","271","633"
"Zr","170","170","140","110","330"
"Y","233","216","419","198","282"
"SC","258","206","295","260","177"
"Cr","200","48","290","470","94"
"co","493","383","479","575","353"
"Ni","160","33","140","270","110"
"Hf","38","33","23","24","70"
"Ta","24","13","17","11","38"
"La","316","267","366","194","488"
"Ce","594","501","750","356","909"
"Nd","2703","238","2451","1775","4059"
"Sm","572","471","714","404","900"
"Eu","185","184","260","134","253"
"Tb","068","078","103","080","095"
"Yb","209","173","384","177","253"
"CIPWnom","","","","",""
"Or","106","102","628","662","598"
"Ab","256","286","243","200","295"
"An","235","270","235","211","153"
"Ne","129","148","061","214","127"
"","_","","-","",""
"HY","","","","",""
"Di","139","957","180","199","135"
"01","184","165","214","249","150"
"Mt","179","164","179","180","161"
"It","371","351","343","291","439"
"AP","126","117","068","066","199"
