"Sample","87Rb/86Sr","87Sr/86Sr","± 2 S.E.","147Sm/144Nd","143Nd/144Nd","± 2 S.E.","87Sr/86Sr(i)","143Nd/144Nd(i)","ΣNd (t = 110)"
"Mu5","0.396","0.707939","0.000011","0.101","0.512456","0.000007","0.70732","0.51238","−2.2"
"Mu6","0.591","0.708249","0.000011","0.100","0.512419","0.000008","0.70732","0.51235","−2.9"
"Mu7","2.70","0.707345","0.000011","0.110","0.512464","0.000008","0.70312","0.51238","−2.2"
"Mu8","0.0638","0.707501","0.000014","0.114","0.512455","0.000008","0.70740","0.51237","−2.4"
"Mu11","0.146","0.707576","0.000012","0.121","0.512474","0.000008","0.70735","0.51239","−2.1"
"Mu19","1.18","0.708638","0.000014","0.113","0.512510","0.000008","0.70680","0.51243","−1.3"
"Mu23","1.79","0.709176","0.000014","0.0860","0.512898","0.000009","0.70637","0.51284","6.6"
"Mu25","1.78","0.709037","0.000012","0.121","0.512486","0.000008","0.70625","0.51240","−1.9"
"Mu31","2.27","0.710674","0.000011","0.0927","0.512482","0.000008","0.70712","0.51242","−1.6"
"XeMu","0.369","0.707722","0.000011","0.109","0.512474","0.000008","0.70715","0.51240","−2.0"
