"","","","","","","","Hydrous opx-rich xenoliths","","","","","","","",""
"","","TL53","","","","TL23","","","","","","","","","TL54"
"","","Lherzolite","","","","Harzburgite","","","","","","","","","Gabbronorite"
"opx","","cpx","","","opx","cpx","","","opx","","","pl","","","opx"
"< 0.03","< 0.03","0.05","0.03","< 0.03","< 0.08","0.16","0.02","0.05","< 0.03","< 0.03","< 0.03","1.20","1.35","1.43","< 0.04"
"< 0.03","< 0.04","0.28","0.04","< 0.04","< 0.08","0.16","0.04","0.09","< 0.0","< 0.04","< 0.04","11.93","11.18","11.32","< 0.04"
"< 0.03","< 0.03","49.9","45.7","49.3","0.12","3.94","2.59","3.04","< 0.02","< 0.03","0.09","175","108","122","< 0.03"
"1.5","1.6","12.1","12.0","13.0","0.7","26.1","27.7","26.9","1.22","1.25","2.52","0.13","0.10","0.12","1.31"
"3.22","2.91","8.60","9.16","8.87","0.40","143","156","132","6.11","6.20","12.6","< 0.07","< 0.07","< 0.07","5.56"
"0.11","0.16","0.29","0.34","0.31","0.03","5.55","4.96","5.26","0.33","0.36","0.56","0.02","< 0.003","< 0.006","0.24"
"< 0.004","0.00","0.17","0.16","0.16","< 0.01","0.11","0.10","0.37","< 0.005","0.01","0.01","< 0.006","< 0.006","0.01","0.21"
"0.00","0.01","0.02","0.01","0.01","< 0.006","0.03","0.02","0.03","< 0.002","0.00","< 0.002","< 0.003","< 0.003","< 0.003","0.06"
"0.01","0.01","1.43","1.53","1.50","< 0.005","4.28","4.00","5.23","0.01","0.01","0.08","5.44","5.02","5.05","0.06"
"0.02","0.03","4.02","3.98","4.07","0.02","22.77","21.24","27.59","0.03","0.03","0.38","8.25","7.32","7.91","0.18"
"0.01","0.01","0.60","0.66","0.69","0.01","5.73","5.68","7.15","0.01","0.01","0.11","0.92","0.66","0.80","0.03"
"0.03","0.02","3.38","3.48","3.87","< 0.03","54.13","53.17","64.66","0.14","0.16","0.90","3.75","2.54","3.57","0.21"
"0.03","0.03","1.28","1.30","1.27","0.02","26.65","26.69","29.81","0.20","0.17","0.65","0.48","0.38","0.56","0.07"
"0.01","0.01","0.51","0.50","0.49","0.02","1.56","1.47","1.91","0.03","0.03","0.04","1.54","1.41","1.24","0.01"
"0.06","0.08","1.65","1.58","1.76","0.06","14.00","15.27","16.84","0.17","0.14","0.63","0.07","0.05","0.17","0.12"
"0.02","0.02","0.36","0.35","0.34","0.01","1.65","1.80","1.76","0.04","0.04","0.08","0.01","0.01","0.01","0.03"
"0.14","0.20","2.23","2.22","2.49","0.11","6.50","7.23","7.34","0.24","0.20","0.52","< 0.009","< 0.01","0.04","0.23"
"0.06","0.06","0.53","0.53","0.58","0.04","1.11","1.12","1.22","0.06","0.04","0.11","< 0.002","0.01","0.00","0.06"
"0.19","0.26","1.49","1.45","1.62","0.11","2.36","2.40","2.38","0.17","0.19","0.26","0.01","0.03","0.01","0.19"
"0.04","0.05","0.22","0.23","0.23","0.02","0.30","0.29","0.28","0.03","0.03","0.06","< 0.003","0.00","< 0.003","0.04"
"0.34","0.44","1.28","1.53","1.54","0.31","1.51","1.57","1.59","0.27","0.25","0.32","0.00","< 0.01","0.01","0.26"
"0.07","0.09","0.18","0.21","0.22","0.04","0.20","0.21","0.22","0.05","0.03","0.06","< 0.002","0.01","< 0.002","0.04"
"< 0.008","0.06","0.21","0.07","0.07","< 0.02","0.05","0.06","0.10","0.06","0.01","0.03","0.44","0.63","0.60","0.01"
"0.00","0.00","0.12","0.11","< 0.02","< 0.005","0.28","0.45","1.65","0.00","0.00","0.05","0.00","0.00","0.00","0.05"
"0.00","","0.05","0.06","0.04","0.00","0.07","0.23","0.50","0.00","0.00","0.01","0.00","0.00","0.00","0.01"
