"","","TL1 anhydrous harzburgite","","","","","","","","","","TL16 anhydrous"
"Label","12A","12E","11G","13I","11F","13G","13H","11A","13A","12B","161e","164c"
"Mineral","ol","","opx","","cpx","","","sp","","","ol",""
"SiO2","40.79","40.88","55.94","55.78","52.76","51.41","50.95","–","–","–","41.19","41.24"
"TiO2","–","–","0.11","0.09","0.26","0.33","0.35","0.06","0.08","0.08","–","–"
"Al2O3","–","–","3.84","3.37","3.94","4.75","4.98","49.62","47.62","49.18","–","–"
"FeOtot","8.94","9.07","6.08","5.69","2.41","2.20","2.47","10.60","11.55","11.09","9.58","9.73"
"MnO","0.11","0.15","0.11","0.16","0.02","0.07","0.09","–","–","–","0.01","0.09"
"MgO","50.19","50.71","34.37","34.16","17.19","16.51","16.29","19.75","19.38","19.40","49.83","49.60"
"CaO","0.07","0.06","0.72","0.73","23.23","22.93","23.07","–","–","–","0.07","0.08"
"Na2O","–","–","0.01","0.05","0.56","0.65","0.62","–","–","–","–","–"
"K2O","–","–","0.00","0.00","0.00","0.00","0.00","–","–","–","–","–"
"Cr2O3","–","–","0.60","0.54","0.85","1.08","1.19","18.87","20.48","19.50","–","–"
"NiO","0.39","0.26","–","–","–","–","–","0.15","0.15","0.27","n.a","n.a"
"Total","100.49","101.12","101.79","100.58","101.23","99.92","100.01","99.06","99.26","99.52","100.68","100.74"
"(b)","","","","","","","","","","","",""
"","","TL23 hydrous harzburgite","","","","","","","","","",""
"Label","232a","231d","231c","235b","231a","231b","232c","232g","235a","232d","232e","235c"
"Mineral","ol","","opx","","cpx","","sp","","pl","amph","",""
"SiO2","41.29","41.32","55.48","55.54","51.29","52.14","–","–","54.16","43.29","43.06","43.24"
"TiO2","–","–","0.31","0.30","1.09","1.01","0.13","0.14","–","2.64","2.51","1.86"
"Al2O3","–","–","3.79","3.91","6.01","5.25","48.44","48.20","29.56","14.14","13.89","14.82"
"FeOtot","9.62","9.47","5.93","5.84","2.30","2.31","10.26","10.77","–","3.57","3.54","3.22"
"MnO","0.17","0.15","0.07","0.09","0.00","0.03","–","–","–","0.00","0.00","0.12"
"MgO","50.36","50.76","34.07","33.57","16.43","16.44","20.04","19.97","–","17.67","17.08","17.78"
"CaO","0.07","0.07","0.70","0.76","21.66","22.17","–","–","11.96","11.78","11.13","11.80"
"Na20","–","–","0.03","0.05","0.96","0.86","–","–","4.74","3.16","3.24","2.85"
"K2O","–","–","0.00","0.00","0.01","0.00","–","–","0.28","0.49","0.50","0.92"
"Cr2O3","–","–","0.42","0.68","0.86","0.86","18.97","19.90","–","1.56","1.54","1.09"
"NiO","0.42","0.46","–","–","–","–","0.27","0.30","–","0.14","0.14","0.16"
"Total","101.94","102.22","100.81","100.74","100.61","101.06","98.10","99.28","100.70","98.45","96.63","97.86"
