"","","","","","","TL24 anhydrous harzburgite","","","","",""
"Label","TL20 3a","TL20 3b","TL20 3c","TL20 4a","TL243","TL242i","TL243b","TL243d","Tl243a","TL242f","TL242g"
"Mineral","sp","pl","","","ol","","opx","","cpx","",""
"SiO2","–","53.40","53.77","53.26","41.57","42.01","56.45","56.28","52.55","52.13","51.64"
"TiO2","0.05","–","–","–","–","–","0.11","0.11","0.43","0.45","0.43"
"Al2O3","51.04","29.63","29.57","29.83","–","–","3.92","3.96","6.00","6.14","6.32"
"FeOtot","10.69","–","–","–","9.68","9.15","5.93","5.99","2.15","2.49","2.09"
"MnO","–","–","–","–","0.01","0.11","0.20","0.24","0.03","0.04","0.17"
"MgO","18.84","–","–","–","49.35","49.87","33.28","33.15","15.60","15.66","15.79"
"CaO","–","12.74","12.44","13.04","0.06","0.05","0.74","0.74","22.76","21.95","22.39"
"Na20","–","4.48","4.48","4.33","–","–","0.05","0.03","0.84","0.85","0.83"
"K2O","–","0.03","0.03","0.01","–","–","0.00","0.00","0.00","0.00","0.00"
"Cr2O3","16.69","–","–","–","0.03","0.02","0.60","0.43","1.03","1.17","1.16"
"NiO","0.17","–","–","–","0.31","0.25","–","–","–","–","–"
"Total","97.49","100.29","100.29","100.48","101.02","101.46","101.27","100.95","101.39","100.87","100.81"
"(b)","","","","","","","","","","",""
"","","","","","TL5 hydrous gabbronorite","","","","","",""
"Label","TL54 2b","TL54 2c","TL54 2d","TL5 1e","TL5 2d","TL5 1a","TL5 1d","TL5 2c","TL5 2d","TL5 1b","TL5 1c"
"Mineral","ph","","","opx","","pl","","","","amph",""
"SiO2","39.52","39.16","38.89","55.00","55.71","53.23","52.34","49.21","53.47","43.33","42.51"
"TiO2","2.16","2.04","2.15","0.27","0.01","–","–","–","–","0.96","0.98"
"Al2O3","17.78","17.64","17.62","4.72","4.37","29.91","29.93","31.93","30.77","15.98","16.32"
"FeOtot","3.03","3.02","3.06","8.66","8.67","–","–","–","–","4.91","4.97"
"MnO","0.07","0.00","0.04","0.20","0.22","–","–","–","–","0.08","0.17"
"MgO","22.99","22.77","22.61","31.78","30.61","–","–","–","–","17.02","17.55"
"CaO","0.06","0.08","0.01","0.42","0.63","12.75","13.06","15.86","14.53","11.56","11.24"
"Na20","1.20","1.00","1.10","0.02","0.03","4.53","4.16","2.52","2.28","3.04","3.09"
"K2O","8.42","8.39","8.47","0.01","0.02","0.20","0.16","0.21","0.07","0.78","0.77"
"Cr2O3","0.16","0.14","0.11","0.17","0.09","–","–","–","–","0.09","0.16"
"NiO","0.16","0.15","0.23","–","–","–","–","–","–","0.08","0.15"
"Total","95.55","94.39","94.29","101.24","100.36","100.61","99.66","99.73","101.13","97.84","97.91"
