"","","","TL45anhydrouslherzolite","","","","","","","","",""
"TL243c","TL242h","453F","453G","454A","451c","452a","454B","453A","454D","453C","453D","453E"
"sp","","ol","","opx","cpx","","","sp","","pl","",""
"–","–","3986","4021","5549","5177","5121","5111","–","–","5328","5265","5308"
"005","006","–","–","019","073","094","090","009","012","–","–","–"
"5262","5170","–","–","333","511","530","575","5076","5033","2967","2946","2931"
"1038","1065","950","1006","676","223","206","237","1123","1128","–","–","–"
"–","–","013","015","013","001","011","006","–","–","–","–","–"
"1874","1923","4871","4920","3359","1610","1608","1572","1913","1921","–","–","–"
"–","–","005","006","067","2273","2266","2268","–","–","1215","1242","1228"
"–","–","–","–","002","068","074","073","–","–","475","444","457"
"–","–","–","–","000","001","001","002","–","–","004","002","007"
"1680","1704","–","–","050","081","107","113","1711","1755","–","–","–"
"024","022","030","042","–","–","–","–","028","031","–","–","–"
"9883","9891","9856","10010","10069","10019","10018","10046","9861","9881","9989","9899","9931"
