"","VA42","VA164HR29","VA262","VA244","VA125","VA16","MP161","MP128","VA90","VA264","","VA261MP718MP173",""
"SiO,","6490","64006240","6239","6182","6100","6100","6070","5990","5900","5743","5399","5440","5310"
"TiO,","094","078140","089","137","110","130","110","100","150","158","197","190","190"
"","1510","16101530","1614","1484","1610","1610","1750","1720","1510","1589","1658","1710","1620"
"A1203","","","","","","","","","","","","",""
"","557","545738","645","793","675","708","646","781","930","952","1128","1120","960"
"Fez03","","","","","","","","","","","","",""
"MnO","011","008017","015","013","010","012","011","011","014","016","018","018","015"
"MgO","099","100160","102","198","260","170","099","100","180","229","276","180","370"
"Cao","360","480380","364","358","390","450","460","440","500","499","622","660","790"
"Na,O","350","350300","321","301","320","350","350","350","350","339","328","300","320"
"","360","340370","414","372","360","310","390","410","340","284","202","240","230"
"K,O","","","","","","","","","","","","",""
"","042","039049","039","050","053","044","042","041","066","073","095","086","077"
"p20,","","","","","","","","","","","","",""
"LO1","140","070017","063","031","090","120","012","031","060","029","021","035","068"
"Total","10013","100209941","9905","9919","9978","10004","9940","9974","10000","9911","9944","9979","9950"
"V","35","31178","43","88","67","57","122","182","125","106","121","160","216"
"Zn","101","10598","102","117","126","130","65","31","134","135","169","58","85"
"Rb","79","82110","84","87","91","72","79","110","64","62","36","38","67"
"Ba","2246","25932060","2588","2101","3043","2594","3010","3400","2727","2154","1746","2030","1070"
"Sr","428","458510","475","437","518","534","650","531","579","581","677","760","890"
"","","","","","","","--","","","","","",""
"Ga","20","2330","19","19","23","22","","c-","21","21","21","30","28"
"Nb","362","2850","295","338","332","334","30","40","352","386","46","64","26"
"Hf","223","--171","22","22","229","218","--","--","183","205","23","-_","-_"
"Zr","819","6421000","840","767","915","860","940","1000","724","828","1084","1760","600"
"Y","29","2650","34","32","32","32","18","25","36","36","36","70","54"
"XMg","026","027030","024","033","043","032","023","020","028","032","033","024","043"
"WRb","3781","3442791","4089","3548","3282","3572","4096","3093","4408","380","4656","524","2848"
"Rb/Sr","018","018022","018","020","018","013","012","021","011","011","005","005","007"
"","-_","--","","","-_","-_","","","","-_6715","","","--"
"La","","11130","5618","10090","","","5007","4941","","","7038","7136",""
"Ce","--","-_19070","12690","21280","--","-","8996","9647","--","15300","15970","14010","-_"
"","-_","-_","","","--","--","","","","-_7922","","","-_"
"Nd","","8861","5767","9394","","","4898","5844","","","8261","8496",""
"","--","-_","","","--","-_","","","","","","","-_"
"Sm","","1210","1050","1528","","","810","1090","","-_1410","1408","1360",""
"","--","--","","","-","-_","","","","","","","-_"
"Eu","","319","354","326","","","380","409","--","373","346","432",""
"","-_","--","","","-_","-_","","","","","","","--"
"Gd","","843","721","969","","","615","802","-_975","","967","1019",""
"","-_","","","","-_","-","","","-_695","","","","-"
"","","I423","504","591","","","380","495","","","677","616",""
"DY","","","","","","","","","","","","",""
"","--","--","","","-_","-_","","","","","","","--"
"Ho","","078","094","106","","","066","093","-_132","","127","115",""
"","-_","--","","","--","--","","","-320","","","","-_"
"Er","","157","221","224","","","160","252","","","303","274",""
"","-_","-_","","","-_","-_","","","","","","","--"
"Yb","","103","148","133","","","138","191","-_228","","214","219",""
"","-_","-_","","","-_","-_","","","","","","","-_"
"Lu","","013","019","015","","","018","026","-027","","029","028",""
"REEtot","--","-_42207","27186","44656","--","--","21468","23790","--","34097","35340","33705","-_"
"","--","-_","","","--","-_","","","","","","","-_"
"Ce/YbN","","4790","2218","4139","","","1686","1306","--","1736","19310","1'655",""
"Eu/Eu*N","-","-_092","118","077","--","","-_158","128","--","092","086","108","--"
