"Sample","Rb(ppm)","Sr(ppm)","87Rb/86Sr","Error","87Sr/86Sr","Error","(87Sr/86Sr)i","(0)","E(05Gal"
"VA-04","5525","61087","02618","00037","071074","000011","0708875","8857346","7051839"
"VA-257","5979","66512","02602","00037","071074","000016","0708886","8857346","7068035"
"VA-249B","5420","67520","02324","00036","071026","000011","0708604","8176011","6667533"
"VA-249C","7561","67414","03262","00050","071198","000012","0709656","1061746","8161543"
"VA-90","6400","57900","03199","00015","071080","000002","0708521","8942512","6548923"
"VA-125","9100","51800","05085","00012","071223","000001","0708607","1097232","6671384"
"VA-261","3600","67700","01539","00014","070963","000001","0708534","7281760","6567343"
"W-1751","8270","59190","04000","00100","071160","000120","0708750","1007807","6874669"
"W-1752","4190","51430","02400","00100","070980","000100","0708090","7523066","5937111"
"W-1756","5490","54540","02900","00100","071060","000070","0708534","8658623","6567498"
"W-1759","4760","55260","02500","00100","070960","000100","0707819","7239177","5551760"
