"Unit","Sample","Leach","87SrWSr,","Rb","Sr","87RbWSr","87SrP6Srai","2SD","87SrPcSr","1"
"","","Step","","","","","","","",""
"K","13HWR","","070881","1130","644","508","070768","000011","",""
"K","13HLi","","070143","","","","","","070808",""
"K","13HL2","","071174","","","","","","070811",""
"K","13HL3","","071216","319","22","4293","070429","000005","070883",""
"Ll","5HWR","0","070875","1150","851","391","070806","000006","",""
"Ll","5HLl","","070877","","","","","","070876",""
"Ll","5HL2","2","070873","","","","","","070897",""
"Li","5HL3","3","070901","633","97","1873","070557","000003","070851",""
"c","13GWR","","071104","1100","303","1052","070902","000009","",""
"C","13GLl","","071142","1158","261","1283","070898","000003","070789",""
"C","13GL2","","071269","1208","219","1600","070984","000005","070706",""
"C","13GL3","","071108","1145","272","1219","070876","000005","070770",""
"C","13GL4","","071406","1325","196","1957","071034","000004","070909",""
"n","G2WR","","070953","896","109","2388","070507","000010","",""
"TL","G2Ll","","071154","950","105","2620","070841","000007","070840",""
"TL","G2L2","","070967","987","107","2665","070444","000006","070833",""
"TL","G2L3","","070928","984","105","2723","070394","000005","070851",""
"n","G2L4","4","070988","1097","97","3265","070349","000004","070812",""
