"","Lowerzone","","","","","","","Middlezone","","","",""
"Sample","HG0","HG1","HG2","HG3","HG4","HG5","HG6","HG8","HG9","HG10","HG11","HG12"
"RocktypeOcp","","Cpx","Ocp","Ocp","Cpx","Ocp","Ocp","Cpx","Cpx","Cpx","Ocp","Ocp"
"Height(m)000","","050","300","350","400","650","700","1200","1300","2500","3000","3100"
"Majoroxides(wt%)","","","","","","","","","","","",""
"SiO2","3610","3522","3686","3494","3525","3642","3557","3624","3673","3518","4079","4213"
"TiO2","499","486","487","525","619","555","564","706","707","761","358","450"
"Al2O3","360","351","376","364","372","351","421","374","376","352","336","385"
"Fe2O3","2378","2320","2314","2412","2269","2263","2420","2306","2219","2432","2147","1881"
"MnO","021","020","020","021","020","020","020","018","017","017","019","016"
"MgO","1926","1879","1788","1795","1696","1848","1631","1449","1396","1364","1774","1448"
"CaO","1138","1110","1332","1239","1299","1237","1320","1417","1488","1441","1144","1553"
"Na2O","025","024","021","032","022","023","048","030","030","025","032","032"
"K2O","005","005","002","004","003","003","017","004","004","002","007","004"
"P2O5","012","012","009","008","011","010","009","009","009","005","009","002"
"LOI","061","336","108","041","106","114","082","051","039","036","173","093"
"Mg-no","62","62","61","60","60","62","57","56","56","53","62","61"
"Total","9974","9730","100369893","","9834","9953","10008","9937","9920","9917","9904","9984"
"P2O5/K2O231","","231","395","211","436","305","053","201","228","283","132","061"
"","Traceelement(ppm)","","","","","","","","","","",""
"Cu","3490","3410","3010","3050","3700","3550","3310","4890","7730","6430","","1950014200"
"Cr","1620","1790","1910","1660","1710","1790","1700","1390","1340","1150","1120","1140"
"La","731","564","523","465","540","486","494","508","506","363","457","331"
"Ce","1850","1530","1550","1370","1530","1410","1410","1470","1530","1160","1260","1080"
"Pr","320","275","295","260","284","265","265","276","289","232","222","218"
"Nd","1640","1450","1560","1420","1530","1430","1450","1500","1580","1280","1180","1230"
"Sm","431","381","437","397","412","402","416","417","446","372","314","359"
"Eu","138","130","149","132","139","129","135","142","144","126","108","123"
"Gd","451","401","443","399","413","389","416","428","429","370","333","370"
"Tb","060","053","063","057","059","056","059","062","064","052","044","051"
"Dy","289","266","309","271","276","265","286","292","297","256","226","251"
"Ho","056","049","057","051","052","052","053","054","055","049","041","046"
"Er","131","114","128","120","117","114","124","121","127","109","094","105"
"Tm","014","013","015","014","014","014","014","014","016","013","011","012"
"Yb","090","079","088","079","084","079","086","083","092","073","064","069"
"Lu","012","010","012","010","011","010","012","011","012","009","009","009"
"ΣREE","6212","5314","5628","5044","5460","5100","5220","5377","5586","4463","4362","4255"
