"Ce","1080","1820","1560","2380","1440","481","607","1640","326","115","1340","708"
"Pr","210","324","269","398","260","069","089","289","066","017","243","132"
"Nd","1180","1740","1400","2030","1390","327","413","1540","365","090","1290","736"
"Sm","345","483","373","528","377","074","091","403","120","021","355","206"
"Eu","109","155","122","172","127","024","030","136","039","006","117","070"
"Gd","334","489","361","533","388","070","087","403","117","019","334","208"
"Tb","047","068","052","076","054","010","013","057","017","003","051","029"
"Dy","231","336","243","349","260","046","058","274","082","016","237","144"
"Ho","044","064","045","068","047","009","011","051","016","003","044","028"
"Er","102","141","105","156","111","023","028","116","035","009","100","061"
"Tm","011","017","012","018","012","003","003","014","004","001","011","007"
"Yb","069","102","068","107","079","018","021","080","028","006","068","044"
"Lu","010","015","009","015","010","003","003","010","004","001","009","006"
"ΣREE","4113","6407","5228","7812","5068","1378","1735","5627","1319","360","4691","2628"
"V","909","525","674","548","903","1150","1160","649","1530","1700","803","1160"
"Ni","31800","","349003950051800","","21500","75200","59900","25200","8320","","1030002040044300",""
"Cu","31400","","246001010025800","","22500","6510","6800","15200","14100","","189001990011700",""
"Ge","172","146","156","149","154","092","098","167","101","109","167","137"
"Rb","080","054","164","057","077","081","098","182","046","033","143","066"
"Sr","105","96","111","93","112","40","48","160","36","8","132","72"
"Y","960","1370","1040","1510","1070","211","269","1150","372","066","977","607"
"Zr","5080","9230","4380","10500","5310","2740","2510","4890","6010","1540","4490","3180"
"Nb","971","2520","480","2670","769","702","610","526","1410","318","390","497"
"Ba","13","7","16","7","11","17","19","38","6","15","23","11"
"Hf","207","349","185","363","219","089","088","193","234","061","193","136"
"Ta","094","237","044","247","075","064","053","044","177","038","034","047"
"Th","018","042","034","098","039","022","025","045","007","007","041","014"
"U","005","013","010","026","012","007","009","013","004","007","012","005"
"Ba/Th","70","17","46","7","28","75","77","83","83","206","57","82"
"La/Nb","035","026","127","037","067","032","046","117","126","050","025","188"
"Th/Ta","019","018","079","040","052","035","046","103","004","019","119","029"
"","Upperzone","","","","","","","Baicao","","","","Banfangiqng"
"Sample","HG25","HG26","HG27","HG28","HG30","HG31","HG32","BC-1","BC-2","BC-3","BC-4","BFQ-1"
"RocktypeGb","","Ore","Mt-Gb","Gb","Mt-Gb","Gb","Gb","LT","LT","HT","HT","HT"
"Height(m)11500","","","119001250013900","","14500","14700","14800","","","","",""
"Majoroxides(wt%)","","","","","","","","","","","",""
"SiO2","4588","635","590","2803","2403","3923","4455","4814","4875","5316","5153","4589"
