"Sample","δ98/95Mo","δ98/95Mo*","2SE","Mo","SiO2","MgO","Ce","176Hf/177Hf","143Nd/144Nd"
"","","","","[µg/g]","(wt%)","(wt%)","[µg/g]","",""
"Oshima","","","","","","","","",""
"1986A-1","011","010","004","068","5212","480","642","0283290","0513107"
"S2-1","011","008","004","068","5136","556","668","0283286","0513107"
"N4-1","011","008","004","065","5217","506","712","0283289","0513107"
"Y5-1","001","000","003","077","5240","487","699","-","-"
"Miyakejima","","","","","","","","",""
"1469","-002","-003","004","090","5355","455","1080","0283262","0513106"
"1983-2903","-002","-003","004","092","5330","402","996","0283263","0513108"
"MJ-12-02","001","-002","004","082","5313","391","1013","0283261","0513105"
"1874","000","-004","004","086","5403","409","1090","-","0513111a"
"Hachijojima","","","","","","","","",""
"03102812A","-006","-007","004","078","5057","362","811","0283236","0513101"
"03103009","-004","-007","003","077","5076","400","810","0283226","0513096"
"03102804","-003","-005","004","110","5241","407","1030","0283234","0513102"
"03102807","-013","-014","004","078","5104","374","875","-","0513089b"
"Torishima","","","","","","","","",""
"TS-01-01","007","004","004","077","5180","338","486","0283277","0513118"
"TS-17-24","004","001","004","087","5466","408","588","0283272","0513111"
"Niijima","","","","","","","","",""
"NJ-1","-014","-017","003","038","5129","503","1136","0283230","0513060"
"NJ-2","-009","-012","003","038","5103","491","1038","0283229","0513068"
"Reference","n","δ98/95Mo","2SD","Mo","2SD","","","",""
"material","","","","[μg/g]","","","","",""
"BHVO-2","10","-005","009","462","266","","","",""
"JB-2","8","006","004","094","026","","","",""
"AGV-2","8","-015","005","192","028","","","",""
"SBC-1","3","041","004","214","022","","","",""
