"","","MORB","IM1","IM2k","Izu","Sediment","AMOC","AMOC","Aqueousslab"
"","","","","","sediment","melt","","melt","fluid"
"Mo[µg/g]","","046a","046a","007e","249f","911i","037j","135i","288m"
"Hf[µg/g]","","279a","279a","206e","144g","061i","307k","131i","0m"
"Nd[µg/g]","","1203a","1203a","048e","252g","363i","113k","163i","066m"
"δ98/95Mo(‰)","","-02b","-021d","-021d","-029f","-029f","036j","036j","025n"
"176Hf/177Hf","","028326c","028320","028330","028290h","028290h","028320l","028320l","-"
"143Nd/144Nd","","051312c","051307","051317","051237h","051237h","051314l","051314l","051312c"
"","","","","","Slabcomponent","","","",""
"","Fluid","Slabmelt","Sedim","AMOC","MoHf","Nd","δ98/95Mo","176Hf/177Hf","143Nd/144Nd"
"","(%)","(%)","(%)","(%)","[µg/g][µg/g]","[µg/g]","(‰)","",""
"Model(a)","100","-","-","-","2880","066","025","-","051312"
"Model(b)","75","25","5","20","288117","203","018","028317","051288"
