"Rocktype","Maﬁcdyke","","","","Carbonatite","Carbonatite"
"","","","","","stock","dyke"
"Sampleno","06B001","06-2-1","06B087","06B140","05B130","06B119"
"SiO2","5185","5145","5204","4632","084","060"
"TiO2","080","090","101","101","001","001"
"Al2O3","1490","1536","1738","1685","003","002"
"T","","","","","",""
"Fe2O3","841","821","890","924","464","607"
"MnO","015","032","012","013","052","040"
"MgO","820","629","359","512","1734","1735"
"CaO","832","757","431","844","2953","2961"
"Na2O","346","599","404","236","005","004"
"K2O","155","108","326","219","004","002"
"P2O5","018","020","032","022","116","003"
"LOI","160","195","460","759","4307","4424"
"Total","9941","9933","9957","9947","9723","9839"
"Mg#","6944","6410","4846","5636","8970","8695"
"Rb","3801","2352","8475","8860","073","101"
"Ba","5806","9756","1922","1017","1223","9816"
"Th","687","598","621","372","125","106"
"U","124","122","129","071","013","020"
"Nb","1119","1378","1711","673","180","376"
"Ta","052","065","075","032","009","021"
"La","2185","1361","4021","2394","7250","5382"
"Ce","2496","1772","7172","4881","1793","1128"
"Pr","2149","1943","883","604","2314","1320"
"Sr","5444","9232","6569","7561","5626","6021"
"Nd","6187","5533","3144","2357","8224","4627"
"Zr","1471","1592","1442","1296","238","301"
"Hf","383","443","366","347","017","012"
"Sm","806","822","560","520","1377","657"
"Eu","184","272","147","134","348","184"
"Gd","724","700","451","433","959","469"
"Tb","084","090","066","066","111","054"
"Dy","467","508","381","391","463","233"
"Y","2432","2544","2103","2032","1597","888"
"Ho","097","097","087","082","070","037"
"Er","275","263","240","226","147","090"
"Tm","038","038","037","034","018","012"
"Yb","254","246","235","219","095","075"
"Lu","040","037","036","034","012","011"
"∑REE","5812","4188","1745","1237","3932","2444"
"Eu/Eu*","074","109","090","087","093","101"
"(La/Yb)N","6173","3969","1228","784","5503","5147"
"Nb/Ta","2172","2116","2291","2077","2068","1791"
