"Rock type","Sample no.","87Rb/86Sr","87Sr/86Sr","147Sm/144Nd","143Nd/144Nd","ISr(t)","εNd(t)","TDM(Ga)"
"Maﬁc dyke","06B001","0.1722","0.705736","0.0679","0.511581","0.702710","− 0.38","1.639"
"","06-2-1","0.0551","0.704858","0.0813","0.511682","0.703889","− 0.51","1.689"
"","06B087","0.4494","0.711319","0.0985","0.511837","0.703421","− 0.19","1.736"
"","06B140","0.3135","0.709802","0.1230","0.512021","0.704292","− 0.45","1.895"
"Carbonatite stock","05B130","0.0001","0.702866","0.0965","0.511807","0.702866","1.18","1.745"
"","06B283","0.0001","0.702984","0.0841","0.511662","0.702983","0.50","1.748"
"Carbonatite dyke","06B119","0.0001","0.703168","0.0842","0.511630","0.703167","− 0.15","1.788"
"","M-3-2","0.0005","0.708153","0.1266","0.512023","0.708143","0.16","1.971"
"","M-3-1","0.0001","0.706373","0.0591","0.511433","0.706371","0.38","1.690"
"","05B123","0.0563","0.708139","0.0695","0.511525","0.707047","0.35","1.717"
"","05B006","0.0005","0.708556","0.0444","0.511259","0.708546","− 0.47","1.700"
"","M-12-1","0.0021","0.708911","0.0639","0.511488","0.708871","0.61","1.689"
"","M-12-2","0.0020","0.704784","0.1914","0.512624","0.704745","0.65","3.596"
"","05B157a","0.0019","0.705456","0.1870","0.512530","0.705419","− 0.43","3.542"
