"Rock type","","Calc-alkaline lamprophyres","","","","","","","","","",""
"Sample no","KML1","KML2","KML3","KML5","KML6","KML7","KML9","KML10","KML11","KML12","KML15","KML16"
"SiO2","52.98","50.2","50.54","49.75","49.66","51.13","51.76","48.55","47.47","50.21","55.93","55.65"
"TiO2","0.86","1.08","1.13","1.71","1.26","1.68","0.75","0.97","0.71","0.54","0.71","0.71"
"Al2O3","16.2","14.84","14.69","15.07","14.47","15.31","16.49","15.92","16.51","14.4","16.83","17.22"
"t","","","","","","","","","","","",""
"Fe2O3","7.93","10.85","10.17","11.01","11.8","10.61","7.5","9.36","10.27","8","8.02","8.17"
"MnO","0.13","0.19","0.21","0.22","0.19","0.18","0.14","0.16","0.17","0.14","0.16","0.16"
"MgO","6.83","7.67","8.2","6.86","7.03","5.94","7.74","8.9","9.87","10.64","3.78","3.63"
"CaO","7.77","9.48","9.77","9.33","8.72","8.68","8.62","9.82","8.62","10.18","6.94","7.17"
"Na2O","4.08","2.66","2.77","3.27","3.65","3.65","3.78","2.37","1.73","2.4","2.81","3.22"
"K2O","1.53","1.39","1.17","1.06","0.67","1.14","1.08","1.26","1.54","0.7","1.54","1.59"
"P2O5","0.108","0.118","0.09","0.13","0.12","0.15","0.08","0.09","0.06","0.06","0.15","0.16"
"LOI","1.3","1.3","1.1","1.1","2.3","1.4","1.9","2.3","2.7","2.4","2.9","2.1"
"Total","99.71","99.77","99.84","99.6","99.8","99.87","99.84","99.70","99.65","99.67","99.77","99.78"
"Mg#","0.63","0.58","0.62","0.55","0.53","0.53","0.67","0.65","0.66","0.73","0.48","0.47"
"Rb","64.3","51.7","40.6","26.1","19.8","44.4","44.3","47.5","69.2","25.3","38.2","43.4"
"Sr","146.5","269","164.6","198.2","176.8","207.2","309.9","299","216.7","259.5","313.5","372.2"
"Ba","248","159","135.4","258.4","81.1","136.9","148","217","393","143","498","470"
"Cs","1.9","1.6","1.4","1","0.8","2","1.1","2.6","2.7","1.7","1.4","1.6"
"Zr","71.2","75","69.6","97.3","83.2","123.2","63.1","66.8","44.1","40.4","121.1","112.4"
"Hf","2.5","2.1","1.9","2.8","2.3","3.5","2","2","1.4","1.1","3.2","3.3"
"Th","2.7","2.3","3","2.4","1.8","2.9","3","1.3","1.7","3.4","6.2","5.7"
"Pb","2.2","7","9.2","5","1.8","8.8","6.6","4.6","5.7","4.5","6.9","8"
"Nb","2.2","3","2.3","3","2.6","3.7","2.2","1.6","1.2","1","6.2","6"
"Y","18.8","19.6","25.9","26.6","34.4","19","20.2","21.5","20.6","11.7","22.3","22.1"
"Ni","29.8","6.4","24.5","9.3","13","8","29.9","44","79","72.4","7.2","5.7"
"Co","32.3","40.8","42.6","38.9","43","36.5","35.3","42.2","47.6","46.8","21.1","21.4"
"V","176","221","242","380","258","311","182","240","188","203","194","193"
"Ta","0.2","0.2","0.2","0.2","0.2","0.3","0.1","0.1","0.1","0.1","0.4","0.4"
"La","8.2","6","5.6","6.7","5.6","8.6","7.4","4.4","4.4","4.2","20.2","19.1"
"Ce","15.5","12.2","13.9","17.4","13.8","21.6","17","10.6","9.8","8.8","40.8","38.6"
"Pr","2.37","2.13","1.9","2.46","2.04","3.03","2.09","1.57","1.34","1.17","4.66","4.49"
"Nd","10.3","10.1","9.5","12","9.1","14","9.1","7.7","6.6","5.1","19","18.1"
"Sm","2.84","2.89","2.97","3.56","2.92","4.3","2.43","2.28","1.89","1.46","3.83","3.68"
"Eu","0.74","0.89","0.77","1.13","0.94","1.29","0.7","0.99","0.68","0.53","1.07","1.04"
"Gd","3.32","3.5","3.65","4.5","3.79","5.12","2.81","2.97","2.67","1.78","3.74","3.63"
"Tb","0.53","0.54","0.7","0.83","0.71","0.96","0.52","0.58","0.53","0.33","0.64","0.61"
"Dy","3.88","3.88","3.91","4.68","4.14","5.45","3.06","3.53","3.29","1.9","3.69","3.49"
"Ho","0.76","0.82","0.83","0.96","0.89","1.13","0.62","0.76","0.71","0.41","0.78","0.74"
"Er","2.24","2.27","2.47","2.69","2.52","3.22","1.75","2.14","2.15","1.18","2.22","2.18"
"Tm","0.34","0.35","0.36","0.42","0.39","0.48","0.28","0.34","0.32","0.18","0.36","0.34"
"Yb","2.15","2.33","2.42","2.71","2.67","3.17","1.72","2.12","2.13","1.07","2.28","2.22"
"Lu","0.35","0.35","0.36","0.37","0.37","0.43","0.24","0.32","0.32","0.17","0.35","0.34"
"(La/Yb)cn","2.57","1.74","1.56","1.67","1.41","1.83","2.90","1.40","1.39","2.65","5.97","5.80"
"Eu/Eu*","0.73","0.85","0.71","0.86","0.86","0.83","0.81","1.16","0.92","1.00","0.86","0.86"
