"Sample","AMH-1","","GBPG-1","","OU-6","","AGV-2","","G-2",""
"Notes","Certified","Thiswork","Certified","ThisWork","Certified","ThisWork","Certified","Thiswork","Certified","Thiswork"
"Li(ppm)","1186","122","2097","2197","953","1005","11","111","34","364"
"Be","119","122","090","078","253","244","23","23","25","26"
"Sc","1348`","132","1393","1550","231","222","13","143","35","114"
"Cr","4089","4158","1814","1800","707","780","17","179","87","86"
"Co","1868","187","195","1978","292","291","16","151","46","47"
"Ni","3236","336","596","5824","402","414","19","220","5","65"
"Cu","302","304","300","304","404","4274","53","495","11","134"
"Zn","669","730","803","855","1114","1031","86","942","86","831"
"Ga","2049","203","186","200","2417","2601","20","202","23","211"
"Rb","1831","188","562","580","1213","1255","686","703","170","1652"
"Sr","5454","5477","3635","3678","1317","1355","658","6992","478","4774"
"Y","1644","151","180","176","2775","2694","20","214","11","101"
"Zr","146","1449","2318","2261","1742","1772","230","2351","309","3308"
"Nb","832","80","993","977","1449","1433","15","145","12","130"
"Cs","024","024","032","033","810","827","116","12","134","141"
"Ba","3223","3173","9080","91896","480","47832","1140","1135","1880","1839"
"La","1587","163","5295","510","332","3428","38","389","89","848"
"Ce","3303","334","10320","980","771","7843","68","737","160","1700"
"Pr","421","43","1145","1152","791","829","83","86","18","183"
"Nd","1769","173","4330","412","302","308","30","312","55","554"
"Sm","368","37","679","65","601","618","57","57","72","75"
"Eu","116","117","179","174","136","138","154","155","14","15"
"Gd","334","325","474","497","530","538","469","490","43","42"
"Tb","051","051","060","060","086","086","064","067","048","050"
"Dy","284","276","326","307","506","504","36","36","24","24"
"Ho","057","056","069","065","104","102","071","076","04","04"
"Er","152","152","201","205","293","304","179","178","092","096"
"Tm","021","021","030","031","045","046","026","027","018a","013"
"Yb","137","143","203","212","298","310","16","17","08","08"
"Lu","021","021","031","032","045","048","025","026","011","012"
"Hf","37","37","607","558","470","489","508","551","79","87"
"Ta","064","058","040","041","102","107","089","102","05","093"
"Pb","985","87","1410","1473","2880","2973","13","133","30","304"
"Th","264","251","1123","1133","113","116","61","62","25","254"
"U","089","090","090","088","192","204","188","199","207","204"
