"GS04-097","GS04-054","GS04-055","GS04-056","GS04-057","GS04-058","GS04-059","GS04-061A","GS04-062","GS04-063A","GS04-065"
"Ailanghe","Taihe","Taihe","Taihe","Taihe","Taihe","Taihe","Taihe","Taihe","Taihe","Taihe"
"7469","7088","7240","7438","7078","6980","7188","7287","7169","7226","7175"
"019","048","032","023","044","065","044","030","035","038","031"
"1282","1162","1164","1164","1145","1121","1094","1157","1128","1055","1117"
"155","589","478","353","580","689","583","421","556","571","562"
"002","017","014","010","016","020","014","012","014","014","015"
"025","013","013","007","011","013","011","010","010","010","013"
"061","069","067","040","064","075","054","053","045","055","058"
"262","490","471","445","478","518","474","466","470","455","474"
"489","483","485","490","478","439","472","495","480","457","461"
"003","003","003","002","003","003","002","002","002","002","003"
"112","025","032","026","016","065","045","065","057","039","039"
"9879","9987","9998","9998","9914","9988","9981","9998","9966","9923","9947"
"120","080","082","087","081","077","079","083","082","079","081"
"075","114","112","108","114","118","118","113","115","118","114"
"187","099","103","110","100","085","100","106","102","100","097"
"085","098","097","098","098","098","098","098","098","098","098"
"11","8","8","7","8","7","7","8","7","7","7"
"9","3","2","1","2","3","2","2","4","3","2"
"3","2","4","3","2","7","4","2","3","5","3"
"1","1","1","0","1","1","0","1","1","1","1"
"2","4","6","6","4","7","6","4","4","38","5"
"1","6","89","110","8","55","14","16","54","28","11"
"20","219","204","306","217","283","219","236","312","245","235"
"134","357","353","360","371","363","360","380","403","355","354"
"177","128","130","141","140","124","141","139","140","137","142"
"99","15","20","13","17","19","14","12","14","13","17"
"16","95","82","110","103","98","82","152","245","126","88"
"127","585","710","1400","675","421","608","545","542","563","595"
"18","96","99","97","108","120","105","112","111","115","103"
"28","04","04","06","04","06","05","05","05","05","05"
"460","326","344","290","369","382","295","198","187","180","315"
"529","1081","991","1038","1486","1128","1031","4658","6072","1891","1228"
"912","2728","1983","2085","3548","3055","2539","3754","6626","3322","3054"
"94","268","248","245","350","280","254","942","1042","448","291"
"307","1028","948","908","1328","1055","931","3454","3814","1746","1091"
"49","200","183","176","252","206","183","626","665","334","202"
"07","32","28","27","39","32","28","86","93","5","30"
"62","175","155","162","211","178","158","442","520","295","173"
"07","30","26","29","35","30","27","68","75","49","27"
"34","178","159","193","207","188","160","350","386","277","164"
"06","36","33","42","41","38","33","62","67","52","34"
"20","107","99","130","120","110","98","166","174","145","106"
"03","15","15","18","17","16","14","22","22","20","16"
"17","101","97","112","109","104","94","14","141","128","110"
"02","15","14","15","16","15","14","21","21","19","17"
"46","160","190","364","187","116","164","158","153","157","162"
"17","56","62","66","68","64","68","75","64","71","71"
"335","160","193","230","208","174","195","171","304","200","175"
"54","36","45","74","43","32","41","41","43","41","38"
"037","050","049","049","050","050","048","048","047","048","048"
"70","35","35","38","38","35","36","48","59","37","39"
"218","77","73","67","98","78","79","239","310","106","80"
