"Tectonic","","IslandArc","","","","","","","","","","","","","","","PT","","","","","","","",""
"","","","","Synorogenic(~715-700Ma)","","","","","","","Post-orogenic(~640-600Ma)","","","","","","","","","","","Anorogenic(<600Ma)","","",""
"Timing","(~845Ma)","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MakkahSuite","","Shufayyah","Jar-Salajah","SubhSuite","","AlHafoorSuite","IbnHashbal","WadbahSuite","ArRuway-dahSuite","","","KawrSuite","","HamlSuite","I","Idah","AlKhushay-miyahSuite","RithmahComplex","MallikGranite","Admar","AlBad","AlHawiyah","Abanat","Mardabah"
"","[dm01a]","[dm01c]","","Complex[js]","","[ao85]","[ao88]","","","","[kw51p]","[kw42]","[kw43]","","","R","","","","","","","Suite[hwg]","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Complex[su]","","[sf]","","","Suite[ih]","[wb]","[ku]","","","","","","[nr]","Suite[id]","[ky]","[rt]","[kg]","Suite[ad]","Suite[abg]","","Suite[aa]","Complex[mr]"
"SiO2(%)","5413","6434","6498","7278","7535","7600","5023","7471","7265","7518","7560","6705","5477","","","7444","7543","6418","5411","7401","6082","7623","7143","7438","6035"
"TiO2","132","073","060","023","012","009","047","031","025","007","013","076","081","","","015","010","045","067","011","089","012","025","042","072"
"Al2O3","1547","1574","1596","1453","1298","1236","1709","1239","1298","1299","1293","1403","1560","","USC","1325","1295","1772","1753","1392","1837","1249","1400","1076","1806"
"Fe2O3","421","277","167","076","101","014","219","069","095","-004","004","082","158","","","011","021","119","218","106","149","055","054","339","197"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"FeOFe#","472049","254065","252057","135072","036074","091083","622044","108083","191094","","","","","024","066","123082","093087","138059","627057","001005","157063","039072","159079","072087","231075"
"MnO","016","008","007","007","003","004","015","004","007","","","","","007","006","003","006","004","014","003","007","003","005","004","016"
"MgO","489","136","188","053","013","019","778","023","012","","","","","1105","071","027","014","096","476","024","093","015","043","010","078"
"CaO","726","382","404","200","016","068","992","063","084","","","","","1070","200","098","058","256","739","097","227","028","119","029","301"
"Na2O","335","441","414","485","440","345","205","282","369","","","","","204","458","321","415","496","307","340","508","418","315","380","665"
"K2O","169","218","223","189","406","489","065","624","565","","","","","010","475","538","448","471","086","512","599","459","592","491","314"
"P2O5","045","025","016","007","001","002","014","004","003","","","","","006","010","007","002","020","014","004","024","001","010","001","018"
"LOI%","148","063","122","047","063","062","224","028","037","CEPTEDMAN","","","","399","041","039","036","039","262","056","031","040","061","048","112"
"Total%","9967","9915","9976","9968","9927","9950","9983","9961","9973","","","","","10029","9938","9965","9952","9891","10045","9949","9821","9947","9943","9939","9870"
"Rb(ppm)","401","398","427","261","665","1791","164","612","628","","","","","20","1247","1822","1363","1072","160","1650","408","1593","1995","1483","411"
"Ba","6720","12680","4690","4030","6890","1590","2280","1780","3180","","","","","480","12800","3690","2370","19820","1490","3370","29360","380","8600","230","21850"
"Th","09","20","45","36","72","256","14","64","58","","","","","08","112","184","204","161","08","261","06","180","206","131","43"
"U","13","11","08","09","45","62","26","20","32","","","","","10","81","54","130","48","04","44","16","61","71","54","12"
"Nb","56","78","45","31","85","76","18","146","162","","","","","00","70","145","137","48","27","111","68","233","278","677","561"
"La","120","150","120","140","210","270","50","1400","630","","","","","-","290","360","270","200","30","240","450","260","570","1550","460"
"Ce","350","470","300","330","560","510","170","2840","","","","","","10","600","920","580","350","150","590","810","590","1150","2920","900"
"Pb","22","49","59","89","27","237","44","174","","298","175","88","86","16","170","272","200","218","28","322","159","165","214","200","54"
"Pr","53","64","46","43","80","52","17","454","AC","114","56","233","60","01","58","183","69","42","15","82","125","74","153","420","110"
"Sr","8263","4470","3508","2078","330","439","4547","439","","43","473","972","2353","4293","2480","577","329","6728","3375","1021","8943","93","1809","99","5706"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"NdZr","2501100","2603361","1601661","1501312","2702048","1501017","100352","11504961","6302","5101171","1901427","10202955","2901518","-42","2002767","5201717","2201637","1006939","140511","2301018","3309070","2501936","4702556","12705892","3902362"
"Sm","55","76","46","34","75","28","17","198","131","227","36","229","58","02","39","173","48","26","20","65","72","60","91","219","80"
"Eu","15","19","11","06","06","02","06","13","28","01","03","05","11","02","07","07","02","12","06","04","38","02","10","10","56"
"Dy","46","75","41","31","83","20","15","68","58","356","23","150","53","02","28","159","38","16","21","32","26","60","63","111","54"
"Y","297","498","254","216","539","152","98","301","311","2139","117","786","374","03","194","932","266","100","143","168","119","449","456","639","289"
"Yb","25","40","27","25","60","16","09","24","29","178","11","52","32","01","17","91","27","15","13","13","13","45","39","60","21"
"Lu","04","06","04","04","09","02","01","03","05","23","02","07","05","00","03","13","04","03","02","02","02","07","06","09","03"
"Gd","51","77","43","31","75","25","17","146","100","286","30","195","56","02","34","162","42","21","21","51","53","59","78","175","74"
"Tb","08","12","07","05","13","03","03","15","12","57","04","29","09","00","05","27","07","03","03","07","06","10","11","22","10"
"Ho","10","16","09","07","18","04","03","12","11","75","04","28","11","00","06","32","08","04","05","06","05","13","13","22","10"
"Er","26","43","26","21","55","13","09","31","29","204","12","67","32","01","17","91","23","12","13","14","14","40","37","60","25"
"All","137","","analysed","","samples","","and","","","additional","","elements","","","are","","displayed","","in","","supplementary","","","Appendix",""
