"Sample","Terrane","Age(Ma)","RockType","TectonicTiming","Sm(ppm)","Nd(ppm)","147Sm/144Nd","143Nd/144Nd","143Nd/144Nd(t)","2σ","ɛNd","ɛNd(t)","DM(t)Ga","Rb(ppm)","Sr(ppm)","87Sr/86Sr","2σ","87Sr/86Sr(t)"
"ShufayyahComplex[su216]","Hijaz","7154","Tonalite","Synorogenic","38","170","01353","0512653","0512019","76","029","591","096","43","3508","0706177","104","0703013"
"","","","","","","","","","PT","","","","","","","","",""
"Jar-SalajrahComplex[js202]","Hijaz","7059","Granodiorite","Synorogenic","32","163","01186","0512582","0512043","75","-110","584","090","26","2078","0706122","116","0702826"
"AlHafoorSuite[ao85]","Tathlith","636","Alkali-Granite","Post-orogenic","27","162","00991","0512406R","I0511993","133","-451","342","098","179","439","0806404","128","0698286"
"","","","","","","","","","","","","","","","","","",""
"AlHafoorSuite[MD95]","Tathlith","636","Granodiorite","Post-orogenic","17","111","00918","","0512020","78","-457","395","093","69","1024","0704789","106","0703144"
"IbnHashbalSuite[ih68]","Asir","6176","Alkali-Granite","Post-orogenic","166","1269","00791","","0512097","93","-430","499","083","61","329","0803196","124","0753914"
"WadbahSuite[wb65]","Asir","6159","Alkali-Granite","Post-orogenic","128","816","00952","USC","0512094","81","-311","488","086","63","219","0762602","107","0687647"
"ArRuwaydahSuite[ku139]","AdDawadimi","6110","Alkali-Granite","Post-orogenic","27","140","01153","","0511984","75","-374","264","108","88","2959","0710556","116","0702783"
"KawrSuite[kw42]","Asir","6117","Granodiorite","Post-orogenic","225","1002","01356","","0512085","80","-039","439","103","97","972","0727509","132","0701513"
"KawrSuite[kw51p]","Asir","608","Alkali-Granite","Post-orogenic","","","","","0512100","67","-208","479","089","110","552","0760414","127","0707887"
"HamlSuite[hla110]","Afif","6086","Quartz-Monzonite","Post-orogenic","","","","0512478","0512045","71","-313","373","097","125","2480","0715626","12","0702543"
"NajirahGranite[nr120]","AdDawadimi","607","Granite","Post-orogenic","","","","0512630","0512031","90","-014","344","124","182","577","0779715","194","0696248"
"IdahSuite[id159]","Ha'il","6058","Alkali-Granite","Post-orogenic","","","","0512512","0512051","80","-246","383","099","136","439","0735379","118","0654438"
"AlKhuashaymiyahSuite[ky129]","Afif","6012","Quartz-Monzonite","Post-orogenic","","","","0512340","0511957","77","-581","181","105","107","6728","0707630","105","0703679"
"MalikGranite[kg150]","AdDawadimi","5996","Granite","Anorogenic","","","","0512495","0511984","98","-278","233","118","165","1021","0742676","126","0700113"
"AdmarSuite[ad194]","Hijaz","5992","Syenite","Anorogenic","CEPTEDMAN","","","0512428","0512086","111","-409","429","087","41","8943","0703946","12","0702819"
"AlBadSuite[abg179]","Midyan","5974","Alkali-Granite","Anorogenic","","","","0512639","0512123","81","002","499","094","159","93","1089832","151","0652145"
"AlHawiyahSuite[hwg07]","NorthernAsir","5919","Granite","Anorogenic","","","","0512520","0512109","83","-231","455","089","200","1809","0729219","108","0702226"
"AbanatSuite[aa166]","Ha'il","585*","Alkali-Granite","Anorogenic","","","","0512466","0512113","83","-335","447","085","148","99","0990950","142","0619404"
"MardabahComplex[mr191]","Hijaz","5256","Syenite","Anorogenic","","","","0512529","0512141","92","-213","351","093","41","5706","0704534","95","0702662"
"GabbrosandVolcanics","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"MakkahSuite[dm01a]AtTa'ifGroup[tfv02]","JiddahJiddah","8456840*","Gabbro-DioriteChlorite-Schist","IslandArcIslandArc","23","121","01151","05125920512412","05118520511778","11278","-090-442","594436","105113","4011","8263223","07043640715381","102256","07031020703585"
"SihamGroup[si116]","Afif","750*","Rhyolite","SynorogenicAC","96","568","01026","0512211","0511706","77","-832","070","128","185","705","0772496","155","0707962"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"AlAysGroup[ay187]SubhSuite[sf209]","HijazHijaz","700*6987","Dacitic-AndesiteRhyolite","SynorogenicSynorogenic","2964","119288","0147401351","05127240512665","05120470512047","8195","167053","608604","070093","1367","2359330","07045430752144","112111","07031190699021"
"AlHafoorSuite[ao88]","Tathlith","636","Gabbro-Norite","Post-orogenic","18","77","01384","0512530","0511953","79","-211","263","124","16","4547","0704720","126","0703831"
"BaniGhayyGroup[MCR105]","Afif","630*","Basalt","Post-orogenic","31","132","01420","0512630","0512044","81","-014","427","109","21","5672","0703967","119","0703062"
"MurdamaGroup[mu132]","Ha'il","630*","Rhyodacite","Post-orogenic","62","323","01154","0512421","0511945","79","-422","233","112","60","8859","0705698","127","0704010"
"KawrSuite[kw43]","Asir","612","Gabbro-Diorite","Post-orogenic","57","257","01350","0512477","0511935","80","-314","168","129","08","2353","0705530","106","0705447"
"RithmahComplex[rt185]","Hijaz","600*","Gabbro-Diorite","Anorogenic","20","77","01615","0512790","0512156","79","297","567","103","16","3375","0704028","103","0702784"
"HadnFormation[hn160]","Ha'il","598*","Rhyodacite","Anorogenic","55","278","01194","0512610","0512142","80","-055","537","087","65","2645","0708841","155","0702814"
"MardabahComplex[CV192]","Hijaz","526","Granophyre","Anorogenic","129","678","01154","0512537","0512140","97","-197","349","094","29","5061","0704383","108","0703145"
