"Granitic","Mainminerals","Sample","Location(GPSposition)"
"complexes","","No",""
"Xiawan","Quartz+","XW01","28°02′389″N,119°05′437″E"
"monzogranite","K-feldspar+","XW02","28°02′265″N,119°05′403″E"
"","plagioclase+","XW04","28°02′4978″N,119°06′1010″E"
"","biotite±muscovite","XW06","28°02′4635″N,119°06′1513″E"
"","","XW07","28°02′4782″N,119°06′1875″E"
"Duntou","Plagioclase+","DT01","27°58′382″N,119°03′50″E"
"granodiorite","quartz+","DT02","27°57′561″N,119°03′173″E"
"","K-feldspar+","DT03","27°56′362″N,119°02′03″E"
"","biotite±muscovite","DT04","27°56′304″N,119°02′124″E"
"","","DT06","27°57′1257″N,119°02′2395″E"
"","","DT07","27°56′768″N,119°02′1618″E"
"","","DT09","27°56′2748″N,119°03′1575″E"
