"Sample","DT01","","","DT04","","","","","","","","","DT09","","","","","XW07","","","","",""
"No","1","4","7","1","2","3","5","8","9","11","12","13","2","3","4","5","6","1","2","5","6","7","8"
"SiO2","2603","2643","2556","2787","2509","2877","2531","2682","2498","2497","2515","2438","2565","2515","2520","2611","2608","2668","2601","2598","2618","2585","2549"
"TiO2","010","009","009","109","011","349","008","049","014","007","011","008","007","008","031","007","008","003","","002","007","003",""
"Al2O3","2318","2094","1967","2061","1969","1889","1927","1926","2094","2049","2084","2128","1987","2009","2013","2086","2129","1912","1931","1956","1981","1915","1857"
"FeOT","2825","2699","2640","2864","3129","2470","3186","3175","3319","3266","3143","3152","2657","2641","2550","2517","2578","2855","2843","2767","2692","2789","2799"
"MnO","040","037","037","049","052","040","057","052","073","058","054","055","083","082","101","097","081","053","059","053","049","055","055"
"MgO","1382","1510","1537","951","1053","888","1042","1154","1057","1104","1106","1006","1535","1529","1525","1568","1559","1493","1409","1465","1492","1476","1392"
"CaO","001","008","009","091","011","346","021","017","013","005","007","005","006","002","025","008","005","009","008","008","008","005","001"
"Na2O","004","000","","005","002","002","000","006","","","","000","","000","000","003","","003","001","","007","001","001"
"K2O","002","001","002","094","009","130","004","026","002","002","007","027","000","","004","002","002","000","001","000","006","000","001"
"F","","","","","","003","","","","","","","","","","","","","","","","",""
"H2Oa","376","369","358","365","348","366","348","363","358","356","356","350","361","358","359","367","369","365","358","360","362","358","350"
"Total","9562","9371","9114","9377","9092","9362","9125","9450","9430","9345","9282","9168","9201","9144","9127","9265","9340","9361","9212","9208","9223","9187","9006"
"O=F,Cl","000","000","000","001","000","001","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000","000"
"Total","9562","9371","9114","9377","9092","9360","9125","9450","9429","9345","9282","9168","9201","9143","9127","9265","9340","9361","9212","9208","9222","9187","9006"
"","Cationsbasedon22oxygenanions","","","","","","","","","","","","","","","","","","","","","",""
"Si","4155","4291","4278","4576","4324","4689","4360","4436","4180","4206","4235","4173","4262","4207","4210","4268","4235","4383","4351","4328","4335","4326","4366"
"AlIV","3845","3709","3722","3424","3676","3311","3640","3564","3820","3794","3765","3827","3738","3793","3790","3732","3765","3617","3649","3672","3665","3674","3634"
"AlVI","0515","0298","0158","0565","0323","0318","0271","0190","0310","0274","0371","0465","0154","0167","0175","0288","0310","0085","0157","0168","0202","0104","0114"
"Ti","0012","0011","0011","0135","0014","0427","0011","0061","0018","0009","0014","0010","0008","0010","0039","0008","0010","0003","0000","0002","0009","0004","0000"
"Fe","3771","3665","3696","3933","4510","3367","4590","4391","4645","4600","4426","4512","3691","3694","3564","3442","3502","3923","3977","3854","3728","3903","4008"
"Mn","0054","0051","0053","0069","0075","0056","0083","0073","0103","0083","0077","0079","0117","0116","0143","0135","0111","0074","0084","0075","0068","0078","0080"
"Mg","3289","3654","3835","2328","2706","2158","2675","2845","2636","2772","2776","2566","3801","3812","3798","3821","3774","3657","3512","3637","3684","3682","3553"
"Ca","0002","0014","0016","0159","0021","0604","0039","0030","0023","0009","0013","0009","0011","0004","0045","0014","0009","0015","0014","0014","0014","0009","0002"
"Na","0012","0001","0000","0014","0008","0005","0001","0019","0000","0000","0000","0001","0000","0001","0001","0008","0000","0009","0002","0000","0021","0002","0004"
"K","0004","0001","0004","0197","0019","0270","0009","0055","0005","0005","0015","0060","0000","0000","0007","0005","0004","0001","0002","0000","0012","0001","0001"
"OHa","3999","3997","3999","3994","3996","3982","3998","4000","3995","3998","3999","4000","3999","3999","3999","3999","4000","3999","3999","4000","3994","3998","4000"
"F","0000","0000","0000","0000","0000","0014","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000"
"Ytotal","7642","7679","7753","7029","7628","6327","7630","7560","7711","7739","7663","7632","7773","7799","7719","7693","7707","7743","7730","7736","7692","7771","7755"
"Xtotal","0019","0016","0020","0371","0048","0880","0049","0104","0028","0014","0027","0069","0011","0005","0054","0027","0013","0025","0018","0014","0047","0012","0007"
"Altotal","4360","4007","3880","3989","3999","3629","3912","3754","4129","4068","4136","4293","3892","3960","3965","4020","4075","3703","3807","3840","3867","3778","3748"
