"Sample","Xiawan monzogranite","","","","Duntou granodiorite","","","","","",""
"","XW01","XW04","XW06","XW07","DT01","DT02","DT03","DT04","DT06","DT07","DT09"
"SiO2","73.19","72.97","72.44","72.25","67.59","68.89","74.36","73.51","74.87","72.95","74.63"
"TiO2","0.28","0.30","0.32","0.31","0.54","0.49","0.16","0.21","0.08","0.22","0.21"
"Al2O3","13.43","13.47","13.17","13.58","15.69","16.23","13.54","13.85","12.59","13.94","13.26"
"T","","","","","","","","","","",""
"Fe2O3","2.04","2.22","2.32","2.15","3.51","3.23","1.28","1.95","0.60","1.86","1.80"
"MnO","0.03","0.02","0.03","0.04","0.05","0.04","0.03","0.03","0.04","0.04","0.05"
"MgO","0.39","0.41","0.54","0.77","1.52","1.15","0.24","0.54","0.13","0.40","0.72"
"CaO","0.61","0.19","0.82","0.97","1.09","0.45","0.16","1.00","1.62","1.03","1.34"
"Na2O","3.30","3.31","3.16","3.89","5.24","4.79","3.57","3.46","3.56","3.50","4.59"
"K2O","4.82","5.27","5.30","4.02","2.01","2.08","5.28","3.65","3.99","3.55","1.51"
"P2O5","0.09","0.05","0.11","0.11","0.23","0.22","0.04","0.08","0.03","0.07","0.04"
"LOI","1.52","1.47","1.45","1.68","2.63","2.60","1.17","1.40","2.33","2.14","1.64"
"SUM","99.69","99.69","99.66","99.77","100.11","100.15","99.82","99.68","99.84","99.71","99.80"
"ALK","8.12","8.59","8.46","7.91","7.25","6.87","8.85","7.12","7.55","7.05","6.10"
"A/CNKa","1.14","1.17","1.06","1.09","1.23","1.48","1.14","1.21","0.96","1.22","1.14"
"K2O/Na2O","1.46","1.59","1.68","1.03","0.38","0.43","1.48","1.06","1.12","1.02","0.33"
"Li","10.3","10.3","","25.6","23.5","11.2","","20.0","","164.5","10.2"
"Be","1.01","1.08","","1.06","1.60","2.50","","1.29","","1.44","1.25"
"Sc","3.16","3.45","","3.77","3.40","3.53","","2.64","","2.77","2.23"
"V","19.2","20.6","","24.5","58.1","12.4","","18.1","","16.0","21.7"
"Cr","4.70","8.47","","6.60","14.1","2.13","","6.50","","2.75","6.00"
"Co","2.57","1.61","","2.82","8.12","1.46","","2.69","","2.30","2.87"
"Ni","2.82","3.05","","3.67","8.23","1.02","","2.95","","1.62","3.21"
"Cu","13.77","5.98","","4.62","8.52","2.87","","3.16","","2.09","3.34"
"Zn","26.9","45.7","","45.7","107","47.6","","34.9","","37.2","46.2"
"Ga","14.3","13.8","","13.6","16.7","16.6","","13.3","","14.9","12.2"
"Ge","0.78","0.71","","0.58","0.62","1.34","","0.91","","0.77","0.84"
"Rb","130","125","","147","101","202","","91.2","","107","72.7"
"Sr","151","172","","228","214","137","","327","","151","225"
"Y","7.79","7.79","","7.74","8.31","24.4","","7.55","","9.35","5.22"
"Zr","245","276","","220","219","272","","176","","182","106"
"Nb","9.61","10.6","","9.66","8.07","19.3","","4.59","","11.5","3.48"
"Cs","1.89","1.87","","3.59","2.58","2.84","","2.90","","3.11","1.77"
"Ba","1568","1888","","1249","493","881","","2168","","1079","262"
"La","64.5","49.3","","39.7","36.1","61.3","","38.7","","49.0","11.6"
"Ce","106","88.0","","66.1","60.9","117","","63.6","","83.5","15"
"Pr","11.1","10.1","","6.39","6.38","13.5","","6.22","","8.01","1.98"
"Nd","35.2","32.3","","20.3","21.0","47.7","","20.0","","25.5","6.85"
"Sm","4.86","4.49","","2.95","2.95","8.18","","2.98","","3.79","1.17"
"Eu","1.08","1.09","","0.90","0.85","1.04","","1.06","","0.94","0.49"
"Gd","3.33","3.02","","2.18","2.15","6.61","","2.19","","2.88","1.04"
"Tb","0.40","0.36","","0.27","0.27","0.87","","0.27","","0.37","0.14"
"Dy","1.83","1.75","","1.43","1.41","4.79","","1.40","","1.80","0.82"
"Ho","0.29","0.29","","0.26","0.25","0.87","","0.24","","0.31","0.15"
"Er","0.77","0.81","","0.72","0.73","2.45","","0.70","","0.83","0.44"
"Tm","0.10","0.11","","0.10","0.10","0.35","","0.10","","0.11","0.07"
"Yb","0.64","0.69","","0.65","0.69","2.16","","0.71","","0.69","0.45"
"Lu","0.10","0.11","","0.11","0.10","0.32","","0.11","","0.11","0.07"
"Hf","5.81","6.42","","4.77","4.40","6.88","","4.24","","4.39","2.82"
"Ta","0.36","0.29","","0.34","0.68","1.04","","0.38","","0.74","0.15"
"Pb","21.9","23.2","","21.2","36.1","37.0","","24.8","","22.8","6.5"
"Th","20.2","19.6","","17.3","7.4","23.2","","15.7","","15.3","3.7"
"U","1.85","0.67","","1.18","0.74","3.12","","1.27","","1.17","0.67"
"Eu/Eu*b","0.78","0.86","","1.04","0.98","0.42","","1.21","","0.84","1.33"
"∑REE","230","192","","142","134","267","","138","","178","41"
"(La/Yb)N","68.3","48.0","","41.0","35.5","19.1","","36.9","","47.7","17.6"
"T (°C)c","836","850","","819","824","865","","811","","815","763"
