"Oxide","GH-2","GH-3","JCP-1","JCP-2
JCP-3
JCP-4a","JCP-5a","JCP-6","JCP-7","JCP-8","BS-1","BS-2"
"SiO2","42.40","42.00","43.50","43.15
53.90
44.04","42.33","42.24","42.04","42.85","41.34","41.81"
"TiO2","0.24","0.26","0.19","0.27
0.46
0.27","0.23","0.29","0.17","0.25","0.20","0.24"
"Al2O3","1.20","1.30","3.35","4.53
8.91
5.95","2.03","4.34","2.36","3.40","2.92","2.15"
"Fe2O3","8.07","9.01","9.25","9.77
7.91
10.36","10.21","10.96","10.29","10.16","8.15","8.03"
"MnO","0.14","0.16","0.12","0.16
0.14
0.25","0.23","0.17","0.09","0.16","0.10","0.14"
"MgO","41.33","39.27","37.05","34.14
11.94
29.90","37.85","34.58","40.02","36.39","41.94","41.19"
"CaO","1.58","1.74","2.78","4.40
8.78
5.34","2.06","4.12","1.39","2.42","2.03","2.01"
"Na2O","0.02","0.01","0.02","0.17
2.75
0.44","0.02","0.03","0.02","0.02","0.02","0.02"
"K2O","0.01","0.01","0.01","0.03
0.14
0.07","0.01","0.01","0.01","0.01","0.01","0.01"
"P2O5","0.08","0.02","0.02","0.02
0.05
0.02","0.02","0.02","0.01","0.02","0.02","0.02"
"LOI","5.73","6.36","5.12","4.15
5.79
4.73","5.05","4.12","5.14","5.14","4.62","5.16"
"Total","100.80","100.14","101.41","100.79
100.77
101.37","100.04","100.89","101.54","100.82","101.35","100.78"
"Ba","15","5","16","6
7
4","6","N.D.","15","9","4.9","3.4"
"Cr","1208","1338","2011","2659
427
1594","4395","2316","1663","3999","1847","1803"
"Nb","0.32","0.75","1.72","N.D.
3.00
3.00","0.72","N.D.","0.50","1.11","2.57","0.14"
"Ni","3145","3177","2172","1377
188
1143","2174","1542","2500","1596","2332","2361"
"Rb","9.00","6.00","2.90","1.00
N.D.
1.10","1.21","N.D.","1.92","0.90","1.20","1.10"
"Sr","16.3","14.6","22","55
89
14","18","125","23","11","10","11"
"V","78","84","84","132
190
183","128","135","108","132","110","105"
"Y","3","3","4","4
10
5","6","6","2","6","3","8"
"Zn","44","63","60","54
26
116","104","65","41","77","52","71"
"Zr","16","13","10","17
17
15","19","14","4","7","8.1","5.4"
