"Spots","Age(Ma)","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","±2σ","εHf(t)","TDM1(Ma)","TDM2(Ma)","fLu/Hf"
"J11-5-1@01","326.6","0.081834","0.003270","0.282780","0.000022","6.7","712","792","−0.90"
"J11-5-1@02","326.6","0.062596","0.002507","0.282779","0.000018","6.9","699","786","−0.92"
"J11-5-1@03","326.6","0.070055","0.002667","0.282749","0.000014","5.8","746","841","−0.92"
"J11-5-1@04","326.6","0.071095","0.002757","0.282778","0.000024","6.8","704","789","−0.92"
"J11-5-1@05","326.6","0.094284","0.003627","0.282724","0.000016","4.7","805","898","−0.89"
"J11-5-1@07","326.6","0.039342","0.001598","0.282850","0.000014","9.6","578","645","−0.95"
"J11-5-1@08","326.6","0.065666","0.002589","0.282768","0.000020","6.5","716","806","−0.92"
"J11-5-1@09","326.6","0.089881","0.003422","0.282706","0.000020","4.1","826","927","−0.90"
"J11-5-1@10","326.6","0.058037","0.002356","0.282788","0.000020","7.2","683","768","−0.93"
"J11-5-1@11","326.6","0.093723","0.003681","0.282748","0.000026","5.6","768","853","−0.89"
"J11-5-1@12","326.6","0.079898","0.003135","0.282765","0.000018","6.3","731","817","−0.91"
"J11-5-1@13","326.6","0.081765","0.003150","0.282715","0.000020","4.5","807","908","−0.91"
"J11-5-1@14","326.6","0.062732","0.002468","0.282767","0.000016","6.5","716","807","−0.93"
"J11-5-1@15","326.6","0.060004","0.002284","0.282769","0.000022","6.6","708","801","−0.93"
"J11-5-1@16","326.6","0.051311","0.002070","0.282858","0.000018","9.8","574","636","−0.94"
"J11-5-1@17","326.6","0.056247","0.002278","0.282786","0.000016","7.2","684","770","−0.93"
"J11-5-1@18","326.6","0.064311","0.002513","0.282797","0.000018","7.5","672","753","−0.92"
"J11-5-1@19","326.6","0.068998","0.002704","0.282776","0.000020","6.7","707","793","−0.92"
"J11-5-1@20","326.6","0.044579","0.001702","0.282782","0.000018","7.2","679","771","−0.95"
