"Sample","J11-2-1","J11-2-2","J11-2-4","J11-3-1","J11-3-2","J11-3-3","J11-3-4","J11-3-5","J11-3-6","J11-3-8","J11-3-9","J11-3-10","J11-3-12","J11-3-13","K0911-15","K0911-18","K0915-10","K0915-11","J11-5-1","J11-5-2","J11-5-3"
"Well","XY2","XY2","XY2","MD3","MD3","MD3","MD3","MD3","MD3","MD3","MD3","MD3","MD3","MD3","M201","M201","MD2","MD2","MD4","MD4","MD4"
"Rock","basalt","basalt","basalt","basaltic","basaltic","basaltic","basaltic","basalt","basalt","basalt","basalt","basalt","basalt","basalt","basalt","basalt","basalt","basalt","rhyolite","rhyolite","rhyolite"
"","","","","andesite","andesite","andesite","andesite","","","","","","","","","","","","","",""
"Depth(m)","5332.1","5333.4","5335.8","4633.6","4636.0","4637.2","4638.1","4676.6","4677.5","4678.4","4679.4","4680.1","4701.8","4707.3","3885.6","3882.3","4360.9","4362.2","3449.5","3451.2","3454.9"
"SiO2","44.85","43.69","47.44","51.95","53.99","53.77","52.27","46.88","46.26","48.78","46.43","48.20","47.71","47.51","45.43","44.62","48.67","48.16","77.44","77.95","74.12"
"TiO2","1.85","1.95","1.91","2.49","2.13","2.38","2.56","1.81","1.98","2.03","2.20","1.91","1.97","1.88","1.92","2.18","2.12","2.15","0.20","0.21","0.27"
"Al2O3","17.56","17.70","17.64","16.04","15.78","15.28","16.19","16.36","16.43","17.92","16.41","16.71","16.63","16.60","14.98","14.72","16.02","15.72","12.21","11.67","13.72"
"TFe2O3","11.17","10.35","12.36","11.31","10.62","10.90","11.33","12.78","13.27","11.55","12.31","12.54","11.13","12.85","14.89","15.84","13.68","13.78","1.03","1.09","1.37"
"MnO","0.14","0.14","0.14","0.19","0.12","0.13","0.20","0.17","0.21","0.14","0.17","0.20","0.20","0.17","0.25","0.21","0.21","0.16","0.05","0.03","0.06"
"MgO","4.21","4.33","5.21","4.53","3.78","3.41","4.46","5.18","5.91","5.18","5.53","6.05","9.67","7.51","6.12","8.24","5.60","4.65","0.20","0.15","0.29"
"CaO","18.25","19.43","9.69","6.07","6.48","5.98","4.97","12.49","11.59","11.16","12.87","9.65","8.33","9.10","11.97","10.08","8.61","10.72","0.40","0.34","0.63"
"Na2O","1.40","1.59","4.09","5.02","5.10","6.01","5.59","3.60","3.73","2.73","3.46","3.99","3.85","3.92","3.68","3.03","3.91","3.45","3.26","3.45","4.62"
"K2O","0.16","0.39","1.06","1.75","1.37","1.51","1.77","0.43","0.29","0.21","0.24","0.43","0.19","0.15","0.23","0.48","0.56","0.55","5.20","5.08","4.86"
"P2O5","0.40","0.42","0.46","0.65","0.65","0.61","0.65","0.29","0.33","0.31","0.37","0.32","0.31","0.30","0.54","0.58","0.63","0.65","0.03","0.04","0.06"
"LOI","4.95","6.78","4.95","2.42","2.63","1.8","2.34","6.76","6.57","6.64","6.68","4.97","4.93","4.79","6.72","6.63","2.41","2.43","0.76","0.88","1.25"
"Mg#","45","48","48","47","44","41","46","47","50","50","50","52","66","56","47","53","47","43","30","23","32"
"Li","39.4","36.2","44.8","16.2","13.5","8.69","19.3","12.7","16.1","13.4","14.5","16","36.6","26.3","20.9","19.2","21.4","8.35","39.1","38.1","37"
"Sc","23.2","27.8","28.1","25.3","20.8","23.8","26.1","25.1","23.2","27.3","28.4","25.6","26.1","25.9","22.6","25","25.8","27.4","2.47","2.52","3.17"
"V","260","257","247","246","236","220","267","218","232","239","275","219","218","210","308","339","320","348","2.43","2.75","5.72"
"Cr","236","226","271","36","39.3","31.4","31.8","147","146","143","131","132","229","220","146","143","121","124","0.75","0.92","0.71"
"Co","35.7","33.9","39.1","30.6","26.4","29.1","29.9","38.6","37","41.8","40.4","41.8","54.1","45.7","43","41.5","37.3","41.3","0.47","0.56","0.65"
"Ni","105","100","121","18.1","25","17","18.5","69.5","75.5","64.9","59.5","65.7","106","106","90.3","85.2","71.6","74.8","0.27","0.38","1.15"
"Cu","23.9","24.1","61.3","25.5","25.3","16.3","8.36","30.2","20.5","12.7","21.7","15.8","23","22.1","55.2","70.8","38.1","55.9","1.7","2.45","2.02"
"Zn","71.5","70.2","89.3","122","120","114","125","80.7","92.8","82","87.6","85.5","89.9","83.8","124","108","119","126","34.5","29.4","51.4"
"Ga","22.1","23.9","18.5","21.7","22.6","21.4","24.9","16.3","16.9","16.6","17.9","17.6","17.6","17.3","17.9","18","20.8","22.5","9.16","7.97","12.9"
