"Sample","Rb","Sr","s’Rb/%r","“Sr/‘%r","Sm","Nd","‘47Sm/‘44Nd","143Nd/1MNd","","+r","ENd"
"","(w-4","(mm)","","flu","@pm)","(mm)","","flu","","",""
"","Vestfold,Hortenprofile","","","","","","","","","",""
"FA2a","337","825","01183","0704580f16","138","732","01149","0512595&4","","-10","+21"
"FA3=","357","1047","00985","0704514f14","164","873","01142","0512606+","4","-07","+24"
"Fl","107","907","00340","0704022+8","143","749","01163","0512544+","3","-38","+30"
"F4","282","721","01131","0704505*7","145","760","01162","0512618f","9","-18","+25"
"F6","227","937","006993","0704073f7","145","779","01134","0512606f","3","-53","+24"
"F8A=","364","911","01156","0705061f10","135","748","01096","0512552*","6","+60","+15"
"F8b","340","799","01231","0705052f8","134","726","01124","0512570+","5","+54","+17"
"F8c","434","916","01372","0705091f7","144","797","01101","0512595*20","","+51","+23"
"F9","347","709","01414","0705129f10","128","686","01139","0512549f","3","+54","+13"
"FlO","296","752","01140","0705039*7","132","709","01132","0512549f","6","+58","+13"
"Fll","447","902","01432","0705204f9","145","811","01091","0512507+","2","+63","+062"
"F12","396","871","01317","0704460f8","166","879","01151","0512595+","3","-35","+21"
"F13","429","1131","01097","0703871+9","170","926","01121","0512665f","3","-106","+36"
"F14","487","1084","01302","0704144f7","167","895","01134","0512641f","3","-79","+31"
"F15a","322","1189","00783","0704037+10","177","961","01120","0512689+","6","-63","+41"
"F16a","427","986","01254","0704364f10","165","888","01129","0512689&5","","-45","+40"
"F17","381","1035","01066","0703940f9","170","916","01126","0512656f","3","-94","+34"
"F18","293","948","00839","0703963510","80","441","01102","0512621f","3","-77","+28"
"F21a","983","1615","01762","0704736f10","248","1449","01043","0512631f","6","-23","+32"
"F22","1129","1693","01929","0704810f30","247","1401","01073","0512577f","4","-23","+21"
"F23a","1049","1649","01844","0704770f10","235","1361","01051","0512616+","5","-23","+29"
"F24","1066","1591","01937","0704745f8","241","1387","01059","0512614+","2","-33","+28"
"F26","1017","1704","01726","0704550+30","240","1402","01045","0512582+","9","-47","+23"
"FX2a","449","982","01321","0705143f10","116","635","01117","0512522+","9","+61","+08"
"FZ2a","228","656","01005","0704315+10","87","451","01171","051267+","6","-37","+35"
"","VestfoldHolmestrandprofile","","","","","","","","","",""
"0B102","248","174","03992","070653+8","","","","","","+96",""
"OBlOlb","145","2393","00175","070571+7","95","578","00995","0511813*15","","+210","+29"
"OBlOO","450","1002","01299","070451f3","164","900","01112","0512610f","5","-27","+26"
"OB99","287","921","00901","070492*3","111","609","01105","0512648f","7","+55","+33"
"OB98","285","778","01070","070496+8","","","","","","+51",""
"OB97","629","1452","01244","070490+6","","","","","","+32",""
"OB96","182","573","00921","070433*3","79","405","01182","0512695f","4","-30","+39"
"Krokskogen","","","","","","","","","","",""
"OB8a","130","372","01012","070572&5","","","","","","+162",""
"OB87b","","","","","","","","","","+180","-07"
