"Sample","Phase","Rocktype","Mineral","87Rb/86Sr","87Sr/86Sr","2σ","147Sm/144Nd","143Nd/144Nd","2σ","TDM","εNd(t)","2σ","fSm/Nd"
"25-AF","2nd","Pyroxenite","Prv","000003","070345","5","00904","0512540","24","755","325","047","−054"
"25-AF","2nd","Pyroxenite","Ap","000005","070412","3","00894","0512430","35","883","115","068","−055"
"25-AF","2nd","Pyroxenite","Tit","000034","070425","12","01185","0512559","86","946","226","168","−040"
"10AFK3","2nd","Pyroxenite","Prv","000003","070359","3","00709","0512575","12","615","488","023","−064"
"10AFK3","2nd","Pyroxenite","Ap","000001","070357","2","00909","0512477","32","835","200","062","−054"
"10AFK3","2nd","Pyroxenite","Tit","000011","070379","18","00780","0512585","14","635","473","027","−060"
"AFK(TIMS)","3rd","Perovskiteore","Prv","000141","070335","3","00659","0512604","14","564","569","027","−066"
"AFK","3rd","Perovskiteore","Prv","000008","070335","4","00680","0512612","6","564","575","012","−065"
"AFK","3rd","Perovskiteore","Tit","000007","070341","5","01069","0512675","20","679","509","039","−046"
"AFK","3rd","Perovskiteore","Cc","000002","070447","56","","","","","","",""
"AFK-1","3rd","Perovskiteore","Prv","000009","070336","5","00707","0512609","10","577","556","020","−064"
"AFK-1","3rd","Perovskiteore","Ap","000006","070328","4","00944","0512674","21","609","567","041","−052"
"AFK-1","3rd","Perovskiteore","Tit","000031","070336","9","01012","0512673","9","647","532","018","−049"
"AFK-1","3rd","Perovskiteore","Cc","000000","070333","3","","","","","","",""
"AFK-2","3rd","Perovskiteore","Prv","000009","070340","4","00674","0512615","12","558","583","023","−066"
"AFK-2","3rd","Perovskiteore","Tit","000294","070369","9","00831","0512601","9","641","480","018","−058"
"AFK-2","3rd","Perovskiteore","Cc","000001","070330","3","","","","","","",""
"AFK-5","3rd","Perovskiteore","Prv","000008","070337","4","00711","0512600","9","588","536","018","−064"
"AFK-5","3rd","Perovskiteore","Cc","000013","070342","6","","","","","","",""
"10AFK1","3rd","Perovskiteore","Prv","000003","070332","4","00758","0512626","10","580","564","020","−061"
"10AFK1","3rd","Perovskiteore","Cc","000001","070334","7","","","","","","",""
"10AFK2","3rd","Perovskiteore","Prv","000003","070339","4","00740","0512612","10","588","545","020","−062"
"10AFK2","3rd","Perovskiteore","Cc","000000","070336","11","","","","","","",""
"10AFK4","3rd","Perovskiteore","Prv","000003","070336","4","00762","0512613","10","596","537","020","−061"
"10AFK4","3rd","Perovskiteore","Ap","000001","070327","5","00754","0512621","26","584","556","051","−062"
"10AFK4","3rd","Perovskiteore","Tit","000010","070344","7","01052","0512698","18","636","562","035","−047"
"10AFK4","3rd","Perovskiteore","Cc","000000","070330","3","","","","","","",""
"10AFK5","3rd","Perovskiteore","Prv","000005","070339","5","00703","0512609","14","576","557","027","−064"
"10AFK5","3rd","Perovskiteore","Tit","000013","070339","4","01080","0512714","15","629","579","029","−045"
"10AFK5","3rd","Perovskiteore","Cc","000000","070336","6","","","","","","",""
"P07-21","4th","Melteigite","Prv","000008","070352","3","00753","0512557","24","654","432","047","−062"
"P07-21","4th","Melteigite","Ap","000001","070355","3","00805","0512466","39","783","229","076","−059"
"P07-22","4th","Melteigite","Ap","000001","070347","3","00707","0512544","32","647","429","062","−064"
"P07-23","4th","Ijolite","Ap","000000","070351","3","00619","0512501","28","652","387","055","−069"
"P07-24","4th","Ijolite","Ap","000001","070340","3","00701","0512480","26","712","307","051","−064"
"P07-25","4th","Melteigite","Ap","000003","070348","3","00761","0512443","23","784","205","045","−061"
"P07-26","4th","Melteigite","Prv","000018","070363","6","01053","0512609","20","761","387","039","−046"
"P07-26","4th","Melteigite","Ap","000003","070363","4","","","","","","",""
"P07-26","4th","Melteigite","Tit","000240","070371","12","01116","0512641","46","760","419","090","−043"
"Z1-3-2","Arkhangelsk","Kimberlite","Prv","000010","070349","15","00744","0512624","12","576","567","023","−062"
"Afrk-1a","3rd","Pyroxenite","Clz","","","","01810","0512870","20","","554","028","−008"
"Afrk-1a","3rd","Pyroxenite","Zrn","","","","01457","0512830","11","","618","019","−026"
"Afrk-1a","3rd","Pyroxenite","Cc","000009","070331","3","","","","","","",""
"Afrk-2a","3rd","Pyroxenite","Zrn","","","","01435","0512823","10","","621","019","−027"
"Afrk-2a","3rd","Pyroxenite","Cc","000027","070319","4","","","","","","",""
