"Sample","Complex","Rocktype","Age(Ma)","2σ","Method","Mineral","Reference"
"","Afrikanda","Pyroxenite","374","10","U–Pb(LA)","Perovskite","Reguiretal(2010)"
"","Afrikanda","Carbonatite","371","8","U–Pb(LA)","Perovskite","Reguiretal(2010)"
"Afrk-1","Afrikanda","Pyroxenite","382","12","Pb–Pb(SIMS)","Calzirtite","Wuetal(2010c)"
"Afrk-1","Afrikanda","Pyroxenite","379","6","Pb–Pb(SIMS)","Zirconolite","Wuetal(2010c)"
"Afrk-2","Afrikanda","Pyroxenite","382","7","Pb–Pb(SIMS)","Zirconolite","Wuetal(2010c)"
"P07-21","Afrikanda","Melteigite","376","5","U–Pb(LA)","Perovskite","Thispaper"
"25-AF","Afrikanda","Pyroxenite","377","6","U–Pb(LA)","Perovskite","Thispaper"
"10AFK2","Afrikanda","Perovskiteore","379","5","U–Pb(LA)","Perovskite","Thispaper"
"AFK","Afrikanda","Perovskiteore","382","1","U–Pb(TIMS)","Perovskite","Thispaper"
"AFK","Afrikanda","Perovskiteore","383","4","U–Pb(SIMS)","Perovskite","Thispaper"
"AFK-1","Afrikanda","Perovskiteore","385","5","U–Pb(SIMS)","Perovskite","Thispaper"
"AFK-2","Afrikanda","Perovskiteore","379","5","U–Pb(SIMS)","Perovskite","Thispaper"
"AFK-5","Afrikanda","Perovskiteore","379","4","U–Pb(SIMS)","Perovskite","Thispaper"
"Afrk-1","Afrikanda","Pyroxenite","374","5","U–Pb(SIMS)","Baddeleyite","Thispaper"
"","Kovdor","Phoscorite","3786","02","U–Pb(TIMS)","Baddeleyite","AmelinandZaitsev(2002)"
"","Kovdor","Carbonatite","3775","09","U–Pb(TIMS)","Zircon","AmelinandZaitsev(2002)"
"","Kovdor","Phoscorite","382","3","U–Pb(TIMS)","Baddeleyite","Bayanova(2006)"
"","Kovdor","Carbonatite/Phoscorite","379","4","U–Pb(SIMS)","Baddeleyite","Rodionovetal(2012)"
"","Kovdor","Pyroxenite","380","5","Pb–Pb(SIMS)","Zirconolite","Wuetal(2010c)"
"KV-2","Kovdor","Pyroxenite","374","5","U–Pb(SIMS)","Baddeleyite","Thispaper"
"KV-2","Kovdor","Pyroxenite","382","3","U–Pb(SIMS)","Perovskite","Thispaper"
"","Seblyavr","Carbonatite","378","4","U–Pb(TIMS)","Baddeleyite","Bayanova(2006)"
"","Seblyavr","Carbonatite","382","5","Th–Pb(TIMS)","Carbonate/WR","RukhlovandBell(2010)"
"","Vuorijarvi","Carbonatite","377","4","U–Pb(TIMS)","Baddeleyite","Bayanlova(2006)"
"","Kurga","Pyroxenite","387","7","U–Pb(TIMS)","Zircon","Bayanovaetal(1998)"
"","Sallanlatva","Carbonatite","375","5","U–Pb(LA)","Zircon","Zaitsevetal(2004)"
"","LesnayaVaraka","Pyroxenite","374","8","U–Pb(SIMS)","Perovskite","Matukovetal(2006)"
"","Solki","","380","7","Th-Pb(TIMS)","Apatite","RukhlovandBell(2010)"
"951-9","Kandaguba","","386","3","Th-Pb(TIMS)","Apatite","RukhlovandBell(2010)"
"C-18-30","Turiy","Phoscorite","377","4","U–Pb(TIMS)","Zircon","RukhlovandBell(2010)"
"T-19/115","Turiy","Carbonatite","376","6","U–Pb(TIMS)","Baddeleyite","RukhlovandBell(2010)"
"W-75","Turiy","Carbonatite","383","2","U–Pb(TIMS)","Garnet/titanite","RukhlovandBell(2010)"
"OTK-2","Kandalaksha","Carbonatite","378","8","U–Pb(SIMS)","Zircon","Claessonetal(2000)"
"OTK-3","Kandalaksha","Carbonatite","380","7","U–Pb(TIMS)","Zircon","Claessonetal(2000)"
"Z1-3-2","Arkhangelsk","Kimberlite","381","3","U–Pb(SIMS)","Perovskite","Thispaper"
"","Khibiny","Nesyenite","374","3","U–Pb(LA)","Loparite","Mitchelletal(2011)"
"","Lovozero","Nesyenite","376","1","U–Pb(TIMS)","Loparite","OversbyandRingwood(1981)"
"","Lovozero","Nesyenite","373","2","U–Pb(LA)","Loparite","Mitchelletal(2011)"
